Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
3050,305.0094,144,137,0,157,142,15,0,14,0.9101732,10.0292,9.764228,12.35714,True,False
3100,310.0097,162,121,0,134,124,10,0,7,0.9225085,8.892562,8.842105,9.714286,True,False
3150,315.01,178,112,0,73,68,5,0,12,0.905266,9.857142,9.8,10.33333,True,False
3200,320.0103,182,106,0,121,103,18,0,12,0.8796126,9.075472,9.106383,8.833333,True,False
3250,325.0106,202,98,0,90,82,8,0,7,0.8770789,11.20408,11.50549,7.285714,True,False
3300,330.0109,217,93,0,104,103,1,0,6,0.868132,10.53763,10.73563,7.666667,True,False
3350,335.0112,236,94,0,113,99,14,1,8,0.8638308,13.90425,13.81395,14.875,True,False
3400,340.0115,271,86,0,97,91,6,0,9,0.8606344,14.46512,14.55844,13.66667,True,False
3450,345.0118,305,79,0,191,180,11,0,5,0.8985775,11.13924,11.33784,8.2,True,False
3500,350.0121,334,78,0,169,161,8,1,4,0.8764513,11,11.25676,6.25,True,False
3550,355.0125,375,71,0,144,131,13,0,9,0.8967742,10.47887,10.53226,10.11111,True,False
3600,360.0128,416,66,0,178,157,21,0,8,0.915276,7.621212,7.655172,7.375,True,False
3650,365.0131,461,57,0,173,147,26,0,10,0.9480045,6.491228,6.468085,6.6,True,False
3700,370.0134,533,53,0,212,185,27,1,7,0.9413198,7.245283,7.565217,5.142857,True,False
3750,375.0137,587,51,0,167,130,37,0,8,0.8989311,6.431373,7.116279,2.75,True,False
3800,380.014,661,48,0,209,160,49,1,10,0.9173287,9.75,10.52632,6.8,True,False
3850,385.0143,731,47,0,191,154,37,0,9,0.8461026,7.829787,8.263158,6,True,False
3900,390.0146,813,44,0,268,188,80,1,11,0.7476463,7,6.636364,8.090909,True,False
3950,395.0149,922,47,0,306,187,119,0,19,0.6962705,7.702127,7.964286,7.31579,True,False
4000,400.0152,1042,44,0,291,213,78,1,13,0.691527,9.772727,10.12903,8.923077,True,False
4050,405.0155,1174,49,0,528,338,190,0,19,0.6112865,10.36735,10.9,9.526316,True,False
4100,410.0158,1306,50,0,418,213,205,0,25,0.6605646,9.28,9.56,9,True,False
4150,415.0161,1454,49,0,490,288,202,0,18,0.6104779,9.102041,9.258064,8.833333,True,False
4200,420.0164,1628,50,0,471,320,151,0,15,0.6936437,9.24,10.28571,6.8,True,False
4250,425.0167,1845,47,0,749,453,296,2,17,0.6702553,6.553192,6.833333,6.058824,True,False
4300,430.017,2061,49,0,655,347,308,1,26,0.8498915,6.489796,7.565217,5.538462,True,False
4350,435.0173,2243,51,0,796,378,418,3,25,0.7976856,6.803922,5.115385,8.56,True,False
4400,440.0176,2466,53,0,902,394,508,0,31,0.7497111,6.113207,5.090909,6.83871,True,False
4450,445.0179,2693,60,0,1294,589,705,2,35,0.6227568,5.166667,4.32,5.771429,True,False
4500,450.0182,2952,63,0,1241,614,627,1,32,0.7100832,5.746032,6.193548,5.3125,True,False
4550,455.0186,3203,65,0,1553,714,839,2,34,0.6433552,6.107692,4.612903,7.470588,True,False
4600,460.0189,3438,70,0,1760,627,1133,0,45,0.6730956,6.2,5.48,6.6,True,False
4650,465.0192,3675,80,0,2360,628,1732,0,59,0.5947068,6.675,5.619048,7.050848,True,False
4700,470.0195,3894,89,0,2376,722,1654,0,64,0.6984715,8.067416,7.36,8.34375,True,False
4750,475.0198,4121,101,0,2883,960,1923,1,66,0.6612464,9.564357,10.17143,9.242424,True,False
4800,480.0201,4318,108,0,3483,1338,2145,0,67,0.5670684,8.351851,9.170732,7.850746,True,False
