Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
500,5.00002,1080,100,0,828,634,194,0,26,0.3026581,2.38,2.391892,2.346154,True,False,35,2.857143,3.15102,7,11,0,0,0,0
1000,10.00013,1181,103,0,946,562,384,0,42,0.4001152,3.262136,3.213115,3.333333,True,False,30,3.433333,6.912222,13,9,0,0,0,0
1500,15.00025,1281,102,0,904,546,358,0,41,0.4413059,4.45098,4.360656,4.585366,True,False,23,4.434783,10.3327,13,4,0,0,0,0
2000,20.00036,1425,102,0,923,568,355,0,39,0.5281177,5.215686,5.380952,4.948718,True,False,21,4.857143,9.646257,11,3,0,0,0,0
2500,25.00048,1611,102,0,1345,789,556,0,40,0.4378878,6.392157,6.129032,6.8,True,False,15,6.8,21.36,17,2,0,0,0,0
3000,30.00059,1762,102,0,1254,626,628,0,51,0.4742508,7.72549,8.176471,7.27451,True,False,13,7.846154,26.74556,17,2,0,0,0,0
3500,35.00013,1949,102,0,1458,715,743,0,53,0.4984541,8.254902,7.653061,8.81132,True,False,13,7.846154,26.43787,17,2,0,0,0,0
4000,39.99929,2140,103,0,1357,646,711,0,55,0.5249959,10.54369,10.3125,10.74545,True,False,11,9.363636,65.32232,25,3,0,0,0,0
4500,44.99846,2363,106,0,1640,892,748,0,49,0.5622298,12.64151,13.38597,11.77551,True,False,9,11.77778,321.5062,58,4,0,0,0,0
5000,49.99762,2593,108,0,2156,1000,1156,0,57,0.7929028,18.2037,18.27451,18.14035,True,False,10,10.8,302.76,58,5,0,0,0,0
5500,54.99678,2821,108,0,1941,762,1179,0,67,0.812738,24.38889,24.36585,24.40298,True,False,8,13.5,358.75,59,3,0,0,0,0
6000,59.99594,3065,110,0,1997,832,1165,0,63,0.8244502,22.89091,26.23404,20.39683,True,False,8,13.75,361.1875,59,3,0,0,0,0
6500,64.99548,3353,109,0,2181,928,1253,0,62,0.8151525,24.38532,25.89362,23.24194,True,False,8,13.625,357.9844,59,3,0,0,0,0
7000,69.99654,3653,111,0,2450,791,1659,0,72,0.825933,22.82883,21.58974,23.5,True,False,7,15.85714,429.2653,61,3,0,0,0,0
7500,74.99761,3926,115,0,3110,980,2130,0,77,0.8417463,23.44348,22.39474,23.96104,True,False,9,12.77778,358.1729,60,4,0,0,0,0
8000,79.99868,4272,111,0,3566,918,2648,0,83,0.9109805,22.75676,22.64286,22.79518,True,False,10,11.1,303.49,57,5,0,0,0,0
8500,84.99975,4621,111,0,3390,1013,2377,0,78,0.8840981,22.14414,21.9697,22.21795,True,False,12,9.25,253.0208,55,7,0,0,0,0
9000,90.00082,4992,111,0,3471,1112,2359,0,76,0.8677532,21.49549,20.6,21.90789,True,False,12,9.25,244.5208,54,7,0,0,0,0
9500,95.00188,5359,109,0,3209,1136,2073,0,70,0.8425429,21.85321,21.58974,22,True,False,12,9.083333,241.2431,54,7,0,0,0,0
10000,100.003,5751,111,0,4047,1608,2439,0,66,0.877609,22.1982,22.33333,22.10606,True,False,10,11.1,295.89,56,5,0,0,0,0
10500,105.004,6116,114,0,4890,1283,3607,0,85,0.9101263,22.2807,22.89655,22.07059,True,False,10,11.4,400.04,57,6,0,0,0,0
11000,110.0051,6502,115,0,5211,1565,3646,1,80,0.9306204,22.10435,20.25714,22.9125,True,False,10,11.5,412.05,59,6,0,0,0,0
11500,115.0062,6803,118,0,5590,1080,4510,0,95,0.873278,21.84746,19.26087,22.47368,True,False,11,10.72727,385.8347,58,6,0,0,0,0
12000,120.0072,7215,119,0,6345,1569,4776,0,89,0.900367,22.62185,20.26667,23.41573,True,False,12,9.916667,363.0764,59,7,0,0,0,0
12500,125.0083,7547,121,0,6395,1371,5024,0,95,0.883898,23.43802,23.5,23.42105,True,False,10,12.1,417.29,59,3,0,0,0,0
