Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1099,115,0,976,730,246,0,30,0.01452428,1.06087,1.141176,0.8333333,False,False,115,1,0,1,115
100,10,1202,118,0,1117,723,394,0,42,0.05000379,1.20339,1.065789,1.452381,False,False,118,1,0,1,118
150,15.00002,1289,123,0,1179,736,443,1,49,0.06220614,1.284553,1.283784,1.285714,False,False,123,1,0,1,123
200,20.00004,1385,137,0,1531,880,651,1,58,0.02608475,1.445256,1.455696,1.431034,False,False,137,1,0,1,137
250,25.00006,1478,149,0,1730,1019,711,0,61,0.07773946,1.167785,1.215909,1.098361,False,False,149,1,0,1,149
300,30.00008,1574,168,0,2067,1112,955,3,82,0.05490458,1.428571,1.290698,1.573171,False,False,168,1,0,1,168
350,35.00004,1705,162,0,2177,1164,1013,1,75,0.06685007,1.222222,1.183908,1.266667,False,False,162,1,0,1,162
400,39.99996,1801,174,0,2424,1203,1221,2,84,0.08182628,1.436782,1.5,1.369048,False,False,174,1,0,1,174
450,44.99989,1937,197,0,3054,1577,1477,4,94,0.07105009,1.746193,1.747573,1.744681,False,False,197,1,0,1,197
500,49.99981,2042,217,0,3387,1543,1844,0,121,0.08559988,1.9447,2.041667,1.867769,False,False,217,1,0,1,217
550,54.99973,2155,226,0,3888,2022,1866,1,108,0.06564406,1.876106,1.88983,1.861111,False,False,226,1,0,1,226
600,59.99966,2227,238,0,3942,1916,2026,7,121,0.07923131,2.096639,2.179487,2.016529,False,False,238,1,0,1,238
650,64.99958,2321,256,0,4398,2244,2154,4,130,0.09966285,2.253906,2.214286,2.292308,False,False,256,1,0,1,256
700,69.9995,2384,299,0,5496,2737,2759,3,151,0.1003311,2.749164,2.918919,2.582782,False,False,299,1,0,1,299
750,74.99943,2442,327,0,6016,2752,3264,4,173,0.05027245,3.036697,3.116883,2.965318,False,False,327,1,0,1,327
800,79.99935,2466,371,0,6988,3319,3669,4,198,0.06708199,3,3,3,False,False,371,1,0,1,371
850,84.99928,2428,419,0,8110,3702,4408,4,222,0.07525418,3.541766,3.639594,3.454955,False,False,419,1,0,1,419
900,89.9992,2378,476,0,8940,3948,4992,8,265,0.03501352,3.928571,3.947867,3.913208,False,False,476,1,0,1,476
950,94.99912,2339,519,0,9438,4537,4901,7,272,0.02750671,4.408478,4.45749,4.363971,False,False,519,1,0,1,519
1000,99.99905,2247,561,0,9709,4903,4806,4,283,0.0274493,4.72549,4.784173,4.667844,False,False,561,1,0,1,561
1050,104.999,2098,616,0,10111,4583,5528,6,342,0.04103361,5.077922,5.324818,4.880117,False,False,616,1,0,1,616
1100,109.9989,1939,679,0,10229,4932,5297,4,354,0.01171048,5.344625,5.372308,5.319209,False,False,679,1,0,1,679
1150,114.9988,1783,711,0,10037,4975,5062,8,354,0.01121522,5.683544,5.579832,5.788136,False,False,711,1,0,1,711
1200,119.9987,1613,742,0,9300,4699,4601,9,359,0.02467788,6.404313,6.574412,6.222841,False,False,742,1,0,1,742
1250,124.9987,1443,760,0,8520,4784,3736,7,336,0.01706213,6.218421,6.080189,6.392857,False,False,760,1,0,1,760
1300,129.9987,1284,796,0,7712,4606,3106,5,330,0.01669769,6.238693,6.201717,6.290909,False,False,796,1,0,1,796
1350,134.999,1116,805,0,6919,4371,2548,7,300,0.01669758,6.458385,6.542574,6.316667,False,False,805,1,0,1,805
1400,139.9993,949,805,0,5972,3889,2083,11,282,0.005953331,6.223602,6.210325,6.248227,False,False,805,1,0,1,805
1450,144.9996,815,794,0,4921,3317,1604,7,251,0.03158594,5.992444,6.051565,5.864542,False,False,794,1,0,1,794
1500,150,666,775,0,3959,2727,1232,4,235,0.03204567,6.074839,6.07037,6.085106,False,False,775,1,0,1,775
1550,155.0003,568,757,0,3306,2362,944,7,216,0.02971097,6.200793,6.225508,6.138889,False,False,757,1,0,1,757
1600,160.0006,461,728,0,2558,1965,593,4,162,0.03410939,5.497253,5.480566,5.555555,False,False,728,1,0,1,728
1650,165.0009,396,680,0,2108,1699,409,2,125,0.03981992,5.413235,5.418018,5.392,False,False,680,1,0,1,680
