Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1057,102,0,852,569,283,1,35,0.02178246,0.9019608,0.8955224,0.9142857,False,False,102,1,0,1,102
100,10,1114,104,0,859,513,346,2,37,0.02654724,0.7403846,0.7313433,0.7567568,False,False,104,1,0,1,104
150,15.00002,1192,106,0,950,573,377,1,40,0.02749998,0.7924528,0.8636364,0.675,False,False,106,1,0,1,106
200,20.00004,1267,110,0,1072,588,484,1,48,0.03336183,0.7272727,0.6774194,0.7916667,False,False,110,1,0,1,110
250,25.00006,1333,116,0,1147,626,521,2,53,0.05199645,1.241379,1.206349,1.283019,False,False,116,1,0,1,116
300,30.00008,1407,109,0,1221,669,552,0,48,0.02371067,0.9724771,0.9180328,1.041667,False,False,109,1,0,1,109
350,35.00004,1512,115,0,1329,769,560,0,47,0.07797508,1.095652,1.073529,1.12766,False,False,115,1,0,1,115
400,39.99996,1551,115,0,1368,817,551,1,46,0.1088885,0.6434783,0.6086956,0.6956522,False,False,115,1,0,1,115
450,44.99989,1635,104,0,1252,693,559,0,48,0.1400871,0.9038461,0.9642857,0.8333333,False,False,104,1,0,1,104
500,49.99981,1692,110,0,1377,712,665,0,51,0.1269296,0.8181818,0.8305085,0.8039216,False,False,110,1,0,1,110
550,54.99973,1742,123,0,1608,800,808,0,60,0.04256912,1.170732,1.269841,1.066667,False,False,123,1,0,1,123
600,59.99966,1795,132,0,1808,969,839,2,60,0.1355892,1.015152,1.027778,1,False,False,132,1,0,1,132
650,64.99958,1839,152,0,2206,982,1224,4,80,0.1254375,1.394737,1.472222,1.325,False,False,152,1,0,1,152
700,69.9995,1855,161,0,2313,1163,1150,2,81,0.1125511,1.484472,1.55,1.419753,False,False,161,1,0,1,161
750,74.99943,1895,165,0,2397,1156,1241,2,84,0.1489381,1.454545,1.481481,1.428571,False,False,165,1,0,1,165
800,79.99935,1921,166,0,2525,1381,1144,2,74,0.1586564,1.349398,1.369565,1.324324,False,False,166,1,0,1,166
850,84.99928,1937,188,0,2800,1470,1330,1,91,0.1128447,1.808511,1.896907,1.714286,False,False,188,1,0,1,188
900,89.9992,1952,201,0,2937,1381,1556,2,104,0.1257219,1.60199,1.515464,1.682692,False,False,201,1,0,1,201
950,94.99912,1962,211,0,3195,1615,1580,5,103,0.08082397,2.132701,2.240741,2.019418,False,False,211,1,0,1,211
1000,99.99905,1968,223,0,3422,1675,1747,3,114,0.09606641,1.865471,1.954128,1.780702,False,False,223,1,0,1,223
1050,104.999,1936,245,0,3617,1660,1957,5,127,0.06288306,2.118367,2.355932,1.897638,False,False,245,1,0,1,245
1100,109.9989,1911,254,0,3872,1949,1923,5,127,0.04562325,2.251969,2.354331,2.149606,False,False,254,1,0,1,254
1150,114.9988,1847,297,0,4231,2089,2142,5,151,0.06274355,2.488215,2.376712,2.596026,False,False,297,1,0,1,297
1200,119.9987,1805,315,0,4316,2181,2135,4,158,0.04351724,2.768254,2.866242,2.670886,False,False,315,1,0,1,315
1250,124.9987,1749,341,0,4629,2278,2351,3,168,0.03904014,2.923754,2.872832,2.976191,False,False,341,1,0,1,341
1300,129.9987,1684,373,0,4930,2418,2512,3,186,0.03922357,2.887399,2.893048,2.881721,False,False,373,1,0,1,373
1350,134.999,1604,401,0,5090,2513,2577,0,203,0.004205572,3.30424,3.242424,3.364532,False,False,401,1,0,1,401
1400,139.9993,1552,425,0,5090,2955,2135,1,182,0.04271781,3.642353,3.63786,3.648352,False,False,425,1,0,1,425
1450,144.9996,1442,442,0,4923,2798,2125,3,189,0.05671616,3.710407,3.747036,3.661376,False,False,442,1,0,1,442
1500,150,1325,470,0,4876,2641,2235,2,213,0.06226367,3.965957,4.042801,3.87324,False,False,470,1,0,1,470
1550,155.0003,1238,481,0,4713,2797,1916,5,188,0.07339508,3.783784,3.767918,3.808511,False,False,481,1,0,1,481
1600,160.0006,1122,492,0,4191,2657,1534,5,183,0.0803929,4.193089,4.152103,4.262295,False,False,492,1,0,1,492
1650,165.0009,1030,507,0,4095,2615,1480,4,182,0.06280203,3.948718,3.916923,4.005495,False,False,507,1,0,1,507
1700,170.0012,924,494,0,3599,2228,1371,4,185,0.02878278,4.072875,4.187702,3.881081,False,False,494,1,0,1,494
1750,175.0015,844,494,0,3287,2277,1010,5,155,0.02651084,3.90081,3.890856,3.922581,False,False,494,1,0,1,494
1800,180.0018,762,515,0,2973,1991,982,5,169,0.02345112,4.11068,4.199422,3.928994,False,False,515,1,0,1,515
1850,185.0021,717,505,0,2791,1986,805,6,145,0.02782895,3.972277,3.961111,4,False,False,505,1,0,1,505
1900,190.0024,630,513,0,2427,1724,703,0,149,0.03262943,4.177388,4.302198,3.872483,False,False,513,1,0,1,513
1950,195.0027,537,511,0,2152,1492,660,1,148,0.02330685,4.203523,4.173554,4.277027,False,False,511,1,0,1,511
2000,200.003,484,502,0,1917,1369,548,2,131,0.02716814,4.211155,4.212938,4.206107,False,False,502,1,0,1,502
2050,205.0033,436,499,0,1626,1291,335,1,106,0.06714047,3.983968,3.949109,4.113207,False,False,499,1,0,1,499
2100,210.0036,392,474,0,1429,1100,329,2,100,0.04965349,3.748945,3.68984,3.97,False,False,474,1,0,1,474
2150,215.0039,361,451,0,1238,992,246,2,86,0.02393257,3.523282,3.509589,3.581395,False,False,451,1,0,1,451
2200,220.0042,328,435,0,1158,906,252,4,83,0.0290431,3.390805,3.355114,3.542169,False,False,435,1,0,1,435
2250,225.0045,299,408,0,1002,845,157,2,55,0.05361046,3.367647,3.3966,3.181818,False,False,408,1,0,1,408
2300,230.0048,289,384,0,888,765,123,0,53,0.05805012,2.942708,2.969789,2.773585,False,False,384,1,0,1,384
2350,235.0051,271,368,0,784,666,118,0,49,0.03636511,3.013587,3.009404,3.040816,False,False,368,1,0,1,368
2400,240.0054,246,353,0,702,576,126,1,54,0.02755858,2.810198,2.799331,2.87037,False,False,353,1,0,1,353
2450,245.0058,232,329,0,641,527,114,0,56,0.01502123,2.717325,2.70696,2.767857,False,False,329,1,0,1,329
2500,250.0061,231,296,0,554,491,63,1,33,0.04588882,2.506757,2.471483,2.787879,False,False,296,1,0,1,296
2550,255.0064,227,279,0,500,428,72,1,34,0.07685297,2.200717,2.183673,2.323529,False,False,279,1,0,1,279
2600,260.0067,221,272,0,450,391,59,0,31,0.06977795,2.205882,2.228216,2.032258,False,False,272,1,0,1,272
2650,265.007,229,248,0,431,383,48,1,29,0.06560469,1.943548,1.936073,2,False,False,248,1,0,1,248
2700,270.0073,245,221,0,408,360,48,1,21,0.07005891,1.764706,1.81,1.333333,False,False,221,1,0,1,221
2750,275.0076,245,213,0,403,366,37,1,24,0.09505232,1.774648,1.73545,2.083333,False,False,213,1,0,1,213
2800,280.0079,264,197,0,372,348,24,1,15,0.1184024,1.42132,1.395604,1.733333,False,False,197,1,0,1,197
2850,285.0082,273,191,0,385,336,49,0,23,0.1416063,1.633508,1.595238,1.913043,False,False,191,1,0,1,191
2900,290.0085,268,184,0,374,301,73,0,38,0.1263613,1.380435,1.465753,1.052632,False,False,184,1,0,1,184
2950,295.0088,285,177,0,393,333,60,0,29,0.1191914,1.220339,1.283784,0.8965517,False,False,177,1,0,1,177
3000,300.0091,313,161,0,399,344,55,0,22,0.1480072,1.10559,1.115108,1.045455,False,False,161,1,0,1,161
