Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1066,109,0,896,581,315,0,38,0.1710774,0.8440367,0.915493,0.7105263,False,False,109,1,0,1,109
100,10,1176,102,0,979,602,377,1,40,0.1996961,0.8627451,0.9032258,0.8,False,False,102,1,0,1,102
150,15.00002,1251,108,0,1085,757,328,1,34,0.183735,0.9814815,0.9594595,1.029412,False,False,108,1,0,1,108
200,20.00004,1356,113,0,1177,719,458,1,46,0.08831646,1.097345,1.059701,1.152174,False,False,113,1,0,1,113
250,25.00006,1447,113,0,1188,666,522,1,49,0.03582469,1.088496,1.21875,0.9183673,False,False,113,1,0,1,113
300,30.00008,1552,112,0,1303,751,552,0,47,0.005096034,0.8571429,0.9076923,0.7872341,False,False,112,1,0,1,112
350,35.00004,1626,123,0,1603,787,816,0,62,0.05025659,1.268293,1.377049,1.16129,False,False,123,1,0,1,123
400,39.99996,1733,127,0,1697,880,817,0,64,0.05593426,1.19685,1.285714,1.109375,False,False,127,1,0,1,127
450,44.99989,1819,135,0,1912,1037,875,3,61,0.08908592,1.288889,1.256757,1.327869,False,False,135,1,0,1,135
500,49.99981,1893,135,0,1961,953,1008,1,68,0.106874,1.140741,1.343284,0.9411765,False,False,135,1,0,1,135
550,54.99973,2002,137,0,2046,959,1087,0,71,0.1285484,1.051095,1.090909,1.014084,False,False,137,1,0,1,137
600,59.99966,2057,147,0,2426,1424,1002,2,60,0.09465684,1.197279,1.195402,1.2,False,False,147,1,0,1,147
650,64.99958,2101,163,0,2719,1348,1371,4,76,0.1257803,1.503067,1.448276,1.565789,False,False,163,1,0,1,163
700,69.9995,2165,171,0,2828,1526,1302,2,79,0.1431011,1.508772,1.543478,1.468354,False,False,171,1,0,1,171
750,74.99943,2240,184,0,3218,1567,1651,0,96,0.1433637,1.402174,1.465909,1.34375,False,False,184,1,0,1,184
800,79.99935,2261,202,0,3664,1648,2016,1,113,0.09279885,1.772277,1.966292,1.619469,False,False,202,1,0,1,202
850,84.99928,2280,230,0,4132,1683,2449,1,139,0.08299296,1.869565,1.934066,1.827338,False,False,230,1,0,1,230
900,89.9992,2298,249,0,4443,2131,2312,3,131,0.1184517,2.208835,2.042373,2.358779,False,False,249,1,0,1,249
950,94.99912,2311,257,0,4440,1977,2463,2,138,0.03142567,2.22179,2.235294,2.210145,False,False,257,1,0,1,257
1000,99.99905,2318,272,0,4849,2377,2472,2,143,0.08960918,2.294118,2.472868,2.132867,False,False,272,1,0,1,272
1050,104.999,2291,298,0,5466,2427,3039,4,164,0.07524101,2.560403,2.641791,2.493902,False,False,298,1,0,1,298
1100,109.9989,2272,322,0,5618,2589,3029,2,178,0.04841137,2.850932,2.847222,2.853933,False,False,322,1,0,1,322
1150,114.9988,2219,362,0,6166,2729,3437,4,205,0.03231739,3.060773,3.025478,3.087805,False,False,362,1,0,1,362
1200,119.9987,2146,392,0,6454,3030,3424,10,198,0.05514009,3.17602,3.041237,3.308081,False,False,392,1,0,1,392
1250,124.9987,2086,417,0,6693,3255,3438,2,216,0.02450729,3.434053,3.452736,3.416667,False,False,417,1,0,1,417
1300,129.9987,1990,448,0,6924,3440,3484,7,224,0.04547729,3.629464,3.424107,3.834821,False,False,448,1,0,1,448
1350,134.999,1903,496,0,7294,3842,3452,11,226,0.05174436,3.953629,3.781482,4.159292,False,False,496,1,0,1,496
1400,139.9993,1770,545,0,7579,3809,3770,8,267,0.04109177,4.220183,4.241007,4.198502,False,False,545,1,0,1,545
1450,144.9996,1636,583,0,7396,3877,3519,6,279,0.04769278,4.794168,4.845395,4.738351,False,False,583,1,0,1,583
1500,150,1520,598,0,6839,3937,2902,5,248,0.007072493,4.908027,5.025714,4.741935,False,False,598,1,0,1,598
1550,155.0003,1378,625,0,6770,4159,2611,4,245,0.01505387,5.152,5.15,5.155102,False,False,625,1,0,1,625
1600,160.0006,1217,643,0,6127,3540,2587,5,277,0.01280341,5.272162,5.379781,5.129964,False,False,643,1,0,1,643
1650,165.0009,1094,655,0,5649,3481,2168,8,240,0.01526084,5.323664,5.209639,5.520833,False,False,655,1,0,1,655
1700,170.0012,980,645,0,4756,3017,1739,7,221,0.02514333,5.268217,5.308962,5.190045,False,False,645,1,0,1,645
1750,175.0015,868,618,0,4047,2724,1323,5,200,0.04298555,4.936893,4.863636,5.09,False,False,618,1,0,1,618
1800,180.0018,784,633,0,3708,2573,1135,4,205,0.01840758,5.011058,5,5.034146,False,False,633,1,0,1,633
1850,185.0021,669,619,0,3082,2155,927,6,179,0.03669604,4.903069,4.977273,4.72067,False,False,619,1,0,1,619
1900,190.0024,579,614,0,2709,1968,741,3,165,0.04045947,4.956026,5.013363,4.8,False,False,614,1,0,1,614
1950,195.0027,513,590,0,2306,1725,581,1,149,0.05064538,4.708475,4.712018,4.697987,False,False,590,1,0,1,590
2000,200.003,434,565,0,1826,1409,417,0,123,0.04304241,4.442478,4.479638,4.308943,False,False,565,1,0,1,565
2050,205.0033,387,543,0,1612,1287,325,1,103,0.04771062,4.195212,4.290909,3.786408,False,False,543,1,0,1,543
2100,210.0036,352,516,0,1452,1181,271,1,86,0.01818876,4.040698,4.048837,4,False,False,516,1,0,1,516
2150,215.0039,301,496,0,1135,928,207,1,87,0.02071196,3.907258,3.963325,3.643678,False,False,496,1,0,1,496
2200,220.0042,282,460,0,969,835,134,2,66,0.01142624,3.676087,3.687817,3.606061,False,False,460,1,0,1,460
2250,225.0045,258,427,0,775,653,122,2,55,0.02694833,3.311476,3.325269,3.218182,False,False,427,1,0,1,427
2300,230.0048,250,393,0,730,644,86,1,44,0.04670947,3.180662,3.189112,3.113636,False,False,393,1,0,1,393
2350,235.0051,242,364,0,732,667,65,1,31,0.06133744,2.824176,2.816817,2.903226,False,False,364,1,0,1,364
2400,240.0054,224,342,0,628,536,92,1,42,0.09754352,2.751462,2.806667,2.357143,False,False,342,1,0,1,342
2450,245.0058,219,320,0,506,436,70,0,39,0.06819778,2.621875,2.597865,2.794872,False,False,320,1,0,1,320
2500,250.0061,219,298,0,509,452,57,0,29,0.0748549,2.395973,2.464684,1.758621,False,False,298,1,0,1,298
2550,255.0064,233,278,0,458,414,44,0,24,0.08400424,2.244604,2.23622,2.333333,False,False,278,1,0,1,278
2600,260.0067,243,270,0,500,413,87,0,31,0.07880674,2.103704,2.125523,1.935484,False,False,270,1,0,1,270
2650,265.007,235,251,0,449,379,70,2,35,0.06033987,2.035856,2.050926,1.942857,False,False,251,1,0,1,251
2700,270.0073,240,237,0,457,391,66,2,30,0.01764752,1.624473,1.647343,1.466667,False,False,237,1,0,1,237
2750,275.0076,245,221,0,412,359,53,0,28,0.04647542,1.782805,1.797927,1.678571,False,False,221,1,0,1,221
2800,280.0079,248,209,0,377,311,66,0,33,0.07428771,1.746411,1.625,2.393939,False,False,209,1,0,1,209
2850,285.0082,253,201,0,373,330,43,0,26,0.05286171,1.522388,1.537143,1.423077,False,False,201,1,0,1,201
2900,290.0085,263,187,0,368,312,56,2,22,0.05473166,1.497326,1.472727,1.681818,False,False,187,1,0,1,187
2950,295.0088,286,172,0,391,358,33,1,15,0.07532565,1.372093,1.363057,1.466667,False,False,172,1,0,1,172
3000,300.0091,296,164,0,324,278,46,2,17,0.05266323,1.268293,1.258503,1.352941,False,False,164,1,0,1,164
3050,305.0094,305,161,0,387,322,65,1,23,0.06561513,1.192547,1.152174,1.434783,False,False,161,1,0,1,161
3100,310.0097,323,156,0,381,302,79,1,27,0.06962512,1.314103,1.364341,1.074074,False,False,156,1,0,1,156
3150,315.01,353,150,0,432,329,103,0,32,0.1043476,1.133333,1.186441,0.9375,False,False,150,1,0,1,150
3200,320.0103,395,141,0,444,364,80,2,24,0.1169784,1.212766,1.153846,1.5,False,False,141,1,0,1,141
3250,325.0106,421,142,0,479,404,75,1,22,0.06411272,1.183099,1.175,1.227273,False,False,142,1,0,1,142
3300,330.0109,444,137,0,491,401,90,2,25,0.08417637,1.306569,1.285714,1.4,False,False,137,1,0,1,137
