Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1090,103,0,853,673,180,0,23,0.05766394,0.6601942,0.625,0.7826087,False,False,103,1,0,1,103
100,10,1184,97,0,893,552,341,0,32,0.07831002,0.742268,0.8461539,0.53125,False,False,97,1,0,1,97
150,15.00002,1317,94,0,971,627,344,0,33,0.01928681,0.8085107,0.7868853,0.8484849,False,False,94,1,0,1,94
200,20.00004,1438,104,0,1112,640,472,1,45,0.0514407,0.8846154,0.8305085,0.9555556,False,False,104,1,0,1,104
250,25.00006,1574,105,0,1294,673,621,2,53,0.1347483,0.8380952,0.9038461,0.7735849,False,False,105,1,0,1,105
300,30.00008,1706,114,0,1545,954,591,1,43,0.1229206,1.131579,1.098592,1.186046,False,False,114,1,0,1,114
350,35.00004,1825,123,0,1746,808,938,0,65,0.09032091,1.219512,1.172414,1.261539,False,False,123,1,0,1,123
400,39.99996,1931,139,0,2073,983,1090,2,72,0.06946101,1.410072,1.179104,1.625,False,False,139,1,0,1,139
450,44.99989,2023,145,0,2274,1001,1273,2,83,0.06676973,1.2,1.096774,1.277108,False,False,145,1,0,1,145
500,49.99981,2164,154,0,2610,1235,1375,3,81,0.07787294,1.246753,1.246575,1.246914,False,False,154,1,0,1,154
550,54.99973,2280,164,0,2937,1360,1577,1,88,0.07231043,1.170732,1.210526,1.136364,False,False,164,1,0,1,164
600,59.99966,2399,174,0,3200,1559,1641,1,89,0.04501174,1.534483,1.529412,1.539326,False,False,174,1,0,1,174
650,64.99958,2478,200,0,3800,1873,1927,1,98,0.06481513,1.55,1.539216,1.561224,False,False,200,1,0,1,200
700,69.9995,2539,214,0,4172,1745,2427,2,124,0.01502634,1.635514,1.511111,1.725806,False,False,214,1,0,1,214
750,74.99943,2637,228,0,4696,1955,2741,1,130,0.05843831,1.754386,1.806122,1.715385,False,False,228,1,0,1,228
800,79.99935,2721,251,0,5197,2058,3139,1,150,0.05248455,2.087649,2.09901,2.08,False,False,251,1,0,1,251
850,84.99928,2805,270,0,5882,2498,3384,2,156,0.06139234,2.185185,2.166667,2.198718,False,False,270,1,0,1,270
900,89.9992,2863,297,0,6530,2636,3894,8,180,0.01224595,2.555556,2.452991,2.622222,False,False,297,1,0,1,297
950,94.99912,2866,344,0,7642,2907,4735,4,214,0.02446936,2.994186,3.238461,2.845794,False,False,344,1,0,1,344
1000,99.99905,2840,382,0,8446,3800,4646,7,204,0.03458509,3.052356,2.94382,3.147059,False,False,382,1,0,1,382
1050,104.999,2782,410,0,8771,3651,5120,4,240,0.03160085,3.336585,3.4,3.291667,False,False,410,1,0,1,410
1100,109.9989,2659,471,0,9911,4366,5545,6,264,0.03490993,3.757962,3.922705,3.628788,False,False,471,1,0,1,471
1150,114.9988,2563,518,0,10376,4702,5674,6,281,0.05298961,4.196911,4.409283,4.017794,False,False,518,1,0,1,518
1200,119.9987,2408,584,0,11002,4956,6046,5,316,0.01847942,4.777397,4.764925,4.787975,False,False,584,1,0,1,584
1250,124.9987,2265,642,0,11272,5078,6194,7,350,0.04403922,5.417446,5.486301,5.36,False,False,642,1,0,1,642
1300,129.9987,2095,684,0,11067,5064,6003,8,365,0.03573119,5.682748,5.623825,5.734247,False,False,684,1,0,1,684
1350,134.999,1875,752,0,10871,5614,5257,8,364,0.04058725,5.902925,5.832474,5.978022,False,False,752,1,0,1,752
1400,139.9993,1671,788,0,10270,5791,4479,10,343,0.02159011,6.220812,6.310112,6.104956,False,False,788,1,0,1,788
1450,144.9996,1467,834,0,9689,5588,4101,3,350,0.01513196,6.497602,6.634297,6.308571,False,False,834,1,0,1,834
1500,150,1266,864,0,8534,4936,3598,8,367,0.0207675,6.72338,6.806841,6.610354,False,False,864,1,0,1,864
1550,155.0003,1067,879,0,7376,4539,2837,3,344,0.03002813,6.986348,7.143925,6.741279,False,False,879,1,0,1,879
1600,160.0006,864,882,0,5979,3850,2129,3,308,0.03877228,6.982993,7.111498,6.743506,False,False,882,1,0,1,882
1650,165.0009,712,892,0,4897,3315,1582,3,274,0.03454674,7.023542,6.988673,7.10219,False,False,892,1,0,1,892
1700,170.0012,572,857,0,3846,2969,877,5,208,0.0567702,6.855309,6.864407,6.826923,False,False,857,1,0,1,857
1750,175.0015,439,844,0,2840,2141,699,3,198,0.08069763,6.531991,6.600619,6.308081,False,False,844,1,0,1,844
1800,180.0018,369,795,0,2309,1853,456,2,144,0.07566885,6.227673,6.316436,5.826389,False,False,795,1,0,1,795
1850,185.0021,262,766,0,1540,1249,291,3,137,0.06084939,5.962141,6.022257,5.686131,False,False,766,1,0,1,766
1900,190.0024,212,712,0,1114,942,172,1,98,0.03362925,5.678371,5.64658,5.877551,False,False,712,1,0,1,712
1950,195.0027,183,658,0,983,860,123,2,70,0.05028665,5.012158,5.011905,5.014286,False,False,658,1,0,1,658
2000,200.003,148,609,0,726,652,74,1,56,0.05856691,4.799672,4.813743,4.660714,False,False,609,1,0,1,609
2050,205.0033,143,562,0,631,587,44,0,44,0.06891792,4.434164,4.46332,4.090909,False,False,562,1,0,1,562
2100,210.0036,127,532,0,490,448,42,2,37,0.066353,4.430451,4.456566,4.081081,False,False,532,1,0,1,532
2150,215.0039,117,494,0,412,377,35,0,30,0.03424353,3.92915,3.954741,3.533333,False,False,494,1,0,1,494
2200,220.0042,120,453,0,424,405,19,1,21,0.05855892,3.534216,3.509259,4.047619,False,False,453,1,0,1,453
2250,225.0045,109,419,0,303,285,18,1,28,0.04369373,3.174224,3.176471,3.142857,False,False,419,1,0,1,419
2300,230.0048,110,390,0,361,326,35,0,24,0.05356674,3.102564,3.125683,2.75,False,False,390,1,0,1,390
2350,235.0051,95,361,0,250,233,17,0,21,0.03365087,2.819945,2.835294,2.571429,False,False,361,1,0,1,361
2400,240.0054,84,336,0,236,229,7,1,22,0.06253587,2.803571,2.796178,2.909091,False,False,336,1,0,1,336
2450,245.0058,95,314,0,237,226,11,1,14,0.02524137,2.601911,2.59,2.857143,False,False,314,1,0,1,314
2500,250.0061,87,293,0,211,202,9,0,13,0.07128754,2.341297,2.325,2.692308,False,False,293,1,0,1,293
2550,255.0064,85,264,0,160,141,19,1,16,0.09017609,2.060606,2.072581,1.875,False,False,264,1,0,1,264
2600,260.0067,86,237,0,154,148,6,0,12,0.09459096,1.957806,1.946667,2.166667,False,False,237,1,0,1,237
