Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1082,107,0,921,668,253,0,29,0.1760107,0.8971962,0.8717949,0.9655172,False,False,107,1,0,1,107
100,10,1173,119,0,1096,679,417,0,43,0.09886265,0.9915966,0.9210526,1.116279,False,False,119,1,0,1,119
150,15.00002,1277,119,0,1170,689,481,0,50,0.1035892,1.109244,1.188406,1,False,False,119,1,0,1,119
200,20.00004,1360,118,0,1195,649,546,2,52,0.1166904,0.9152542,0.9090909,0.9230769,False,False,118,1,0,1,118
250,25.00006,1467,121,0,1396,781,615,1,52,0.1419143,0.8016529,0.7246377,0.9038461,False,False,121,1,0,1,121
300,30.00008,1580,130,0,1618,971,647,2,53,0.105113,0.8923077,0.9350649,0.8301887,False,False,130,1,0,1,130
350,35.00004,1696,143,0,1846,1017,829,0,68,0.0926408,1.524476,1.546667,1.5,False,False,143,1,0,1,143
400,39.99996,1819,153,0,2075,1122,953,0,70,0.0251144,1.359477,1.39759,1.314286,False,False,153,1,0,1,153
450,44.99989,1932,165,0,2425,1237,1188,3,80,0.02606944,1.527273,1.6,1.45,False,False,165,1,0,1,165
500,49.99981,2076,182,0,2985,1500,1485,1,91,0.06826623,1.824176,1.835165,1.813187,False,False,182,1,0,1,182
550,54.99973,2163,203,0,3482,1604,1878,3,112,0.04283575,1.714286,1.791209,1.651786,False,False,203,1,0,1,203
600,59.99966,2271,221,0,3743,1808,1935,3,113,0.1074373,2.013575,1.916667,2.106195,False,False,221,1,0,1,221
650,64.99958,2352,240,0,4244,1703,2541,4,141,0.067923,2.341667,2.070707,2.531915,False,False,240,1,0,1,240
700,69.9995,2480,249,0,4698,2090,2608,5,136,0.06495266,1.871486,1.867257,1.875,False,False,249,1,0,1,249
750,74.99943,2568,271,0,5511,2445,3066,3,151,0.02213584,2.354244,2.408333,2.311258,False,False,271,1,0,1,271
800,79.99935,2620,309,0,6286,2638,3648,3,175,0.06276146,2.886731,2.902985,2.874286,False,False,309,1,0,1,309
850,84.99928,2627,357,0,7404,3357,4047,4,199,0.02952834,2.929972,3.056962,2.829146,False,False,357,1,0,1,357
900,89.9992,2623,408,0,8368,3772,4596,4,220,0.03085183,3.294118,3.218085,3.359091,False,False,408,1,0,1,408
950,94.99912,2589,453,0,9036,4007,5029,5,249,0.06498997,3.717439,3.676471,3.751004,False,False,453,1,0,1,453
1000,99.99905,2530,484,0,9295,3804,5491,4,281,0.04224402,4.024794,4.280788,3.839858,False,False,484,1,0,1,484
1050,104.999,2480,530,0,10110,5001,5109,4,269,0.05601389,4.267924,4.229885,4.304833,False,False,530,1,0,1,530
1100,109.9989,2394,563,0,10465,4843,5622,7,295,0.05382789,4.545293,4.567164,4.525424,False,False,563,1,0,1,563
1150,114.9988,2249,603,0,10340,5155,5185,10,301,0.04051505,5.048093,5.072848,5.023256,False,False,603,1,0,1,603
1200,119.9987,2081,671,0,10791,5510,5281,11,330,0.03545418,5.479881,5.475073,5.484848,False,False,671,1,0,1,671
