Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1093,106,0,928,634,294,2,30,0.01626752,2.754717,2.868421,2.466667,True,False,37,2.864865,12.00877,17,20
100,10,1146,118,0,1006,645,361,0,43,0.2870466,5.661017,5.96,5.139535,True,False,25,4.72,89.6416,49,10
150,15.00002,1247,123,0,903,590,313,0,43,0.3933498,8.487804,8.7875,7.930233,True,False,16,7.6875,187.2148,51,6
200,20.00004,1318,126,0,1263,796,467,1,45,0.4045065,11.73016,11.95062,11.33333,True,False,17,7.411765,146.5952,46,7
250,25.00006,1392,132,0,1297,841,456,1,45,0.3567168,11.30303,11.72414,10.48889,True,False,17,7.764706,163.7094,49,7
300,30.00008,1460,145,0,1480,967,513,3,48,0.3791322,9.993103,9.814433,10.35417,True,False,18,8.055555,105.2747,37,5
350,35.00004,1553,149,0,1384,749,635,1,63,0.4421938,10.55705,10.72093,10.33333,True,False,19,7.842105,178.9751,46,10
400,39.99996,1632,148,0,1510,935,575,0,55,0.539814,9.864865,10.47312,8.836364,True,False,16,9.25,128.8125,36,7
450,44.99989,1681,158,0,1966,1084,882,2,74,0.6730384,10.29114,10.85714,9.648648,True,False,18,8.777778,93.95062,33,7
500,49.99981,1719,168,0,2141,1254,887,2,71,0.6381142,11.04167,10.85567,11.29577,True,False,16,10.5,140,39,7
550,54.99973,1784,178,0,2421,1469,952,1,72,0.5423678,11.55056,11.25472,11.98611,True,False,18,9.888889,160.4321,41,9
600,59.99966,1831,194,0,2204,1179,1025,2,89,0.5586526,13.19588,13.30476,13.06742,True,False,17,11.41177,302.2422,62,9
650,64.99958,1892,198,0,1957,1246,711,0,72,0.4759431,11.81818,11.46032,12.44444,True,False,16,12.375,754.2344,96,8
700,69.9995,1915,216,0,2337,1254,1083,3,92,0.4605076,11.37963,11.48387,11.23913,True,False,13,16.61539,2569.006,192,9
750,74.99943,1956,220,0,2246,1343,903,2,87,0.6583595,19.34546,19.36842,19.31034,True,False,12,18.33333,2481.889,182,8
800,79.99935,2023,217,0,1998,1260,738,2,78,0.7535342,17.70507,17.19424,18.61539,True,False,13,16.69231,2800.521,200,8
850,84.99928,2095,228,0,2325,1236,1089,2,102,0.7685525,13.25,12.76984,13.84314,True,False,15,15.2,2286.827,194,6
900,89.9992,2110,232,0,3268,1580,1688,5,108,0.7383548,13.14224,13.39516,12.85185,True,False,12,19.33333,3207.555,207,6
950,94.99912,2151,244,0,4152,2291,1861,5,107,0.7397839,12.73771,12.23358,13.38318,True,False,19,12.8421,800.133,102,9
1000,99.99905,2146,271,0,4820,2242,2578,3,142,0.7936853,12.51291,12.31783,12.69014,True,False,19,14.26316,714.615,86,11
1050,104.999,2155,286,0,4601,2108,2493,1,153,0.7695168,13.66434,13.54887,13.76471,True,False,23,12.43478,412.2457,77,11
1100,109.9989,2135,297,0,5039,2849,2190,2,128,0.7328618,12.85185,12.28402,13.60156,True,False,23,12.91304,512.7751,80,12
1150,114.9988,2096,326,0,4772,2400,2372,4,164,0.7084593,13.31288,12.5,14.11585,True,False,28,11.64286,1041.944,168,14
1200,119.9987,2012,366,0,5494,2883,2611,4,175,0.7475879,15.9071,16.33508,15.44,True,False,30,12.2,500.4933,84,13
1250,124.9987,1971,385,0,5529,2734,2795,4,194,0.7626309,14.23636,15.26178,13.2268,True,False,25,15.4,1510.96,185,12
1300,129.9987,1912,411,0,5245,2814,2431,3,187,0.7068813,16.75912,16.70089,16.82888,True,False,17,24.17647,4889.792,301,5
1350,134.999,1849,441,0,5380,2614,2766,5,200,0.7129208,19.66893,20.12863,19.115,True,False,18,24.5,2637.361,198,3
1400,139.9993,1764,467,0,5297,2943,2354,5,191,0.7031426,16.69379,16.03261,17.64921,True,False,14,33.35714,10874.8,409,3
1450,144.9996,1724,467,0,4549,2639,1910,7,179,0.731446,16.80942,17.08333,16.36872,True,False,12,38.91667,9260.743,354,4
1500,150,1654,475,0,4141,2052,2089,2,197,0.7092165,15.78947,16.90288,14.21827,True,False,15,31.66667,10520.76,415,8
1550,155.0003,1635,487,0,3561,2016,1545,6,173,0.7678256,19.98357,21.33121,17.53757,True,False,12,40.58333,11454.74,392,7
1600,160.0006,1596,504,0,4378,2688,1690,4,171,0.7873307,18.72222,19.02703,18.12865,True,False,16,31.5,8842,393,8
1650,165.0009,1536,501,0,3914,2415,1499,5,169,0.8011938,18.80639,19.55422,17.33728,True,False,14,35.78571,10712.31,402,8
1700,170.0012,1487,515,0,4085,2588,1497,3,160,0.781956,19.41359,20.07324,17.95,True,False,12,42.91667,9072.243,315,3
1750,175.0015,1455,531,0,3402,2254,1148,5,157,0.777834,18.18644,18.64171,17.10191,True,False,15,35.4,15155.71,496,6
1800,180.0018,1437,529,0,2858,1900,958,2,146,0.7800627,19.7637,19.79634,19.67808,True,False,13,40.69231,17505.29,499,3
1850,185.0021,1419,532,0,3156,2008,1148,2,153,0.8208811,16.41165,16.35884,16.54248,True,False,16,33.25,10878.94,432,6
1900,190.0024,1376,521,0,3224,1971,1253,1,155,0.7830488,17.23608,17.57104,16.44516,True,False,17,30.64706,7506.229,369,5
1950,195.0027,1340,527,0,3914,2300,1614,3,165,0.7587544,17.13473,17.58564,16.14545,True,False,16,32.9375,3438.809,214,4
2000,200.003,1290,538,0,4170,2528,1642,0,167,0.7601473,18.88848,18.87871,18.91018,True,False,15,35.86666,3406.249,206,4
2050,205.0033,1233,544,0,3819,2240,1579,5,175,0.7570529,18.375,18.40921,18.30286,True,False,17,32,4281.412,262,8
2100,210.0036,1192,546,0,4442,2697,1745,2,165,0.8070234,18.6685,19.19947,17.44242,True,False,10,54.6,4298.04,168,1
2150,215.0039,1117,538,0,4225,2536,1689,4,163,0.846475,21.94981,21.728,22.46012,True,False,13,41.38462,13264.7,434,8
