Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1071,108,0,974,603,371,1,38,0.2463936,2.37037,2.3,2.5,True,False,39,2.769231,4.07495,11,13
100,10,1160,108,0,867,577,290,1,35,0.4847389,4.416667,4.246575,4.771429,True,False,22,4.909091,13.80992,16,2
150,15.00002,1273,114,0,976,585,391,0,44,0.4699956,5.754386,5.714286,5.818182,True,False,19,6,34.31579,23,5
200,20.00004,1393,115,0,1160,754,406,1,41,0.5159977,6.182609,6.148649,6.243902,True,False,18,6.388889,37.34877,24,4
250,25.00006,1516,119,0,1315,789,526,3,45,0.4652378,6.15126,6.324324,5.866667,True,False,19,6.263158,28.5097,18,6
300,30.00008,1610,133,0,1470,751,719,2,68,0.5092478,6.992481,6.707692,7.264706,True,False,17,7.823529,38.85122,20,4
350,35.00004,1706,140,0,1949,1056,893,1,66,0.5355951,7.185714,7.135135,7.242424,True,False,19,7.368421,43.18005,23,7
400,39.99996,1817,155,0,2245,1297,948,0,65,0.5174945,7.767742,7.588889,8.015385,True,False,20,7.75,60.1875,28,6
450,44.99989,1921,182,0,2419,1481,938,1,73,0.5443892,8.736263,8.724771,8.753425,True,False,22,8.272727,69.01653,30,6
500,49.99981,2002,200,0,3175,1616,1559,2,98,0.5663864,9.27,9.313725,9.22449,True,False,25,8,110.24,37,10
550,54.99973,2063,217,0,3260,1476,1784,5,113,0.6304532,9.479262,9.163462,9.769912,True,False,22,9.863636,204.3905,48,6
600,59.99966,2140,237,0,3478,1780,1698,3,116,0.6157603,10.99156,10.42149,11.58621,True,False,19,12.47368,288.8809,55,8
650,64.99958,2227,257,0,3663,1817,1846,4,129,0.6535351,13.53307,12.91406,14.14729,True,False,20,12.85,327.9275,65,5
700,69.9995,2294,292,0,4503,2078,2425,10,148,0.6992599,14,13.53472,14.4527,True,False,22,13.27273,511.1984,95,11
750,74.99943,2326,317,0,4581,1998,2583,1,177,0.688136,14.16719,13.52143,14.67797,True,False,21,15.09524,381.3243,57,9
800,79.99935,2344,327,0,5134,2579,2555,6,166,0.6833663,13.85933,13.9441,13.77711,True,False,23,14.21739,302.0832,47,10
850,84.99928,2369,361,0,5432,2547,2885,3,188,0.6674284,14.06648,14.40462,13.75532,True,False,23,15.69565,891.9509,134,10
900,89.9992,2381,388,0,5606,2777,2829,4,191,0.763864,14.99485,15.58883,14.3822,True,False,24,16.16667,759.9722,112,9
950,94.99912,2368,410,0,5761,3286,2475,3,168,0.8106306,15.15854,16.30165,13.5119,True,False,25,16.4,1818.8,214,10
1000,99.99905,2343,426,0,6741,3114,3627,1,219,0.8072869,14.74413,15.70048,13.84018,True,False,28,15.21429,819.5969,142,8
1050,104.999,2356,437,0,7434,3716,3718,10,216,0.8055725,15.30435,15.64706,14.9537,True,False,21,20.80952,2850.535,255,5
1100,109.9989,2310,483,0,7477,3632,3845,5,237,0.771622,19.07867,19.54065,18.59916,True,False,20,24.15,3966.328,294,7
1150,114.9988,2259,522,0,7094,3642,3452,7,240,0.726129,19.12452,19.64894,18.50833,True,False,18,29,5334.778,318,7
1200,119.9987,2196,567,0,7590,3931,3659,5,257,0.7143805,16.5097,16.29677,16.76654,True,False,23,24.65217,4967.444,349,10
1250,124.9987,2128,595,0,8790,4163,4627,12,286,0.764428,15.23529,14.58252,15.94056,True,False,22,27.04545,3973.952,230,9
1300,129.9987,2040,629,0,8895,4564,4331,6,295,0.7777766,17.51351,16.90719,18.2,True,False,21,29.95238,4059.664,253,3
1350,134.999,1893,650,0,8201,4239,3962,7,299,0.8270472,16.82615,16.88319,16.7592,True,False,21,30.95238,4330.331,268,6
1400,139.9993,1800,678,0,7793,4413,3380,9,287,0.8166823,19.12242,18.9821,19.31359,True,False,26,26.07692,3266.917,274,9
1450,144.9996,1679,685,0,6832,3783,3049,6,287,0.8065705,18.84234,19.1809,18.37282,True,False,18,38.05556,8763.163,407,4
1500,150,1567,700,0,6598,3584,3014,4,280,0.829376,19.44571,18.93333,20.21428,True,False,13,53.84615,16082.13,474,3
1550,155.0003,1471,695,0,5723,3437,2286,4,252,0.8501558,19.71799,20.14221,18.97222,True,False,16,43.4375,11606.87,446,5
1600,160.0006,1394,699,0,5945,3648,2297,4,245,0.8761022,18.39914,18.43172,18.33878,True,False,8,87.375,46148.98,655,4
1650,165.0009,1308,714,0,6080,3864,2216,4,244,0.8410191,17.9944,18.13191,17.72951,True,False,13,54.92308,10756.07,385,4
1700,170.0012,1184,731,0,4909,3055,1854,1,253,0.8622091,17.68263,17.65063,17.74308,True,False,10,73.1,32814.29,608,5
