Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1075,104,0,787,595,192,0,25,0.1076351,2.442308,2.594937,1.96,True,False,42,2.476191,4.344671,9,19
100,10,1163,114,0,992,676,316,1,36,0.3336422,3.684211,3.974359,3.055556,True,False,34,3.352941,8.228373,11,12
150,15.00002,1253,111,0,952,590,362,1,45,0.4898467,4.63964,4.409091,4.977778,True,False,26,4.269231,15.19674,12,10
200,20.00004,1361,114,0,1060,595,465,1,48,0.4137162,5.631579,4.909091,6.625,True,False,23,4.956522,30.8242,22,10
250,25.00006,1475,114,0,1236,685,551,3,49,0.3570847,5.385965,5.061539,5.816327,True,False,20,5.7,34.71,23,6
300,30.00008,1608,111,0,1256,766,490,2,45,0.2921199,5.927928,5.984848,5.844444,True,False,18,6.166667,23.80556,16,5
350,35.00004,1759,122,0,1347,792,555,1,48,0.3528527,8.393442,8.581081,8.104167,True,False,14,8.714286,51.34694,21,4
400,39.99996,1883,126,0,1362,766,596,4,56,0.2716765,10.3254,9.328571,11.57143,True,False,13,9.692307,238.5207,59,5
450,44.99989,2005,142,0,1724,937,787,2,66,0.5161989,9.492958,9,10.06061,True,False,15,9.466666,394.7822,82,7
500,49.99981,2160,157,0,2237,986,1251,3,83,0.6670733,10.57962,9.581081,11.46988,True,False,15,10.46667,534.7822,95,5
550,54.99973,2297,164,0,2355,1165,1190,2,81,0.6786845,10.87805,10.31325,11.45679,True,False,18,9.111111,283.9877,72,4
600,59.99966,2455,175,0,2839,1432,1407,5,80,0.6043499,11.79429,10.88421,12.875,True,False,17,10.29412,373.1488,81,7
650,64.99958,2586,190,0,3359,1647,1712,3,93,0.6517707,10.99474,10.71134,11.29032,True,False,18,10.55556,363.8025,77,8
700,69.9995,2675,201,0,3593,1520,2073,0,108,0.5953261,11.83085,11.60215,12.02778,True,False,22,9.136364,276.2087,74,9
750,74.99943,2776,217,0,3891,1957,1934,3,107,0.5487271,12.09677,11.85455,12.34579,True,False,15,14.46667,632.5156,92,3
800,79.99935,2884,236,0,3901,1874,2027,7,118,0.7424332,16.68644,15.9661,17.40678,True,False,19,12.42105,1177.507,156,6
850,84.99928,2949,263,0,4251,2118,2133,6,124,0.6548569,14.96958,15.28058,14.62097,True,False,17,15.47059,1709.896,177,9
900,89.9992,3012,287,0,4937,2271,2666,3,152,0.661997,13.22648,13.17778,13.26974,True,False,19,15.10526,2892.621,243,11
950,94.99912,3075,322,0,5889,2251,3638,2,192,0.7289044,16.37888,16.5,16.29688,True,False,16,20.125,3068.359,228,9
1000,99.99905,3149,342,0,6866,3142,3724,6,180,0.70632,14.36257,14.20988,14.5,True,False,23,14.86957,2018.2,219,10
1050,104.999,3128,387,0,8212,3259,4953,9,227,0.7228782,15.354,15.00625,15.59912,True,False,25,15.48,1161.53,139,12
1100,109.9989,3128,412,0,8992,3644,5348,3,244,0.7765616,14.06796,13.95833,14.14344,True,False,22,18.72727,1452.653,121,9
1150,114.9988,3074,481,0,10311,4153,6158,3,277,0.7851388,14.85863,14.36275,15.22383,True,False,20,24.05,4010.647,273,9
1200,119.9987,2983,547,0,11696,4882,6814,1,315,0.7589735,17.10603,16.71983,17.39048,True,False,21,26.04762,5262.331,302,10
1250,124.9987,2863,607,0,12127,5065,7062,7,346,0.7783587,16.15321,16.55172,15.8526,True,False,21,28.90476,2987.705,201,11
1300,129.9987,2699,667,0,13697,5572,8125,7,381,0.7533607,16.33283,15.23776,17.15486,True,False,18,37.05556,9262.163,392,9
1350,134.999,2488,724,0,11073,5268,5805,8,376,0.751813,18.93923,19.1954,18.70213,True,False,18,40.22222,19530.06,614,11
1400,139.9993,2337,741,0,10596,5149,5447,8,367,0.7834653,17.19973,17.18449,17.21526,True,False,14,52.92857,25499.21,626,5
