Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1101,112,0,1026,760,266,0,29,0.2012637,2.125,2.144578,2.068965,True,False,0,0,0,0,0,0,0,0,0
100,10,1205,108,0,991,685,306,0,33,0.1514296,3.166667,3.146667,3.212121,True,False,0,0,0,0,0,0,0,0,0
150,15.00002,1312,119,0,1171,718,453,1,45,0.1843811,3.815126,3.702703,4,True,False,0,0,0,0,0,0,0,0,0
200,20.00004,1431,126,0,1530,972,558,1,52,0.2274286,4.809524,4.364865,5.442307,True,False,0,0,0,0,0,0,0,0,0
250,25.00006,1560,133,0,1615,899,716,0,59,0.3020892,6.827068,7.027027,6.576271,True,False,0,0,0,0,0,0,0,0,0
300,30.00008,1683,142,0,2011,1072,939,0,64,0.4036869,5.28169,5.5,5.015625,True,False,0,0,0,0,0,0,0,0,0
350,35.00004,1819,156,0,2098,1160,938,3,71,0.4092183,6.128205,6.035294,6.239437,True,False,0,0,0,0,0,0,0,0,0
400,39.99996,1972,167,0,2354,1317,1037,1,76,0.4012091,6.071856,6.175824,5.947369,True,False,0,0,0,0,0,0,0,0,0
450,44.99989,2093,170,0,2357,1212,1145,2,81,0.5656393,5.705883,5.910112,5.481482,True,False,0,0,0,0,0,0,0,0,0
500,49.99981,2224,177,0,2954,1281,1673,2,97,0.5469941,6.090395,6.6875,5.597938,True,False,0,0,0,0,0,0,0,0,0
550,54.99973,2340,197,0,2903,1412,1491,3,102,0.4577045,6.406091,6.210526,6.588235,True,False,0,0,0,0,0,0,0,0,0
600,59.99966,2485,210,0,3411,1535,1876,4,111,0.5144501,7.795238,8.151515,7.477478,True,False,0,0,0,0,0,0,0,0,0
650,64.99958,2596,230,0,4055,1938,2117,3,119,0.4839057,7.717391,8.153153,7.310925,True,False,0,0,0,0,0,0,0,0,0
700,69.9995,2692,255,0,4866,1977,2889,5,144,0.3630055,6.647059,6.711712,6.597222,True,False,0,0,0,0,0,0,0,0,0
750,74.99943,2794,290,0,6729,2883,3846,3,164,0.2937908,6.05862,5.825397,6.237805,True,False,0,0,0,0,0,0,0,0,0
800,79.99935,2868,316,0,7192,2947,4245,1,183,0.4054652,7.803797,8.225564,7.497268,True,False,0,0,0,0,0,0,0,0,0
850,84.99928,2918,351,0,7297,2970,4327,5,205,0.2808404,11.25641,10.69178,11.65854,True,False,0,0,0,0,0,0,0,0,0
900,89.9992,3011,372,0,7368,3249,4119,6,202,0.3338126,10.16398,10.32941,10.02475,True,False,0,0,0,0,0,0,0,0,0
950,94.99912,3082,384,0,8213,3934,4279,3,200,0.3088681,9.307292,9.108696,9.49,True,False,0,0,0,0,0,0,0,0,0
1000,99.99905,3045,432,0,9650,3946,5704,10,250,0.321079,9.296296,9.697803,9.004,True,False,0,0,0,0,0,0,0,0,0
1050,104.999,3027,491,0,11102,4229,6873,9,288,0.2664833,10.40937,11,9.993055,True,False,0,0,0,0,0,0,0,0,0
1100,109.9989,2984,528,0,11074,4610,6464,5,308,0.2595963,11.32008,11.47727,11.20779,True,False,0,0,0,0,0,0,0,0,0
1150,114.9988,2924,577,0,11630,5082,6548,9,311,0.2671576,11.75563,11.39474,12.06431,True,False,0,0,0,0,0,0,0,0,0
1200,119.9987,2776,653,0,13948,5863,8085,9,363,0.2146077,12.17917,12.6931,11.76859,True,False,0,0,0,0,0,0,0,0,0
1250,124.9987,2572,730,0,14298,6226,8072,8,386,0.1734915,12.96301,13.2907,12.67098,True,False,0,0,0,0,0,0,0,0,0
1300,129.9987,2381,785,0,13645,6214,7431,5,403,0.3011406,13.1172,13.1466,13.08933,True,False,0,0,0,0,0,0,0,0,0
1350,134.999,2154,853,0,12882,5829,7053,6,449,0.3736388,15.10668,15.36881,14.87082,True,False,0,0,0,0,0,0,0,0,0
1400,139.9993,1960,896,0,12252,6065,6187,11,408,0.3101602,13.93527,13.98361,13.87745,True,False,0,0,0,0,0,0,0,0,0
1450,144.9996,1717,967,0,11588,6033,5555,5,420,0.3247417,12.83971,12.58867,13.16667,True,False,0,0,0,0,0,0,0,0,0
1500,150,1478,1005,0,9947,5343,4604,19,401,0.4309074,15.29254,15.27483,15.3192,True,False,0,0,0,0,0,0,0,0,0
1550,155.0003,1273,1019,0,8996,4703,4293,6,360,0.4787392,15.02257,15.08498,14.90833,True,False,0,0,0,0,0,0,0,0,0
1600,160.0006,1071,1023,0,7808,4378,3430,8,351,0.4994602,15.03812,14.74107,15.60684,True,False,0,0,0,0,0,0,0,0,0
1650,165.0009,861,1044,0,6250,3764,2486,6,319,0.4910467,14.46935,14.26483,14.93417,True,False,0,0,0,0,0,0,0,0,0
1700,170.0012,703,1022,0,5147,3323,1824,6,276,0.5284532,14.90117,15.29625,13.83333,True,False,0,0,0,0,0,0,0,0,0
1750,175.0015,592,988,0,4037,2792,1245,6,221,0.6493726,14.00607,14.33768,12.8552,True,False,0,0,0,0,0,0,0,0,0
