Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1066,22,11,163,112,51,0,6,0.1963801,0.2727273,0.25,0.3333333,True,True,0,0,0,0,0,0,76,4,1
100,10,1142,22,12,227,120,107,0,10,0.2033556,0.9090909,0.9166667,0.9,True,True,0,0,0,0,0,0,166,14,0
150,15.00002,1219,21,11,129,107,22,0,6,0.05764673,0.952381,1.066667,0.6666667,True,True,0,0,0,0,0,0,70,10,0
200,20.00004,1295,21,11,221,183,38,0,10,0.1731994,0.952381,1.181818,0.7,True,True,0,0,0,0,0,0,192,10,0
250,25.00006,1347,23,13,208,98,110,0,9,0.2194162,1.217391,1.071429,1.444444,True,True,0,0,0,0,0,0,103,14,0
300,30.00008,1405,21,12,186,124,62,0,6,0.3152068,1.142857,1.066667,1.333333,True,True,0,0,0,0,0,0,67,12,3
350,35.00004,1441,22,11,497,222,275,0,11,0.2900959,1.454545,1.454545,1.454545,True,True,0,0,0,0,0,0,210,10,0
400,39.99996,1473,24,12,413,297,116,0,6,0.1790901,1.5,1.111111,2.666667,True,True,0,0,0,0,0,0,195,10,0
450,44.99989,1522,27,13,263,80,183,0,10,0.30769,1.259259,1.352941,1.1,True,True,0,0,0,0,0,0,173,16,0
500,49.99981,1557,25,13,477,223,254,0,10,0.4477067,1.52,1.4,1.7,True,True,0,0,0,0,0,0,310,24,1
550,54.99973,1586,30,19,762,258,504,0,14,0.3473316,2.266667,1.375,3.285714,True,True,0,0,0,0,0,0,735,56,0
600,59.99966,1603,34,22,638,170,468,0,18,0.518971,2.588235,1.625,3.444444,True,True,0,0,0,0,0,0,437,66,0
650,64.99958,1625,39,27,921,503,418,0,15,0.4590381,2.461539,2.166667,2.933333,True,True,0,0,0,0,0,0,670,80,0
700,69.9995,1645,42,29,526,201,325,0,18,0.457772,2.571429,2.5,2.666667,True,True,0,0,0,0,0,0,403,90,19
750,74.99943,1671,38,28,707,312,395,0,15,0.4063453,1.789474,1.956522,1.533333,True,True,0,0,0,0,0,0,544,62,0
800,79.99935,1690,43,32,767,314,453,1,17,0.4978961,1.767442,1.576923,2.058824,True,True,0,0,0,0,0,0,583,68,4
850,84.99928,1696,48,37,543,258,285,0,17,0.2383199,2.291667,1.870968,3.058824,True,True,0,0,0,0,0,0,535,100,0
900,89.9992,1716,52,43,516,255,261,1,14,0.1757641,2.961539,2.684211,3.714286,True,True,0,0,0,0,0,0,498,148,0
