Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1079,108,0,934,695,239,1,27,0.1576629,2.703704,2.617284,2.962963,True,False,0,0,0,0,0,0,0,0,0
100,10,1169,109,0,917,620,297,1,34,0.2731549,4.183486,3.746667,5.147059,True,False,0,0,0,0,0,0,0,0,0
150,15.00002,1280,114,0,1018,717,301,1,31,0.4310244,7.298245,7.216867,7.516129,True,False,0,0,0,0,0,0,0,0,0
200,20.00004,1402,109,0,868,541,327,1,38,0.5662051,9.146789,9.901408,7.736842,True,False,0,0,0,0,0,0,0,0,0
250,25.00006,1575,120,0,1012,678,334,0,38,0.4293873,10.15,10.93902,8.447369,True,False,0,0,0,0,0,0,0,0,0
300,30.00008,1699,125,0,1441,845,596,0,46,0.3651225,10.256,10.51899,9.804348,True,False,0,0,0,0,0,0,0,0,0
350,35.00004,1812,150,0,1695,1031,664,0,62,0.5522144,12.62,12.60227,12.64516,True,False,0,0,0,0,0,0,0,0,0
400,39.99996,1935,164,0,2065,1043,1022,1,78,0.06739178,14.09756,13.4186,14.84615,True,False,0,0,0,0,0,0,0,0,0
450,44.99989,2061,167,0,2230,1065,1165,0,85,0.2446601,13.18563,13.15854,13.21176,True,False,0,0,0,0,0,0,0,0,0
500,49.99981,2197,176,0,2435,1282,1153,1,82,0.1712208,15.125,14.8617,15.42683,True,False,0,0,0,0,0,0,0,0,0
550,54.99973,2339,186,0,2182,1078,1104,1,85,0.6431218,18.91936,19.61386,18.09412,True,False,0,0,0,0,0,0,0,0,0
600,59.99966,2513,190,0,3104,1306,1798,1,102,0.7915884,16,15.64773,16.30392,True,False,0,0,0,0,0,0,0,0,0
650,64.99958,2673,199,0,3891,1829,2062,0,103,0.6826197,15.86935,15.60417,16.1165,True,False,0,0,0,0,0,0,0,0,0
700,69.9995,2811,226,0,3792,1751,2041,2,122,0.3535203,19.69469,18.80769,20.45082,True,False,0,0,0,0,0,0,0,0,0
750,74.99943,2979,238,0,3931,1859,2072,1,118,0.5522645,17.19328,17.06667,17.32203,True,False,0,0,0,0,0,0,0,0,0
800,79.99935,3132,249,0,4275,1983,2292,5,126,0.6233491,17.82329,17.55285,18.0873,True,False,0,0,0,0,0,0,0,0,0
850,84.99928,3302,273,0,4820,2297,2523,2,137,0.6076356,19.6337,19.32353,19.94161,True,False,0,0,0,0,0,0,0,0,0
900,89.9992,3441,291,0,5131,2531,2600,2,142,0.7295257,20.21993,20.21477,20.22535,True,False,0,0,0,0,0,0,0,0,0
950,94.99912,3567,322,0,7169,3294,3875,8,162,0.6839914,16.52795,16.96875,16.09259,True,False,0,0,0,0,0,0,0,0,0
1000,99.99905,3607,367,0,8161,2963,5198,7,220,0.6044242,17.62943,18.04082,17.35455,True,False,0,0,0,0,0,0,0,0,0
1050,104.999,3720,393,0,7609,3643,3966,2,201,0.5183946,19.257,19.01042,19.49254,True,False,0,0,0,0,0,0,0,0,0
1100,109.9989,3733,442,0,7964,3290,4674,3,238,0.4125641,21.01357,21.23529,20.82353,True,False,0,0,0,0,0,0,0,0,0
1150,114.9988,3755,486,0,10486,4361,6125,7,261,0.4292091,18.98971,19.88889,18.21456,True,False,0,0,0,0,0,0,0,0,0
1200,119.9987,3689,534,0,13382,5667,7715,9,299,0.4258702,20.30337,19.63404,20.82943,True,False,0,0,0,0,0,0,0,0,0
1250,124.9987,3578,595,0,15676,5824,9852,4,360,0.4325312,19.18319,19.54043,18.95,True,False,0,0,0,0,0,0,0,0,0
1300,129.9987,3461,649,0,13713,5420,8293,5,382,0.4947208,25.60709,24.65543,26.27225,True,False,0,0,0,0,0,0,0,0,0
1350,134.999,3339,693,0,13217,5536,7681,5,386,0.5115477,20.92929,21.63192,20.37047,True,False,0,0,0,0,0,0,0,0,0
1400,139.9993,3233,752,0,13611,6289,7322,6,380,0.5301225,20.42952,20.29839,20.5579,True,False,0,0,0,0,0,0,0,0,0
1450,144.9996,3032,818,0,16615,7014,9601,11,429,0.7113421,18.50489,18.57584,18.44056,True,False,0,0,0,0,0,0,0,0,0
1500,150,2718,885,0,17599,7049,10550,10,477,0.6786039,19.11638,18.58824,19.56813,True,False,0,0,0,0,0,0,0,0,0
1550,155.0003,2417,942,0,17978,7185,10793,10,497,0.7323346,20.50743,20.30112,20.69215,True,False,0,0,0,0,0,0,0,0,0
1600,160.0006,2105,1020,0,14055,6587,7468,17,493,0.6472988,23.10196,22.77609,23.4503,True,False,0,0,0,0,0,0,0,0,0
1650,165.0009,1836,1068,0,10619,5922,4697,8,431,0.6609524,18.68446,18.86342,18.41995,True,False,0,0,0,0,0,0,0,0,0
1700,170.0012,1571,1101,0,10428,5586,4842,12,441,0.627015,19.58038,19.78636,19.27211,True,False,0,0,0,0,0,0,0,0,0
1750,175.0015,1331,1100,0,8138,4799,3339,4,399,0.6306199,21.77091,22.42225,20.62657,True,False,0,0,0,0,0,0,0,0,0
1800,180.0018,1182,1090,0,6876,3965,2911,5,356,0.6565084,24.33761,24.86104,23.25843,True,False,0,0,0,0,0,0,0,0,0
1850,185.0021,1066,1056,0,6121,4151,1970,7,276,0.7299312,19.89773,19.95128,19.74638,True,False,0,0,0,0,0,0,0,0,0
1900,190.0024,906,1013,0,6563,4325,2238,3,270,0.7347878,20.4462,20.42126,20.51481,True,False,0,0,0,0,0,0,0,0,0
1950,195.0027,755,1009,0,4985,3144,1841,5,287,0.7734649,23.53023,22.96122,24.96167,True,False,0,0,0,0,0,0,0,0,0
2000,200.003,634,961,0,2751,2116,635,2,187,0.7956298,20.47555,20.50775,20.34225,True,False,0,0,0,0,0,0,0,0,0
2050,205.0033,579,901,0,2176,1584,592,3,156,0.7354975,20.95117,21.35436,19.02564,True,False,0,0,0,0,0,0,0,0,0
2100,210.0036,545,838,0,2121,1568,553,3,133,0.6618747,20.02029,20.25816,18.7594,True,False,0,0,0,0,0,0,0,0,0
2150,215.0039,509,783,0,1528,1157,371,2,105,0.7062851,19.23499,19.56047,17.13333,True,False,0,0,0,0,0,0,0,0,0
2200,220.0042,475,734,0,1103,842,261,3,98,0.781409,20.20845,20.17767,20.40816,True,False,0,0,0,0,0,0,0,0,0
2250,225.0045,488,689,0,954,800,154,2,77,0.8203788,21.8955,21.95261,21.44156,True,False,0,0,0,0,0,0,0,0,0
2300,230.0048,487,651,0,1082,921,161,4,62,0.8248782,18.97542,18.98472,18.8871,True,False,0,0,0,0,0,0,0,0,0
2350,235.0051,471,600,0,1395,1090,305,2,68,0.8172698,16.78333,16.81203,16.55882,True,False,0,0,0,0,0,0,0,0,0
2400,240.0054,449,556,0,1021,849,172,1,65,0.7837338,16.51079,16.56416,16.10769,True,False,0,0,0,0,0,0,0,0,0
2450,245.0058,447,510,0,1255,1006,249,2,61,0.6973875,16.08235,16.26949,14.70492,True,False,0,0,0,0,0,0,0,0,0
2500,250.0061,469,478,0,1369,1189,180,0,51,0.6646349,16.46862,16.55035,15.78431,True,False,0,0,0,0,0,0,0,0,0
2550,255.0064,434,457,0,943,725,218,0,77,0.6671107,17.17505,17.2921,16.5974,True,False,0,0,0,0,0,0,0,0,0
2600,260.0067,447,434,0,824,702,122,0,59,0.3471535,19.57604,19.44267,20.42373,True,False,0,0,0,0,0,0,0,0,0
