Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1076,106,0,872,664,208,1,26,0.04437842,0.8679245,0.925,0.6923077,False,True,0,0,0,0,0,0,0,0,0
100,10,1173,107,0,986,567,419,0,38,0.0755015,1.009346,0.9130435,1.184211,False,True,0,0,0,0,0,0,0,0,0
150,15.00002,1263,118,0,1281,618,663,2,50,0.06871682,1.169492,0.9558824,1.46,False,True,0,0,0,0,0,0,0,0,0
200,20.00004,1390,118,0,1361,577,784,2,50,0.0795742,1.050847,1,1.12,False,True,0,0,0,0,0,0,0,0,0
250,25.00006,1522,120,0,1637,710,927,1,49,0.03494498,1.083333,1.042253,1.142857,False,True,0,0,0,0,0,0,0,0,0
300,30.00008,1657,119,0,1807,675,1132,1,51,0.09943052,1.260504,1.205882,1.333333,False,True,0,0,0,0,0,0,0,0,0
350,35.00004,1822,135,0,2441,967,1474,0,66,0.1612687,1.214815,1.043478,1.393939,False,True,0,0,0,0,0,0,0,0,0
400,39.99996,1943,145,0,3188,1224,1964,1,73,0.1240525,1.565517,1.444444,1.684932,False,True,0,0,0,0,0,0,0,0,0
450,44.99989,2107,141,0,2821,852,1969,2,75,0.09949352,0.9929078,0.969697,1.013333,False,True,0,0,0,0,0,0,0,0,0
500,49.99981,2297,136,0,2554,933,1621,1,65,0.1035572,1.191176,1.15493,1.230769,False,True,0,0,0,0,0,0,0,0,0
550,54.99973,2491,145,0,2973,1240,1733,0,64,0.1135026,1.393103,1.419753,1.359375,False,True,0,0,0,0,0,0,0,0,0
600,59.99966,2636,159,0,3324,1238,2086,2,79,0.07663299,1.314465,1.4875,1.139241,False,True,0,0,0,0,0,0,0,0,0
650,64.99958,2818,181,0,4095,1322,2773,0,99,0.1122095,1.491713,1.390244,1.575758,False,True,0,0,0,0,0,0,0,0,0
700,69.9995,2971,192,0,4912,1841,3071,2,96,0.1354995,1.5,1.46875,1.53125,False,True,0,0,0,0,0,0,0,0,0
