Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1080,101,0,869,618,251,0,29,0.1200288,0.7722772,0.7361111,0.862069,False,False,0,0,0,0,0,0,0,0,0
100,10,1175,99,0,907,581,326,2,35,0.1494025,0.7070707,0.65625,0.8,False,False,0,0,0,0,0,0,0,0,0
150,15.00002,1265,106,0,1043,655,388,1,39,0.1617871,1.226415,1.19403,1.282051,False,False,0,0,0,0,0,0,0,0,0
200,20.00004,1379,109,0,1171,755,416,4,41,0.1415133,1.155963,1.102941,1.243902,False,False,0,0,0,0,0,0,0,0,0
250,25.00006,1479,121,0,1398,819,579,0,52,0.1356973,1.008264,1,1.019231,False,False,0,0,0,0,0,0,0,0,0
300,30.00008,1613,126,0,1579,758,821,4,62,0.08525029,1.412698,1.640625,1.177419,False,False,0,0,0,0,0,0,0,0,0
350,35.00004,1743,133,0,1770,1023,747,3,52,0.1109622,1.082707,0.9876543,1.230769,False,False,0,0,0,0,0,0,0,0,0
400,39.99996,1918,142,0,2187,1164,1023,2,68,0.03672634,1.5,1.567568,1.426471,False,False,0,0,0,0,0,0,0,0,0
450,44.99989,2035,154,0,2418,1135,1283,2,78,0.0575996,1.376623,1.263158,1.48718,False,False,0,0,0,0,0,0,0,0,0
500,49.99981,2190,171,0,2848,1327,1521,2,94,0.09406131,1.397661,1.558442,1.265957,False,False,0,0,0,0,0,0,0,0,0
550,54.99973,2334,182,0,3364,1734,1630,0,88,0.01426334,1.571429,1.340425,1.818182,False,False,0,0,0,0,0,0,0,0,0
600,59.99966,2442,206,0,3899,1830,2069,5,106,0.03978092,1.703884,1.79,1.622642,False,False,0,0,0,0,0,0,0,0,0
650,64.99958,2561,222,0,4602,2193,2409,1,119,0.05339978,2.063063,2.009709,2.109244,False,False,0,0,0,0,0,0,0,0,0
700,69.9995,2672,234,0,4924,2054,2870,3,136,0.04485266,2.094017,2.020408,2.147059,False,False,0,0,0,0,0,0,0,0,0
750,74.99943,2796,255,0,5461,2391,3070,3,142,0.04791289,1.815686,1.831858,1.802817,False,False,0,0,0,0,0,0,0,0,0
800,79.99935,2863,280,0,6335,2345,3990,2,174,0.064418,2.221429,2.320755,2.160919,False,False,0,0,0,0,0,0,0,0,0
850,84.99928,2945,296,0,6838,2748,4090,7,177,0.06891654,2.273649,2.445378,2.158192,False,False,0,0,0,0,0,0,0,0,0
900,89.9992,2994,328,0,7625,2968,4657,7,198,0.04145457,2.713415,2.638462,2.762626,False,False,0,0,0,0,0,0,0,0,0
950,94.99912,3002,374,0,8690,3326,5364,4,237,0.03540109,2.847594,2.956204,2.78481,False,False,0,0,0,0,0,0,0,0,0
1000,99.99905,2985,420,0,9664,3803,5861,4,257,0.06280971,3.285714,3.490798,3.155642,False,False,0,0,0,0,0,0,0,0,0
1050,104.999,2962,460,0,10474,4845,5629,6,253,0.03472963,3.730435,3.637681,3.806324,False,False,0,0,0,0,0,0,0,0,0
1100,109.9989,2878,516,0,11590,4643,6947,10,312,0.009544987,4.25969,4.357843,4.195513,False,False,0,0,0,0,0,0,0,0,0
1150,114.9988,2777,551,0,12005,5033,6972,4,329,0.0472612,4.493648,4.738739,4.328268,False,False,0,0,0,0,0,0,0,0,0
1200,119.9987,2635,630,0,12776,5412,7364,6,359,0.027228,5.034921,5.221402,4.89415,False,False,0,0,0,0,0,0,0,0,0
1250,124.9987,2482,677,0,13024,5578,7446,8,388,0.01193904,5.432792,5.463668,5.409794,False,False,0,0,0,0,0,0,0,0,0
1300,129.9987,2307,744,0,13203,5998,7205,10,406,0.02524676,6.138441,6.091716,6.17734,False,False,0,0,0,0,0,0,0,0,0
1350,134.999,2078,811,0,13436,6293,7143,10,431,0.03298644,6.390875,6.376316,6.403712,False,False,0,0,0,0,0,0,0,0,0
1400,139.9993,1771,902,0,12505,6348,6157,7,447,0.005839562,6.873614,6.756044,6.993289,False,False,0,0,0,0,0,0,0,0,0
1450,144.9996,1510,961,0,11474,5966,5508,7,451,0.0264009,7.560874,7.515687,7.611973,False,False,0,0,0,0,0,0,0,0,0
1500,150,1258,976,0,9725,5388,4337,1,424,0.02231546,7.831967,8.050725,7.54717,False,False,0,0,0,0,0,0,0,0,0
1550,155.0003,1029,968,0,7751,4766,2985,6,360,0.03290886,7.695248,7.791119,7.533333,False,False,0,0,0,0,0,0,0,0,0
1600,160.0006,810,979,0,6152,4048,2104,4,327,0.04987529,7.901941,7.909509,7.88685,False,False,0,0,0,0,0,0,0,0,0
1650,165.0009,625,952,0,4590,3306,1284,5,263,0.06028612,7.809874,7.918723,7.524715,False,False,0,0,0,0,0,0,0,0,0
1700,170.0012,467,917,0,3312,2406,906,4,228,0.04714775,7.254089,7.272859,7.197369,False,False,0,0,0,0,0,0,0,0,0
1750,175.0015,351,869,0,2386,1816,570,4,186,0.02776432,6.858458,6.877013,6.790323,False,False,0,0,0,0,0,0,0,0,0
