Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1071,20,9,229,169,60,0,6,0.3969291,0.3,0.3571429,0.1666667,True,False,0,0,0,0,0,0,105,2,0
100,10,1143,19,8,187,81,106,0,11,0.317931,1.052632,0.625,1.363636,True,False,0,0,0,0,0,0,83,0,0
150,15.00002,1209,20,9,211,125,86,0,8,0.399264,1.6,2.666667,0,True,False,0,0,0,0,0,0,108,0,0
200,20.00004,1276,19,9,197,101,96,2,7,0.2505479,1.684211,2.5,0.2857143,True,False,0,0,0,0,0,0,104,2,0
250,25.00006,1331,18,9,232,85,147,2,10,0.4617331,1.222222,1.25,1.2,True,False,0,0,0,0,0,0,126,2,5
300,30.00008,1394,16,8,181,109,72,0,7,0.08125041,1,1.222222,0.7142857,True,False,0,0,0,0,0,0,94,4,0
350,35.00004,1455,16,8,186,76,110,0,9,0.3312562,1.75,1.571429,1.888889,True,False,0,0,0,0,0,0,81,16,1
400,39.99996,1502,16,8,200,96,104,0,7,0.1123197,1.125,0.8888889,1.428571,True,False,0,0,0,0,0,0,95,12,1
450,44.99989,1572,16,8,211,136,75,0,5,0.3775963,1,1.272727,0.4,True,False,0,0,0,0,0,0,103,12,1
500,49.99981,1603,20,11,241,92,149,0,11,0.4546411,0.8,0.7777778,0.8181818,True,False,0,0,0,0,0,0,124,12,2
550,54.99973,1630,24,13,284,163,121,0,10,0.1835705,1.25,1.357143,1.1,True,False,0,0,0,0,0,0,167,16,4
600,59.99966,1658,29,14,381,185,196,1,13,0.03921773,1.241379,1,1.538462,True,False,0,0,0,0,0,0,208,20,8
650,64.99958,1682,29,13,497,275,222,0,13,0.3030927,1.37931,1.5625,1.153846,True,False,0,0,0,0,0,0,204,20,3
700,69.9995,1695,31,13,465,216,249,0,16,0.1639485,1.935484,1.4,2.4375,True,False,0,0,0,0,0,0,237,22,2
750,74.99943,1710,34,14,565,243,322,0,19,0.2824258,2.058824,2,2.105263,True,False,0,0,0,0,0,0,199,26,4
800,79.99935,1723,40,17,661,362,299,0,18,0.4445852,2.2,2.318182,2.055556,True,False,0,0,0,0,0,0,267,30,0
850,84.99928,1733,45,21,674,277,397,0,25,0.05260692,2.222222,2.35,2.12,True,False,0,0,0,0,0,0,285,50,23
900,89.9992,1748,47,24,656,311,345,0,26,0.1875337,2.808511,3.285714,2.423077,True,False,0,0,0,0,0,0,299,76,27
950,94.99912,1750,48,23,670,357,313,0,23,0.2737551,3.833333,3.64,4.043478,True,False,0,0,0,0,0,0,280,62,6
1000,99.99905,1760,55,27,829,508,321,1,22,0.5322127,3.4,3.484848,3.272727,True,False,0,0,0,0,0,0,350,77,11
1050,104.999,1753,61,32,974,528,446,0,27,0.1188328,3.47541,3.558824,3.37037,True,False,0,0,0,0,0,0,590,82,6
1100,109.9989,1761,62,30,1072,452,620,3,34,0.1900851,3.903226,3.5,4.235294,True,False,0,0,0,0,0,0,530,54,3
1150,114.9988,1766,59,31,905,405,500,0,31,0.1027348,3.152542,3.428571,2.903226,True,False,0,0,0,0,0,0,545,50,2
1200,119.9987,1750,64,29,867,471,396,2,26,0.3581947,3.8125,3.736842,3.923077,True,False,0,0,0,0,0,0,461,50,0
1250,124.9987,1749,65,31,851,549,302,1,22,0.2066474,3.876923,3.27907,5.045455,True,False,0,0,0,0,0,0,384,56,10
1300,129.9987,1751,70,32,1124,713,411,1,24,0.02812109,3.357143,3.543478,3,True,False,0,0,0,0,0,0,599,72,20
1350,134.999,1738,73,35,1171,624,547,0,37,0.110251,2.383562,2.666667,2.108108,True,False,0,0,0,0,0,0,551,74,5
1400,139.9993,1732,76,37,1043,521,522,2,36,0.1598153,2.657895,3.225,2.027778,True,False,0,0,0,0,0,0,530,94,14
1450,144.9996,1716,88,44,1346,684,662,0,41,0.137265,2.681818,2.702128,2.658537,True,False,0,0,0,0,0,0,634,127,18
1500,150,1707,93,47,1379,686,693,2,43,0.177405,3.419355,3.72,3.069767,True,False,0,0,0,0,0,0,685,138,11
1550,155.0003,1693,103,50,1346,666,680,0,48,0.08566812,4.252427,4,4.541667,True,False,0,0,0,0,0,0,654,196,42
1600,160.0006,1681,107,49,1318,774,544,4,39,0.2693902,3.962617,3.691176,4.435897,True,False,0,0,0,0,0,0,594,190,14
1650,165.0009,1649,107,55,1549,834,715,2,44,0.3308908,4.579439,4.190476,5.136364,True,False,0,0,0,0,0,0,698,210,14
1700,170.0012,1615,127,71,1751,963,788,1,56,0.2142652,4.141732,4.225352,4.035714,True,False,0,0,0,0,0,0,902,264,78
1750,175.0015,1604,136,82,1626,904,722,1,54,0.1826044,4.705883,5.012195,4.240741,True,False,0,0,0,0,0,0,986,320,32
1800,180.0018,1582,142,90,1790,899,891,2,65,0.07259491,4.183099,4.285714,4.061539,True,False,0,0,0,0,0,0,1193,340,39
1850,185.0021,1561,156,96,2418,1188,1230,0,69,0.182175,5.858974,6.264368,5.347826,True,False,0,0,0,0,0,0,1671,632,58
1900,190.0024,1536,160,98,2341,1229,1112,4,75,0.00707975,5.81875,5.894118,5.733333,True,False,0,0,0,0,0,0,1535,680,77
1950,195.0027,1499,178,107,2517,1257,1260,4,84,0.07047298,5.382022,4.882979,5.940476,True,False,0,0,0,0,0,0,1580,594,273
2000,200.003,1466,173,102,2459,1239,1220,2,79,0.1367701,5.549133,5.510638,5.594937,True,False,0,0,0,0,0,0,1424,532,173
2050,205.0033,1439,181,106,2141,1177,964,5,77,0.1130826,6.767956,6.230769,7.493506,True,False,0,0,0,0,0,0,1295,734,114
2100,210.0036,1418,192,109,2287,1215,1072,2,85,0.1571665,8.4375,8.093458,8.870588,True,False,0,0,0,0,0,0,1329,1074,269
