Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1095,109,0,1213,788,425,3,35,0.1376637,1.651376,1.418919,2.142857,False,False,0,0,0,0,0,0,0,0,0
100,10,1179,126,0,1413,749,664,0,60,0.22225,2,1.818182,2.2,False,False,0,0,0,0,0,0,0,0,0
150,15.00002,1270,124,0,1432,770,662,2,56,0.07642429,2.217742,2.088235,2.375,False,False,0,0,0,0,0,0,0,0,0
200,20.00004,1379,134,0,1663,906,757,0,65,0.1089177,2.358209,2.478261,2.230769,False,False,0,0,0,0,0,0,0,0,0
250,25.00006,1515,145,0,1918,987,931,2,69,0.2174019,2.275862,2.065789,2.507246,False,False,0,0,0,0,0,0,0,0,0
300,30.00008,1613,154,0,2406,1269,1137,3,72,0.111252,2.551948,2.280488,2.861111,False,False,0,0,0,0,0,0,0,0,0
350,35.00004,1715,170,0,2854,1383,1471,1,88,0.0515358,2.6,2.402439,2.784091,False,False,0,0,0,0,0,0,0,0,0
400,39.99996,1818,184,0,3258,1635,1623,1,91,0.07451273,3.391304,3.376344,3.406593,False,False,0,0,0,0,0,0,0,0,0
450,44.99989,1869,200,0,3562,1569,1993,4,110,0.06059852,4.01,3.722222,4.245454,False,False,0,0,0,0,0,0,0,0,0
500,49.99981,1987,216,0,3921,1862,2059,3,112,0.1313451,3.712963,3.730769,3.696429,False,False,0,0,0,0,0,0,0,0,0
550,54.99973,2088,216,0,4149,2229,1920,1,101,0.06019339,3.203704,3.130435,3.287129,False,False,0,0,0,0,0,0,0,0,0
600,59.99966,2173,246,0,4928,2442,2486,2,120,0.02317597,4.52439,4.349206,4.708333,False,False,0,0,0,0,0,0,0,0,0
650,64.99958,2275,265,0,5801,2466,3335,3,152,0.1339719,4.54717,4.371681,4.677631,False,False,0,0,0,0,0,0,0,0,0
700,69.9995,2322,290,0,6169,2093,4076,2,182,0.07461055,5.331035,5.055555,5.494505,False,False,0,0,0,0,0,0,0,0,0
750,74.99943,2385,343,0,7164,3002,4162,3,200,0.05085381,6.125364,6.622377,5.77,False,False,0,0,0,0,0,0,0,0,0
800,79.99935,2391,386,0,8433,3609,4824,4,215,0.06340101,6.30829,6.456141,6.190698,False,False,0,0,0,0,0,0,0,0,0
850,84.99928,2375,428,0,8806,3488,5318,6,251,0.09759516,7.042056,6.587571,7.36255,False,False,0,0,0,0,0,0,0,0,0
900,89.9992,2340,467,0,10091,4371,5720,3,259,0.08001526,7.892934,7.923077,7.868726,False,False,0,0,0,0,0,0,0,0,0
950,94.99912,2257,508,0,10369,4440,5929,8,280,0.09766418,8.846457,8.679825,8.982142,False,False,0,0,0,0,0,0,0,0,0
1000,99.99905,2189,562,0,11640,4840,6800,6,323,0.06581633,8.877224,8.39749,9.232198,False,False,0,0,0,0,0,0,0,0,0
1050,104.999,2035,610,0,11067,5068,5999,7,328,0.08270158,12.63115,12.52482,12.72256,False,False,0,0,0,0,0,0,0,0,0
1100,109.9989,1923,629,0,11288,5279,6009,6,312,0.1146938,12.44992,11.6877,13.22436,False,False,0,0,0,0,0,0,0,0,0
1150,114.9988,1739,709,0,11354,5561,5793,11,346,0.1212126,12.12271,11.66116,12.60694,False,False,0,0,0,0,0,0,0,0,0
1200,119.9987,1534,768,0,10695,4646,6049,5,396,0.1519448,15.18229,14.29301,16.01768,False,False,0,0,0,0,0,0,0,0,0
1250,124.9987,1308,819,0,9514,5169,4345,6,360,0.0929189,15.16728,15.03268,15.33889,False,False,0,0,0,0,0,0,0,0,0
1300,129.9987,1102,834,0,7456,4444,3012,5,326,0.05148824,14.97362,15.17913,14.65337,False,False,0,0,0,0,0,0,0,0,0
1350,134.999,906,861,0,7144,4516,2628,8,310,0.03281171,14.75726,14.7441,14.78065,False,False,0,0,0,0,0,0,0,0,0
1400,139.9993,691,874,0,6037,3739,2298,8,313,0.06428173,13.31922,13.13904,13.64217,False,False,0,0,0,0,0,0,0,0,0
1450,144.9996,518,847,0,4576,3217,1359,4,240,0.1109429,12.0791,11.92257,12.475,False,False,0,0,0,0,0,0,0,0,0
1500,150,376,815,0,3070,2290,780,5,199,0.01520636,12.51288,12.16396,13.59297,False,False,0,0,0,0,0,0,0,0,0
1550,155.0003,266,781,0,1975,1582,393,3,144,0.01722219,10.73495,10.45526,11.97222,False,False,0,0,0,0,0,0,0,0,0
1600,160.0006,209,723,0,1449,1220,229,3,113,0.05320559,9.391424,9.267213,10.06195,False,False,0,0,0,0,0,0,0,0,0
1650,165.0009,170,659,0,1104,973,131,1,85,0.03601999,7.919575,8.005226,7.341177,False,False,0,0,0,0,0,0,0,0,0
1700,170.0012,129,609,0,831,731,100,0,70,0.01310093,7.310345,7.372913,6.828571,False,False,0,0,0,0,0,0,0,0,0
1750,175.0015,96,562,0,617,558,59,1,53,0.04626402,6.153025,6.16503,6.037736,False,False,0,0,0,0,0,0,0,0,0
1800,180.0018,73,517,0,535,507,28,0,40,0.04714422,6.197292,6.259958,5.45,False,False,0,0,0,0,0,0,0,0,0
1850,185.0021,45,472,0,349,331,18,0,32,0.008868799,5.966102,5.913636,6.6875,False,False,0,0,0,0,0,0,0,0,0
1900,190.0024,34,431,0,237,222,15,0,25,0.05399489,4.816705,4.815271,4.84,False,False,0,0,0,0,0,0,0,0,0
1950,195.0027,24,393,0,178,171,7,0,20,0.0239713,5.379135,5.375335,5.45,False,False,0,0,0,0,0,0,0,0,0
2000,200.003,17,365,0,125,119,6,0,17,0.06979887,4.093151,4.063219,4.705883,False,False,0,0,0,0,0,0,0,0,0
2050,205.0033,13,324,0,71,69,2,0,7,0.03024995,3.5,3.48265,4.285714,False,False,0,0,0,0,0,0,0,0,0
2100,210.0036,11,301,0,65,64,1,0,5,0.04661847,3.116279,3.097973,4.2,False,False,0,0,0,0,0,0,0,0,0
2150,215.0039,8,275,0,45,45,0,0,4,0.08054747,2.836364,2.841328,2.5,False,False,0,0,0,0,0,0,0,0,0
2200,220.0042,8,253,0,52,51,1,0,5,0.02899593,2.561265,2.544355,3.4,False,False,0,0,0,0,0,0,0,0,0
2250,225.0045,5,236,0,32,31,1,0,4,0.0402821,2.254237,2.258621,2,False,False,0,0,0,0,0,0,0,0,0
2300,230.0048,4,215,0,25,25,0,0,3,0.03519766,2.055814,2.066038,1.333333,False,False,0,0,0,0,0,0,0,0,0
2350,235.0051,4,194,0,18,18,0,0,2,0.08516963,1.551546,1.557292,1,False,False,0,0,0,0,0,0,0,0,0
2400,240.0054,7,176,0,17,17,0,0,1,0.08623751,1.522727,1.525714,1,False,False,0,0,0,0,0,0,0,0,0
2450,245.0058,8,159,0,26,26,0,0,0,0.04058068,1.433962,1.433962,NaN,False,False,0,0,0,0,0,0,0,0,0
2500,250.0061,6,152,0,23,21,2,0,1,0.06475008,1.217105,1.205298,3,False,False,0,0,0,0,0,0,0,0,0
2550,255.0064,6,143,0,23,23,0,0,0,0.06035529,1.454545,1.454545,NaN,False,False,0,0,0,0,0,0,0,0,0
2600,260.0067,3,137,0,12,12,0,0,2,0.04269635,1.167883,1.148148,2.5,False,False,0,0,0,0,0,0,0,0,0
2650,265.007,4,123,0,8,8,0,0,0,0.01549045,0.9918699,0.9918699,NaN,False,False,0,0,0,0,0,0,0,0,0
2700,270.0073,3,106,0,5,5,0,0,0,0.1287177,0.7358491,0.7358491,NaN,False,False,0,0,0,0,0,0,0,0,0
2750,275.0076,2,97,0,3,3,0,0,1,0.05311024,0.8453608,0.8541667,0,False,False,0,0,0,0,0,0,0,0,0
2800,280.0079,2,91,0,4,4,0,0,1,0.04075661,0.8131868,0.8111111,1,False,False,0,0,0,0,0,0,0,0,0
2850,285.0082,2,77,0,5,5,0,0,0,0.09272363,0.5714286,0.5714286,NaN,False,False,0,0,0,0,0,0,0,0,0
2900,290.0085,2,72,0,2,2,0,0,0,0.03896289,0.3888889,0.3888889,NaN,False,False,0,0,0,0,0,0,0,0,0
2950,295.0088,2,64,0,5,5,0,0,0,0.08138859,0.59375,0.59375,NaN,False,False,0,0,0,0,0,0,0,0,0
3000,300.0091,3,61,0,8,8,0,0,0,0.1122714,0.6557377,0.6557377,NaN,False,False,0,0,0,0,0,0,0,0,0
3050,305.0094,1,59,0,3,3,0,0,0,0.1227437,0.7118644,0.7118644,NaN,False,False,0,0,0,0,0,0,0,0,0
3100,310.0097,1,53,0,1,1,0,0,0,0.1524691,0.2641509,0.2641509,NaN,False,False,0,0,0,0,0,0,0,0,0
3150,315.01,1,46,0,1,1,0,0,0,0.1096972,0.3478261,0.3478261,NaN,False,False,0,0,0,0,0,0,0,0,0
3200,320.0103,1,42,0,1,1,0,0,0,0.1258494,0.2380952,0.2380952,NaN,False,False,0,0,0,0,0,0,0,0,0
3250,325.0106,1,38,0,1,1,0,0,0,0.03706234,0.4210526,0.4210526,NaN,False,False,0,0,0,0,0,0,0,0,0
3300,330.0109,2,33,0,4,4,0,0,0,0.01282134,0.1818182,0.1818182,NaN,False,False,0,0,0,0,0,0,0,0,0
3350,335.0112,3,29,0,2,2,0,0,0,0.09573191,0.2758621,0.2758621,NaN,False,False,0,0,0,0,0,0,0,0,0
3400,340.0115,3,27,0,0,0,0,0,0,0.1545927,0.5185185,0.5185185,NaN,False,False,0,0,0,0,0,0,0,0,0
3450,345.0118,3,26,0,0,0,0,0,0,0.2376922,0.3846154,0.3846154,NaN,False,False,0,0,0,0,0,0,0,0,0
3500,350.0121,3,23,0,1,1,0,0,0,0.06967167,0.08695652,0.08695652,NaN,False,False,0,0,0,0,0,0,0,0,0
3550,355.0125,3,22,0,1,1,0,0,0,0.3459889,0.2727273,0.2727273,NaN,False,False,0,0,0,0,0,0,0,0,0
3600,360.0128,3,18,0,3,3,0,0,0,0.3316998,0.1111111,0.1111111,NaN,False,False,0,0,0,0,0,0,0,0,0
3650,365.0131,6,16,0,5,5,0,0,0,0.2047092,0,0,NaN,False,False,0,0,0,0,0,0,0,0,0
3700,370.0134,5,15,0,6,4,2,0,2,0.3419994,0.1333333,0,1,False,False,0,0,0,0,0,0,0,0,0
3750,375.0137,5,12,0,3,3,0,0,0,0.2296082,0,0,NaN,False,False,0,0,0,0,0,0,0,0,0
3800,380.014,5,11,0,4,4,0,0,1,0.1525227,0,0,0,False,False,0,0,0,0,0,0,0,0,0
3850,385.0143,5,10,0,5,4,1,0,1,0.1591283,0.6,0.5555556,1,False,False,0,0,0,0,0,0,0,0,0
