Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1080,113,0,1097,798,299,2,35,0.1045568,1.964602,1.98718,1.914286,True,False,0,0,0,0,0,0,0,0,0
100,10,1144,133,0,1495,838,657,1,57,0.2435985,3.781955,3.605263,4.017544,True,False,0,0,0,0,0,0,0,0,0
150,15.00002,1228,143,0,1595,921,674,2,54,0.09590274,4.811189,4.674157,5.037037,True,False,0,0,0,0,0,0,0,0,0
200,20.00004,1293,162,0,1425,840,585,3,64,0.09541455,6.783951,7.051021,6.375,True,False,0,0,0,0,0,0,0,0,0
250,25.00006,1394,173,0,1829,1121,708,2,57,0.2354289,7.341041,6.956897,8.122807,True,False,0,0,0,0,0,0,0,0,0
300,30.00008,1458,185,0,2607,1349,1258,5,80,0.2409933,9.497297,8.723809,10.5125,True,False,0,0,0,0,0,0,0,0,0
350,35.00004,1522,193,0,2073,1210,863,3,80,0.132296,7.875648,8.221239,7.3875,True,False,0,0,0,0,0,0,0,0,0
400,39.99996,1587,207,0,2582,1250,1332,0,105,0.2474832,9.594203,9.254902,9.923809,True,False,0,0,0,0,0,0,0,0,0
450,44.99989,1676,216,0,2589,1321,1268,4,104,0.3465002,9.712963,9.678572,9.75,True,False,0,0,0,0,0,0,0,0,0
500,49.99981,1788,231,0,3102,1817,1285,3,90,0.4130029,9.497835,9.851064,8.944445,True,False,0,0,0,0,0,0,0,0,0
550,54.99973,1855,242,0,3904,1751,2153,3,122,0.2048683,9.822314,9.566667,10.07377,True,False,0,0,0,0,0,0,0,0,0
600,59.99966,1910,270,0,4139,1963,2176,1,137,0.3561245,11.55926,11.11278,11.9927,True,False,0,0,0,0,0,0,0,0,0
650,64.99958,1983,281,0,5237,2070,3167,4,151,0.2721727,9.893238,9.007692,10.65563,True,False,0,0,0,0,0,0,0,0,0
700,69.9995,2009,318,0,5780,2668,3112,4,163,0.2022757,8.248427,7.987097,8.496933,True,False,0,0,0,0,0,0,0,0,0
750,74.99943,2051,362,0,7589,3639,3950,4,177,0.05401774,9.309392,8.886486,9.751412,True,False,0,0,0,0,0,0,0,0,0
800,79.99935,2041,418,0,7532,3464,4068,3,222,0.1350724,12.2823,12.15816,12.39189,True,False,0,0,0,0,0,0,0,0,0
850,84.99928,2001,455,0,7069,3498,3571,6,218,0.1903917,10.56484,10.80169,10.30734,True,False,0,0,0,0,0,0,0,0,0
900,89.9992,1930,493,0,8575,4002,4573,7,258,0.1663968,12.12576,12.12766,12.12403,True,False,0,0,0,0,0,0,0,0,0
950,94.99912,1857,522,0,8658,3960,4698,5,263,0.2486233,13.3046,12.44015,14.15589,True,False,0,0,0,0,0,0,0,0,0
1000,99.99905,1785,561,0,7613,3786,3827,6,267,0.2769908,13.3975,13.47959,13.30712,True,False,0,0,0,0,0,0,0,0,0
1050,104.999,1704,589,0,7983,3717,4266,7,277,0.2190653,14.08998,14.58654,13.53069,True,False,0,0,0,0,0,0,0,0,0
1100,109.9989,1610,627,0,8170,4115,4055,5,277,0.2436578,14.39075,15.07714,13.52347,True,False,0,0,0,0,0,0,0,0,0
1150,114.9988,1481,655,0,8060,4090,3970,9,281,0.237629,15.67176,15.60428,15.76157,True,False,0,0,0,0,0,0,0,0,0
1200,119.9987,1370,690,0,8784,4481,4303,9,287,0.2328871,16.34348,16.0794,16.71428,True,False,0,0,0,0,0,0,0,0,0
1250,124.9987,1230,711,0,7353,3802,3551,9,284,0.2558687,18.37693,18.49883,18.19366,True,False,0,0,0,0,0,0,0,0,0
1300,129.9987,1105,709,0,5288,2962,2326,5,245,0.3491462,15.51622,15.96121,14.67347,True,False,0,0,0,0,0,0,0,0,0
1350,134.999,963,722,0,6117,3452,2665,4,260,0.3401605,18.10803,17.671,18.88461,True,False,0,0,0,0,0,0,0,0,0
1400,139.9993,841,705,0,4489,2711,1778,8,236,0.4931098,17.08652,17.05757,17.14407,True,False,0,0,0,0,0,0,0,0,0
1450,144.9996,723,697,0,4374,2668,1706,3,210,0.5645782,18.29986,17.89528,19.23809,True,False,0,0,0,0,0,0,0,0,0
1500,150,640,679,0,2501,1803,698,3,158,0.7019584,19.13402,19.03839,19.44937,True,False,0,0,0,0,0,0,0,0,0
1550,155.0003,581,659,0,3160,2087,1073,2,144,0.6536392,16.65099,16.63301,16.71528,True,False,0,0,0,0,0,0,0,0,0
1600,160.0006,480,654,0,2491,1779,712,4,138,0.6769438,19.89602,19.2345,22.36957,True,False,0,0,0,0,0,0,0,0,0
1650,165.0009,454,609,0,1550,1202,348,3,97,0.8154114,19.11166,19.24414,18.41237,True,False,0,0,0,0,0,0,0,0,0
1700,170.0012,451,569,0,911,738,173,0,71,0.8484339,18.85061,19.00402,17.77465,True,False,0,0,0,0,0,0,0,0,0
1750,175.0015,458,522,0,963,640,323,2,78,0.8245453,18.09579,18.19144,17.55128,True,False,0,0,0,0,0,0,0,0,0
1800,180.0018,463,483,0,1222,943,279,3,60,0.8107472,15.92961,15.92435,15.96667,True,False,0,0,0,0,0,0,0,0,0
1850,185.0021,424,470,0,1566,1177,389,0,64,0.8301321,16.54894,16.84975,14.64063,True,False,0,0,0,0,0,0,0,0,0
1900,190.0024,387,457,0,1792,1270,522,3,80,0.8214546,17.70022,17.58621,18.2375,True,False,0,0,0,0,0,0,0,0,0
1950,195.0027,362,434,0,895,731,164,1,70,0.8270555,16.47926,16.4478,16.64286,True,False,0,0,0,0,0,0,0,0,0
2000,200.003,353,417,0,1119,826,293,3,64,0.8297566,15.55875,15.53824,15.67188,True,False,0,0,0,0,0,0,0,0,0
2050,205.0033,350,393,0,1275,895,380,1,66,0.8177953,15.90331,15.68196,17,True,False,0,0,0,0,0,0,0,0,0
2100,210.0036,326,374,0,657,501,156,0,63,0.8114187,15.59358,16.17363,12.73016,True,False,0,0,0,0,0,0,0,0,0
2150,215.0039,349,355,0,429,323,106,1,48,0.7799581,15.25634,15.53094,13.5,True,False,0,0,0,0,0,0,0,0,0
2200,220.0042,371,327,0,361,288,73,0,30,0.8030409,17.27829,17.36027,16.46667,True,False,0,0,0,0,0,0,0,0,0
