Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1031,108,0,772,545,227,0,31,0.3410561,3.166667,2.896104,3.83871,True,False,0,0,0,0,0,0,0,0,0
100,10,1078,121,0,965,678,287,0,37,0.4466933,5.049587,5.011905,5.135135,True,False,0,0,0,0,0,0,0,0,0
150,15.00002,1133,115,0,1026,669,357,2,38,0.4889085,5.634783,5.662338,5.578948,True,False,0,0,0,0,0,0,0,0,0
200,20.00004,1159,114,0,999,660,339,0,45,0.5671491,7.201755,7.57971,6.622222,True,False,0,0,0,0,0,0,0,0,0
250,25.00006,1171,117,0,970,585,385,2,45,0.4032649,7.897436,7.861111,7.955555,True,False,0,0,0,0,0,0,0,0,0
300,30.00008,1206,119,0,1025,712,313,0,35,0.5076698,7.546218,7.571429,7.485714,True,False,0,0,0,0,0,0,0,0,0
350,35.00004,1235,126,0,1056,668,388,1,45,0.5826986,7.626984,7.333333,8.155556,True,False,0,0,0,0,0,0,0,0,0
400,39.99996,1252,130,0,1274,827,447,1,44,0.5541478,8.153846,8.348837,7.772727,True,False,0,0,0,0,0,0,0,0,0
450,44.99989,1263,125,0,1179,795,384,3,42,0.583849,8.56,8.710843,8.261905,True,False,0,0,0,0,0,0,0,0,0
500,49.99981,1289,130,0,980,654,326,1,41,0.7705464,10.56923,11.31461,8.95122,True,False,0,0,0,0,0,0,0,0,0
550,54.99973,1327,128,0,951,641,310,0,38,0.7843294,9.78125,10.47778,8.131579,True,False,0,0,0,0,0,0,0,0,0
600,59.99966,1354,124,0,1002,719,283,0,36,0.8239354,9.596774,10.02273,8.555555,True,False,0,0,0,0,0,0,0,0,0
650,64.99958,1348,127,0,867,539,328,0,49,0.860391,11.08661,11.84615,9.877551,True,False,0,0,0,0,0,0,0,0,0
700,69.9995,1382,131,0,1029,733,296,0,36,0.8385684,11.35878,11.25263,11.63889,True,False,0,0,0,0,0,0,0,0,0
750,74.99943,1388,144,0,1224,774,450,0,55,0.779025,11.25,12.04494,9.963636,True,False,0,0,0,0,0,0,0,0,0
