Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1071,22,12,174,122,52,0,6,0.1080399,0.09090909,0.0625,0.1666667,False,False,0,0,0,0,0,0,91,2,0
100,10,1132,19,11,159,122,37,0,4,0.09677335,0.1052632,0.06666667,0.25,False,False,0,0,0,0,0,0,93,0,2
150,15.00002,1187,19,11,168,141,27,0,4,0.1499804,0.3157895,0.2666667,0.5,False,False,0,0,0,0,0,0,99,4,0
200,20.00004,1247,20,12,184,66,118,0,12,0.1711125,0.1,0.125,0.08333334,False,False,0,0,0,0,0,0,106,2,0
250,25.00006,1311,20,12,238,178,60,1,6,0.2318686,0.4,0.4285714,0.3333333,False,False,0,0,0,0,0,0,145,6,1
300,30.00008,1372,20,11,234,85,149,1,12,0.09717003,0.5,0.625,0.4166667,False,False,0,0,0,0,0,0,118,10,2
350,35.00004,1426,18,11,210,135,75,0,7,0.05542581,0,0,0,False,False,0,0,0,0,0,0,128,0,1
400,39.99996,1486,20,12,234,106,128,0,10,0.1878297,0.3,0.2,0.4,False,False,0,0,0,0,0,0,143,4,1
450,44.99989,1527,20,9,207,144,63,0,7,0.1780728,0.1,0.07692308,0.1428571,False,False,0,0,0,0,0,0,98,0,1
500,49.99981,1569,22,9,254,100,154,0,12,0.1966707,0.2727273,0.2,0.3333333,False,False,0,0,0,0,0,0,92,4,1
550,54.99973,1618,23,7,268,152,116,0,9,0.2066327,0.5217391,0.5714286,0.4444444,False,False,0,0,0,0,0,0,92,0,1
600,59.99966,1638,28,7,359,163,196,2,14,0.01857105,0.2857143,0.2142857,0.3571429,False,False,0,0,0,0,0,0,90,2,1
650,64.99958,1674,25,9,292,176,116,1,10,0.03096554,0.08,0.06666667,0.1,False,False,0,0,0,0,0,0,108,2,0
700,69.9995,1694,26,9,366,159,207,0,14,0.1734445,0.07692308,0.08333334,0.07142857,False,False,0,0,0,0,0,0,121,2,2
750,74.99943,1719,27,9,341,128,213,1,16,0.1131881,0.1481481,0.09090909,0.1875,False,False,0,0,0,0,0,0,122,0,1
800,79.99935,1741,27,9,377,178,199,1,17,0.0603463,0.2222222,0.3,0.1764706,False,False,0,0,0,0,0,0,138,2,1
850,84.99928,1762,31,11,423,297,126,0,11,0.05692431,0.1935484,0.15,0.2727273,False,False,0,0,0,0,0,0,153,2,2
900,89.9992,1783,32,12,433,235,198,0,14,0.111798,0.1875,0.1666667,0.2142857,False,False,0,0,0,0,0,0,161,2,0
950,94.99912,1794,40,14,554,244,310,1,20,0.1540621,0.25,0.35,0.15,False,False,0,0,0,0,0,0,199,4,2
1000,99.99905,1796,42,14,535,246,289,0,22,0.1447139,0.5238096,0.55,0.5,False,False,0,0,0,0,0,0,188,2,2
1050,104.999,1803,38,14,503,218,285,0,20,0.1201625,0.4736842,0.5,0.45,False,False,0,0,0,0,0,0,217,2,1
1100,109.9989,1811,38,12,531,276,255,0,18,0.07831132,0.05263158,0.05,0.05555556,False,False,0,0,0,0,0,0,174,0,1
1150,114.9988,1813,44,17,625,380,245,0,17,0.1073691,0.2727273,0.2962963,0.2352941,False,False,0,0,0,0,0,0,246,4,3
1200,119.9987,1821,39,14,528,399,129,0,12,0.09496135,0.2564103,0.2592593,0.25,False,False,0,0,0,0,0,0,191,2,4
1250,124.9987,1815,43,16,617,342,275,0,18,0.1600572,0.4186046,0.4,0.4444444,False,False,0,0,0,0,0,0,252,6,4
1300,129.9987,1808,49,19,694,432,262,1,20,0.1200764,0.244898,0.2068966,0.3,False,False,0,0,0,0,0,0,262,0,6
1350,134.999,1810,53,18,743,377,366,0,27,0.1458639,0.4150943,0.3461539,0.4814815,False,False,0,0,0,0,0,0,250,6,4
1400,139.9993,1807,55,16,757,383,374,0,27,0.1502835,0.5090909,0.2857143,0.7407407,False,False,0,0,0,0,0,0,211,4,4
1450,144.9996,1811,58,20,821,414,407,0,26,0.144072,0.4482759,0.375,0.5384616,False,False,0,0,0,0,0,0,282,8,4
1500,150,1804,64,23,894,454,440,0,31,0.0862231,0.25,0.2727273,0.2258064,False,False,0,0,0,0,0,0,324,4,6
1550,155.0003,1782,71,26,897,476,421,1,33,0.1671669,0.1971831,0.2631579,0.1212121,False,False,0,0,0,0,0,0,319,6,8
1600,160.0006,1770,75,27,1004,570,434,1,32,0.1328943,0.5066667,0.372093,0.6875,False,False,0,0,0,0,0,0,363,14,18
1650,165.0009,1768,77,28,1035,603,432,1,33,0.2004509,0.4155844,0.4090909,0.4242424,False,False,0,0,0,0,0,0,388,8,17
1700,170.0012,1752,76,28,1048,695,353,2,29,0.2248067,0.3947369,0.2765957,0.5862069,False,False,0,0,0,0,0,0,400,10,11
1750,175.0015,1744,84,31,1139,658,481,0,36,0.176549,0.4285714,0.4791667,0.3611111,False,False,0,0,0,0,0,0,392,14,14
1800,180.0018,1729,90,34,1144,582,562,0,45,0.1599544,0.3555556,0.2666667,0.4444444,False,False,0,0,0,0,0,0,397,10,16
1850,185.0021,1714,99,34,1368,660,708,0,53,0.2274176,0.4646465,0.5652174,0.3773585,False,False,0,0,0,0,0,0,453,8,18
1900,190.0024,1700,103,36,1390,639,751,1,56,0.2107678,0.5436893,0.5531915,0.5357143,False,False,0,0,0,0,0,0,497,12,23
1950,195.0027,1697,106,40,1438,779,659,1,47,0.2361946,0.4339623,0.4576271,0.4042553,False,False,0,0,0,0,0,0,549,12,25
2000,200.003,1678,115,44,1512,790,722,1,55,0.1873286,0.5652174,0.6,0.5272727,False,False,0,0,0,0,0,0,571,16,22
2050,205.0033,1647,125,49,1544,872,672,5,51,0.1788089,0.864,0.8108108,0.9411765,False,False,0,0,0,0,0,0,550,38,31
2100,210.0036,1628,125,50,1551,830,721,1,58,0.1573201,0.72,0.7611941,0.6724138,False,False,0,0,0,0,0,0,608,22,35
2150,215.0039,1623,123,49,1472,787,685,1,55,0.126293,0.6585366,0.5735294,0.7636364,False,False,0,0,0,0,0,0,588,33,23
2200,220.0042,1599,127,53,1659,922,737,2,55,0.1411081,0.6614173,0.625,0.7090909,False,False,0,0,0,0,0,0,718,26,25
2250,225.0045,1597,142,57,1761,1010,751,1,62,0.1382886,0.915493,0.9625,0.8548387,False,False,0,0,0,0,0,0,707,38,36
2300,230.0048,1560,157,61,1919,970,949,1,81,0.1586723,0.9171975,0.8947368,0.9382716,False,False,0,0,0,0,0,0,709,38,36
2350,235.0051,1514,175,64,2000,1037,963,2,85,0.105114,0.9885714,1.077778,0.8941177,False,False,0,0,0,0,0,0,729,30,55
2400,240.0054,1469,188,63,2264,1139,1125,2,94,0.0947817,1.042553,0.9787234,1.106383,False,False,0,0,0,0,0,0,779,44,53
2450,245.0058,1422,211,72,2311,1155,1156,2,105,0.113609,1.127962,1.169811,1.085714,False,False,0,0,0,0,0,0,745,50,73
2500,250.0061,1379,221,78,2278,1212,1066,4,96,0.08171503,1.276018,1.392,1.125,False,False,0,0,0,0,0,0,820,52,101
2550,255.0064,1338,216,80,2310,1325,985,1,94,0.07543967,1.157407,1.172131,1.138298,False,False,0,0,0,0,0,0,895,70,83
2600,260.0067,1286,229,80,2196,1334,862,2,88,0.05483649,1.187773,1.148936,1.25,False,False,0,0,0,0,0,0,792,72,81
2650,265.007,1239,243,80,2342,1366,976,6,99,0.04597947,0.9711934,0.8958333,1.080808,False,False,0,0,0,0,0,0,788,36,108
2700,270.0073,1211,240,79,2295,1369,926,1,101,0.0395514,1.104167,1.115108,1.089109,False,False,0,0,0,0,0,0,760,50,76
2750,275.0076,1197,251,79,2354,1488,866,1,91,0.03945236,1.386454,1.4125,1.340659,False,False,0,0,0,0,0,0,788,66,96
2800,280.0079,1147,264,85,2355,1589,766,0,93,0.06721453,1.325758,1.380117,1.225806,False,False,0,0,0,0,0,0,723,76,113
2850,285.0082,1126,266,85,2349,1568,781,3,86,0.03698616,1.345865,1.35,1.337209,False,False,0,0,0,0,0,0,753,66,120
2900,290.0085,1089,266,78,2258,1459,799,2,93,0.02164377,1.383459,1.398844,1.354839,False,False,0,0,0,0,0,0,693,72,98
2950,295.0088,1036,277,81,2256,1439,817,3,106,0.02633657,1.288809,1.19883,1.433962,False,False,0,0,0,0,0,0,634,54,112
3000,300.0091,1017,282,83,2165,1449,716,1,94,0.03895466,1.432624,1.335106,1.62766,False,False,0,0,0,0,0,0,609,62,138
3050,305.0094,978,281,85,2190,1500,690,0,89,0.02973149,1.423488,1.40625,1.460674,False,False,0,0,0,0,0,0,624,64,125
3100,310.0097,955,282,85,2068,1401,667,4,89,0.04294631,1.379433,1.419689,1.292135,False,False,0,0,0,0,0,0,625,56,138
3150,315.01,909,284,82,2026,1451,575,3,84,0.05493606,1.65493,1.515,1.988095,False,False,0,0,0,0,0,0,589,62,109
3200,320.0103,878,296,83,2138,1421,717,4,97,0.05785967,1.327703,1.366834,1.247423,False,False,0,0,0,0,0,0,628,42,118
3250,325.0106,858,300,84,1897,1357,540,1,91,0.03676203,1.43,1.411483,1.472528,False,False,0,0,0,0,0,0,519,55,141
3300,330.0109,826,305,79,1989,1392,597,2,92,0.02023211,1.567213,1.502347,1.717391,False,False,0,0,0,0,0,0,539,42,134
3350,335.0112,823,304,79,1992,1341,651,0,98,0.01442252,1.476974,1.42233,1.591837,False,False,0,0,0,0,0,0,545,30,137
3400,340.0115,791,297,77,1820,1210,610,2,98,0.01819571,1.454545,1.452261,1.459184,False,False,0,0,0,0,0,0,456,40,134
3450,345.0118,780,286,70,1711,1188,523,0,86,0.01811487,1.426573,1.42,1.44186,False,False,0,0,0,0,0,0,428,30,117
3500,350.0121,756,293,71,1777,1182,595,1,99,0.02736027,1.426621,1.443299,1.393939,False,False,0,0,0,0,0,0,438,48,137
3550,355.0125,753,283,69,1685,1210,475,1,78,0.03631714,1.194346,1.141463,1.333333,False,False,0,0,0,0,0,0,389,38,114
3600,360.0128,728,282,65,1590,1231,359,3,63,0.03548394,1.336879,1.333333,1.349206,False,False,0,0,0,0,0,0,361,28,125
3650,365.0131,715,274,60,1513,1165,348,2,61,0.03615354,1.441606,1.460094,1.377049,False,False,0,0,0,0,0,0,317,38,100
3700,370.0134,707,272,61,1530,1092,438,0,79,0.01920196,1.455882,1.388601,1.620253,False,False,0,0,0,0,0,0,343,34,84
3750,375.0137,684,276,65,1525,1069,456,2,76,0.04065488,1.485507,1.395,1.723684,False,False,0,0,0,0,0,0,377,48,111
3800,380.014,656,279,64,1469,1016,453,2,84,0.04656993,1.562724,1.584615,1.511905,False,False,0,0,0,0,0,0,347,36,116
3850,385.0143,643,270,57,1332,961,371,1,73,0.03465831,1.42963,1.436548,1.410959,False,False,0,0,0,0,0,0,295,26,84
3900,390.0146,638,268,55,1294,936,358,3,69,0.01805884,1.354478,1.261307,1.623188,False,False,0,0,0,0,0,0,267,26,106
