Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1109,109,0,856,614,242,0,29,0.113423,2.972477,2.8125,3.413793,True,True,0,0,0,0,0,0,0,0,0
100,10,1190,114,0,866,519,347,2,38,0.251015,4.578948,4.631579,4.473684,True,True,0,0,0,0,0,0,0,0,0
150,15.00002,1296,115,0,1460,813,647,1,40,0.4664428,6.252174,6.4,5.975,True,True,0,0,0,0,0,0,0,0,0
200,20.00004,1424,116,0,1003,458,545,3,46,0.6429647,11.19828,12.5,9.217391,True,True,0,0,0,0,0,0,0,0,0
250,25.00006,1556,121,0,1650,684,966,1,47,0.503466,8.46281,8.513514,8.382978,True,True,0,0,0,0,0,0,0,0,0
300,30.00008,1735,111,0,917,581,336,0,32,0.5272204,9.90991,9.911392,9.90625,True,True,0,0,0,0,0,0,0,0,0
350,35.00004,1868,117,0,1931,1107,824,2,42,0.3606082,12.64103,12.02667,13.7381,True,True,0,0,0,0,0,0,0,0,0
400,39.99996,2021,128,0,2265,938,1327,1,53,0.2122459,11.70313,12.2,11,True,True,0,0,0,0,0,0,0,0,0
450,44.99989,2190,135,0,3413,1140,2273,1,73,0.1061725,13.64444,13.29032,13.94521,True,True,0,0,0,0,0,0,0,0,0
500,49.99981,2319,141,0,2647,1240,1407,1,70,0.2025618,11.05674,11.50704,10.6,True,True,0,0,0,0,0,0,0,0,0
550,54.99973,2489,148,0,2270,887,1383,1,64,0.2167683,11.04054,12.14286,9.59375,True,True,0,0,0,0,0,0,0,0,0
600,59.99966,2673,150,0,2899,1110,1789,3,75,0.1440453,12.64,14.72,10.56,True,True,0,0,0,0,0,0,0,0,0
650,64.99958,2827,177,0,4814,1460,3354,4,109,0.1862086,13.0791,12.29412,13.56881,True,True,0,0,0,0,0,0,0,0,0
700,69.9995,2990,182,0,3639,1640,1999,2,87,0.2205742,10.78022,10.42105,11.17241,True,True,0,0,0,0,0,0,0,0,0
750,74.99943,3159,196,0,6665,2044,4621,1,120,0.2083851,11.76531,11.81579,11.73333,True,True,0,0,0,0,0,0,0,0,0
800,79.99935,3286,211,0,7618,1721,5897,2,129,0.1458554,14.45498,12.31707,15.81395,True,True,0,0,0,0,0,0,0,0,0
850,84.99928,3470,232,0,6043,1930,4113,1,131,0.2355332,11.12931,10.61386,11.52672,True,True,0,0,0,0,0,0,0,0,0
900,89.9992,3610,264,0,7214,2294,4920,1,150,0.2348123,11.17424,12.49123,10.17333,True,True,0,0,0,0,0,0,0,0,0
950,94.99912,3700,299,0,6102,2172,3930,1,160,0.3321757,12.29431,12.30935,12.28125,True,True,0,0,0,0,0,0,0,0,0
1000,99.99905,3810,331,0,9643,3783,5860,4,165,0.4304253,14.26586,13.49398,15.04242,True,True,0,0,0,0,0,0,0,0,0
1050,104.999,3857,378,0,10074,3572,6502,2,221,0.5482736,15.61905,15.06369,16.01357,True,True,0,0,0,0,0,0,0,0,0
1100,109.9989,3915,410,0,11590,3184,8406,4,247,0.6444223,17.46829,17.21472,17.63563,True,True,0,0,0,0,0,0,0,0,0
1150,114.9988,3972,453,0,13615,4363,9252,8,266,0.6005411,15.4106,16.32086,14.77068,True,True,0,0,0,0,0,0,0,0,0
