Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1085,112,0,965,655,310,2,38,0.1452861,0.8928571,0.8378378,1,False,False,0,0,0,0,0,0,0,0,0
100,10,1206,119,0,1137,665,472,0,49,0.1522226,1.142857,1.114286,1.183674,False,False,0,0,0,0,0,0,0,0,0
150,15.00002,1303,122,0,1209,756,453,1,46,0.1589825,1.213115,1.197368,1.23913,False,False,0,0,0,0,0,0,0,0,0
200,20.00004,1401,134,0,1402,887,515,1,47,0.1179258,1.208955,1.149425,1.319149,False,False,0,0,0,0,0,0,0,0,0
250,25.00006,1540,121,0,1434,910,524,1,43,0.1104986,0.8264463,0.8717949,0.744186,False,False,0,0,0,0,0,0,0,0,0
300,30.00008,1704,122,0,1659,981,678,3,46,0.1094089,0.8688524,0.8289474,0.9347826,False,False,0,0,0,0,0,0,0,0,0
350,35.00004,1848,142,0,2098,1163,935,1,65,0.09280302,1.330986,1.311688,1.353846,False,False,0,0,0,0,0,0,0,0,0
400,39.99996,1998,153,0,2456,1199,1257,1,76,0.0690861,1.313725,1.441558,1.184211,False,False,0,0,0,0,0,0,0,0,0
450,44.99989,2147,170,0,2800,1374,1426,3,87,0.110363,1.594118,1.590361,1.597701,False,False,0,0,0,0,0,0,0,0,0
500,49.99981,2277,184,0,3204,1333,1871,2,104,0.07712789,1.815217,1.6875,1.913462,False,False,0,0,0,0,0,0,0,0,0
550,54.99973,2429,200,0,3789,1662,2127,0,112,0.09995064,1.72,1.795455,1.660714,False,False,0,0,0,0,0,0,0,0,0
600,59.99966,2547,212,0,4159,2114,2045,4,104,0.08793616,1.627358,1.472222,1.788462,False,False,0,0,0,0,0,0,0,0,0
650,64.99958,2651,241,0,5010,2481,2529,2,121,0.03197649,1.966805,1.875,2.057851,False,False,0,0,0,0,0,0,0,0,0
700,69.9995,2726,283,0,5938,2299,3639,8,170,0.03807857,2.498233,2.451327,2.529412,False,False,0,0,0,0,0,0,0,0,0
750,74.99943,2792,320,0,6870,2759,4111,3,197,0.05129759,2.890625,2.788618,2.954315,False,False,0,0,0,0,0,0,0,0,0
800,79.99935,2844,348,0,7831,3413,4418,8,198,0.04339157,2.997126,3.04,2.964647,False,False,0,0,0,0,0,0,0,0,0
850,84.99928,2911,388,0,8764,3701,5063,5,228,0.01941669,3.18299,3.15625,3.201754,False,False,0,0,0,0,0,0,0,0,0
900,89.9992,2891,448,0,10329,4269,6060,5,265,0.02078435,3.573661,3.595628,3.558491,False,False,0,0,0,0,0,0,0,0,0
950,94.99912,2837,503,0,11104,4974,6130,8,282,0.0300881,4.270378,4.411765,4.159575,False,False,0,0,0,0,0,0,0,0,0
1000,99.99905,2753,555,0,11651,4849,6802,9,324,0.0183916,4.778378,4.658009,4.864198,False,False,0,0,0,0,0,0,0,0,0
1050,104.999,2646,608,0,12436,5252,7184,5,354,0.02132063,4.824013,4.988189,4.706215,False,False,0,0,0,0,0,0,0,0,0
1100,109.9989,2550,653,0,12859,5562,7297,8,373,0.05153643,5.405819,5.65,5.22252,False,False,0,0,0,0,0,0,0,0,0
1150,114.9988,2400,712,0,13380,5844,7536,13,401,0.0287135,5.804775,5.807074,5.802992,False,False,0,0,0,0,0,0,0,0,0
1200,119.9987,2217,764,0,13155,5958,7197,11,418,0.02180269,6.091623,6.080925,6.100479,False,False,0,0,0,0,0,0,0,0,0
1250,124.9987,2004,795,0,12409,5594,6815,14,422,0.03082767,6.402516,6.453083,6.35782,False,False,0,0,0,0,0,0,0,0,0
1300,129.9987,1816,823,0,11795,5943,5852,9,396,0.0149408,6.54435,6.522248,6.568182,False,False,0,0,0,0,0,0,0,0,0
1350,134.999,1571,889,0,10903,5728,5175,15,411,0.003658961,7.008999,6.870293,7.170316,False,False,0,0,0,0,0,0,0,0,0
1400,139.9993,1301,919,0,9521,5214,4307,11,400,0.008425313,7.253536,7.177264,7.3525,False,False,0,0,0,0,0,0,0,0,0
1450,144.9996,1073,930,0,7833,4624,3209,8,372,0.0067049,7.323656,7.353046,7.27957,False,False,0,0,0,0,0,0,0,0,0
1500,150,839,911,0,6009,3690,2319,4,341,0.005601033,7.094402,7.142105,7.014663,False,False,0,0,0,0,0,0,0,0,0
1550,155.0003,676,908,0,4688,3303,1385,5,275,0.01932086,7.080397,7.082149,7.076364,False,False,0,0,0,0,0,0,0,0,0
1600,160.0006,528,884,0,3571,2595,976,1,230,0.01406793,6.855204,6.928134,6.647826,False,False,0,0,0,0,0,0,0,0,0
1650,165.0009,410,843,0,2586,2024,562,3,191,0.03454055,6.642942,6.605828,6.769633,False,False,0,0,0,0,0,0,0,0,0
1700,170.0012,324,808,0,2105,1673,432,3,152,0.04824757,6.544554,6.490854,6.776316,False,False,0,0,0,0,0,0,0,0,0
1750,175.0015,255,749,0,1390,1125,265,6,123,0.05511271,5.810414,5.782748,5.95122,False,False,0,0,0,0,0,0,0,0,0
1800,180.0018,205,694,0,1107,962,145,0,97,0.04775846,5.518732,5.557789,5.27835,False,False,0,0,0,0,0,0,0,0,0
1850,185.0021,167,657,0,884,772,112,0,69,0.0475353,4.821918,4.819728,4.84058,False,False,0,0,0,0,0,0,0,0,0
1900,190.0024,142,615,0,684,604,80,1,56,0.04763244,4.923577,4.890877,5.25,False,False,0,0,0,0,0,0,0,0,0
1950,195.0027,111,571,0,490,442,48,0,51,0.04460245,4.437829,4.453846,4.27451,False,False,0,0,0,0,0,0,0,0,0
2000,200.003,104,516,0,458,428,30,0,31,0.04000397,3.988372,3.985567,4.032258,False,False,0,0,0,0,0,0,0,0,0
2050,205.0033,102,467,0,353,340,13,1,20,0.04196255,3.554604,3.536913,3.95,False,False,0,0,0,0,0,0,0,0,0
2100,210.0036,85,431,0,292,273,19,1,23,0.06216044,3.199536,3.20098,3.173913,False,False,0,0,0,0,0,0,0,0,0
2150,215.0039,77,390,0,232,222,10,1,18,0.04837451,2.861538,2.83871,3.333333,False,False,0,0,0,0,0,0,0,0,0
2200,220.0042,71,364,0,183,171,12,1,14,0.05256701,2.964286,2.965714,2.928571,False,False,0,0,0,0,0,0,0,0,0
2250,225.0045,75,343,0,201,195,6,0,14,0.02460861,2.717201,2.741641,2.142857,False,False,0,0,0,0,0,0,0,0,0
2300,230.0048,78,313,0,185,180,5,0,15,0.01783123,2.492013,2.506711,2.2,False,False,0,0,0,0,0,0,0,0,0
2350,235.0051,83,279,0,176,174,2,0,4,0.04121387,2.301075,2.316364,1.25,False,False,0,0,0,0,0,0,0,0,0
2400,240.0054,84,262,0,142,131,11,0,6,0.03723882,2.068702,2.085938,1.333333,False,False,0,0,0,0,0,0,0,0,0
2450,245.0058,84,245,0,140,136,4,0,9,0.0307587,1.808163,1.79661,2.111111,False,False,0,0,0,0,0,0,0,0,0
2500,250.0061,88,224,0,164,154,10,0,9,0.05228584,1.875,1.87907,1.777778,False,False,0,0,0,0,0,0,0,0,0
2550,255.0064,89,206,0,113,108,5,0,7,0.05898375,1.582524,1.552764,2.428571,False,False,0,0,0,0,0,0,0,0,0
2600,260.0067,96,198,0,148,142,6,0,9,0.06570884,1.818182,1.809524,2,False,False,0,0,0,0,0,0,0,0,0
2650,265.007,100,176,0,134,123,11,0,13,0.09162353,1.443182,1.398773,2,False,False,0,0,0,0,0,0,0,0,0
2700,270.0073,109,159,0,138,127,11,0,10,0.06554133,1.345912,1.328859,1.6,False,False,0,0,0,0,0,0,0,0,0
2750,275.0076,115,150,0,128,116,12,1,9,0.08451207,1.293333,1.312057,1,False,False,0,0,0,0,0,0,0,0,0
2800,280.0079,134,134,0,146,144,2,0,5,0.0609847,0.880597,0.8682171,1.2,False,False,0,0,0,0,0,0,0,0,0
