Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1073,19,9,143,110,33,2,3,0.3220267,0.05263158,0,0.3333333,False,True,0,0,0,0,0,0,76,1,0
100,10,1131,19,10,180,113,67,0,4,0.2254907,0,0,0,False,True,0,0,0,0,0,0,69,0,0
150,15.00002,1216,19,10,174,139,35,0,6,0.3192269,0.1052632,0.1538462,0,False,True,0,0,0,0,0,0,99,0,0
200,20.00004,1281,21,11,324,154,170,1,8,0.1528795,0.5714286,0.5384616,0.625,False,True,0,0,0,0,0,0,192,8,0
250,25.00006,1333,23,14,273,105,168,0,12,0.2748377,0.3478261,0.4545455,0.25,False,True,0,0,0,0,0,0,176,6,0
300,30.00008,1390,24,15,303,140,163,0,9,0.3810813,0.3333333,0.3333333,0.3333333,False,True,0,0,0,0,0,0,270,8,0
350,35.00004,1444,25,15,316,130,186,0,10,0.2930113,0.16,0.06666667,0.3,False,True,0,0,0,0,0,0,157,0,0
400,39.99996,1487,28,18,412,193,219,0,9,0.05690518,0.2857143,0.2105263,0.4444444,False,True,0,0,0,0,0,0,314,4,3
450,44.99989,1538,31,20,327,105,222,0,13,0.02663073,0.3870968,0.4444444,0.3076923,False,True,0,0,0,0,0,0,184,8,2
500,49.99981,1574,30,20,625,295,330,0,12,0.05881577,0.3333333,0.4444444,0.1666667,False,True,0,0,0,0,0,0,423,8,3
550,54.99973,1602,31,20,355,101,254,0,15,0.06481811,0.06451613,0.0625,0.06666667,False,True,0,0,0,0,0,0,262,2,0
600,59.99966,1638,30,18,411,175,236,0,13,0.07903098,0,0,0,False,True,0,0,0,0,0,0,229,0,2
650,64.99958,1658,35,21,568,297,271,2,12,0.1047749,0.3714286,0.3043478,0.5,False,True,0,0,0,0,0,0,411,13,1
700,69.9995,1674,40,24,593,207,386,1,16,0.1439231,0.15,0.04166667,0.3125,False,True,0,0,0,0,0,0,376,4,0
750,74.99943,1702,39,22,543,183,360,1,13,0.2032409,0.2564103,0.2692308,0.2307692,False,True,0,0,0,0,0,0,226,4,1
800,79.99935,1716,44,25,992,412,580,0,19,0.1017225,0.2272727,0.2,0.2631579,False,True,0,0,0,0,0,0,547,6,7
850,84.99928,1741,42,23,624,240,384,0,21,0.0815017,0.2857143,0.2857143,0.2857143,False,True,0,0,0,0,0,0,226,8,3
900,89.9992,1748,45,24,617,123,494,0,16,0.1779682,0.6666667,0.6896552,0.625,False,True,0,0,0,0,0,0,281,12,4
950,94.99912,1767,44,21,481,99,382,0,15,0.2262908,0.1818182,0.1724138,0.2,False,True,0,0,0,0,0,0,256,6,0
1000,99.99905,1787,45,21,412,105,307,0,16,0.2122955,0.1777778,0.137931,0.25,False,True,0,0,0,0,0,0,250,4,6
1050,104.999,1803,47,22,593,263,330,0,10,0.164531,0.1702128,0.1621622,0.2,False,True,0,0,0,0,0,0,152,4,4
1100,109.9989,1800,49,27,988,215,773,1,26,0.1463011,0.4897959,0.4347826,0.5384616,False,True,0,0,0,0,0,0,690,16,6
1150,114.9988,1808,47,26,1100,382,718,0,24,0.1355885,0.4680851,0.3043478,0.625,False,True,0,0,0,0,0,0,545,6,5
1200,119.9987,1806,46,25,790,200,590,1,23,0.1421622,0.2826087,0.1304348,0.4347826,False,True,0,0,0,0,0,0,262,2,8
1250,124.9987,1804,51,29,1158,526,632,1,22,0.1387088,0.509804,0.3103448,0.7727273,False,True,0,0,0,0,0,0,427,14,5
1300,129.9987,1800,54,31,983,423,560,0,23,0.1292312,0.3703704,0.2258064,0.5652174,False,True,0,0,0,0,0,0,494,18,8
1350,134.999,1807,50,28,857,268,589,1,25,0.1267163,0.44,0.56,0.32,False,True,0,0,0,0,0,0,428,14,5
1400,139.9993,1812,47,22,855,346,509,0,19,0.2724422,0.4680851,0.3928571,0.5789474,False,True,0,0,0,0,0,0,316,8,9
1450,144.9996,1816,48,25,883,196,687,0,25,0.2340608,0.3125,0.3913043,0.24,False,True,0,0,0,0,0,0,462,11,6
1500,150,1816,43,21,605,225,380,0,20,0.2886584,0.3255814,0.3478261,0.3,False,True,0,0,0,0,0,0,344,4,4
1550,155.0003,1824,45,22,746,160,586,0,21,0.2700169,0.4444444,0.25,0.6666667,False,True,0,0,0,0,0,0,381,8,1
1600,160.0006,1836,52,23,760,357,403,2,16,0.2872486,0.3076923,0.25,0.4375,False,True,0,0,0,0,0,0,334,4,4
1650,165.0009,1834,56,27,677,243,434,1,18,0.2370872,0.2857143,0.2105263,0.4444444,False,True,0,0,0,0,0,0,274,6,8
1700,170.0012,1840,53,27,666,317,349,0,18,0.2062007,0.2641509,0.1714286,0.4444444,False,True,0,0,0,0,0,0,426,8,11
1750,175.0015,1840,47,28,665,379,286,2,13,0.1514845,0.5319149,0.5588235,0.4615385,False,True,0,0,0,0,0,0,448,19,6
1800,180.0018,1845,44,27,620,220,400,0,13,0.08835921,0.3636364,0.3225806,0.4615385,False,True,0,0,0,0,0,0,367,10,5
1850,185.0021,1852,44,25,707,254,453,2,18,0.05012679,0.3181818,0.3076923,0.3333333,False,True,0,0,0,0,0,0,474,6,4
1900,190.0024,1843,45,27,762,303,459,0,20,0.238714,0.2222222,0.2,0.25,False,True,0,0,0,0,0,0,512,6,3
1950,195.0027,1857,44,27,746,344,402,1,18,0.1695098,0.1363636,0.1538462,0.1111111,False,True,0,0,0,0,0,0,445,4,3
2000,200.003,1862,45,25,702,425,277,2,14,0.188026,0.2222222,0.1935484,0.2857143,False,True,0,0,0,0,0,0,345,6,4
2050,205.0033,1851,52,26,1086,533,553,1,23,0.2480957,0.4230769,0.3793103,0.4782609,False,True,0,0,0,0,0,0,543,4,3
2100,210.0036,1848,55,27,1015,435,580,1,23,0.3151155,0.4181818,0.4375,0.3913043,False,True,0,0,0,0,0,0,486,7,7
2150,215.0039,1837,66,30,1203,484,719,0,27,0.1697355,0.4242424,0.3846154,0.4814815,False,True,0,0,0,0,0,0,512,16,7
2200,220.0042,1835,68,31,1353,523,830,1,36,0.2301191,0.5882353,0.40625,0.75,False,True,0,0,0,0,0,0,797,20,6
2250,225.0045,1825,76,34,1367,362,1005,1,38,0.3084711,0.6315789,0.5789474,0.6842105,False,True,0,0,0,0,0,0,624,20,10
2300,230.0048,1812,81,35,1302,444,858,0,37,0.3602118,0.7160494,0.5454546,0.9189189,False,True,0,0,0,0,0,0,684,30,12
