Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1082,105,0,898,640,258,2,32,0.2536667,0.952381,0.8356164,1.21875,False,False,105,1,0,1,105
100,10,1208,113,0,1096,782,314,2,33,0.1042214,1.053097,1.025,1.121212,False,False,113,1,0,1,113
150,15.00002,1309,113,0,1144,736,408,0,39,0.08265095,1.00885,1.027027,0.974359,False,False,113,1,0,1,113
200,20.00004,1412,117,0,1267,835,432,2,40,0.09345013,0.8717949,0.9350649,0.75,False,False,117,1,0,1,117
250,25.00006,1534,126,0,1481,764,717,0,59,0.08034248,1.111111,1.208955,1,False,False,126,1,0,1,126
300,30.00008,1671,142,0,1834,1041,793,2,59,0.03954234,1.267606,1.289157,1.237288,False,False,142,1,0,1,142
350,35.00004,1802,137,0,1893,1102,791,0,57,0.03022825,0.9489051,0.7875,1.175439,False,False,137,1,0,1,137
400,39.99996,1929,147,0,2214,1110,1104,1,75,0.0206462,1.482993,1.569444,1.4,False,False,147,1,0,1,147
450,44.99989,2040,167,0,2743,1461,1282,2,80,0.06501758,1.520958,1.586207,1.45,False,False,167,1,0,1,167
500,49.99981,2142,186,0,3060,1457,1603,3,98,0.07324099,1.591398,1.5,1.673469,False,False,186,1,0,1,186
550,54.99973,2269,204,0,3589,1897,1692,0,99,0.01994983,1.45098,1.466667,1.434343,False,False,204,1,0,1,204
600,59.99966,2400,225,0,4072,2189,1883,3,105,0.01651532,1.946667,1.941667,1.952381,False,False,225,1,0,1,225
650,64.99958,2528,235,0,4610,2200,2410,4,121,0.05598705,2.008511,2.017544,2,False,False,235,1,0,1,235
700,69.9995,2655,276,0,5765,2472,3293,3,162,0.07475815,2.307971,2.473684,2.191358,False,False,276,1,0,1,276
750,74.99943,2718,310,0,6683,2848,3835,3,177,0.08679059,2.458065,2.488722,2.435028,False,False,310,1,0,1,310
800,79.99935,2766,357,0,7723,3064,4659,14,207,0.09097798,2.971989,2.886667,3.033816,False,False,357,1,0,1,357
850,84.99928,2786,396,0,8370,3360,5010,6,237,0.09296359,3.325758,3.433962,3.253165,False,False,396,1,0,1,396
900,89.9992,2793,442,0,9678,3574,6104,5,278,0.0762408,3.567873,3.780488,3.442446,False,False,442,1,0,1,442
950,94.99912,2758,499,0,10744,4580,6164,3,288,0.09103826,4.054108,4.49763,3.729167,False,False,499,1,0,1,499
1000,99.99905,2655,564,0,11624,5573,6051,10,292,0.07330622,4.659575,4.632353,4.684931,False,False,564,1,0,1,564
1050,104.999,2560,615,0,12060,5483,6577,9,335,0.05364931,5.128455,5.110714,5.143283,False,False,615,1,0,1,615
1100,109.9989,2370,690,0,12735,5905,6830,7,370,0.04120454,5.805797,6,5.637838,False,False,690,1,0,1,690
1150,114.9988,2207,751,0,12771,6458,6313,11,366,0.04287964,5.964048,6.038961,5.885246,False,False,751,1,0,1,751
1200,119.9987,1976,799,0,12265,6271,5994,7,389,0.04082382,6.317897,6.431707,6.197943,False,False,799,1,0,1,799
1250,124.9987,1751,853,0,11661,6027,5634,9,404,0.01285033,6.730363,6.853007,6.594059,False,False,853,1,0,1,853
1300,129.9987,1462,910,0,10288,5382,4906,6,430,0.03998107,7.382418,7.56875,7.174418,False,False,910,1,0,1,910
1350,134.999,1227,941,0,8980,5288,3692,10,383,0.02077892,7.263549,7.286738,7.229765,False,False,941,1,0,1,941
1400,139.9993,1038,939,0,7407,4884,2523,4,326,0.03762328,7.345048,7.520391,7.015337,False,False,939,1,0,1,939
1450,144.9996,826,944,0,5973,3971,2002,0,321,0.03592718,7.353814,7.443017,7.180686,False,False,944,1,0,1,944
1500,150,653,935,0,4712,3255,1457,5,275,0.04059336,7.340107,7.29394,7.450909,False,False,935,1,0,1,935
1550,155.0003,536,899,0,3762,2748,1014,5,232,0.05960185,6.927698,6.950525,6.862069,False,False,899,1,0,1,899
1600,160.0006,420,874,0,2859,2229,630,3,183,0.04465844,6.734554,6.836469,6.349727,False,False,874,1,0,1,874
1650,165.0009,338,828,0,2188,1816,372,4,138,0.05518611,6.25,6.233333,6.333333,False,False,828,1,0,1,828
1700,170.0012,275,772,0,1668,1421,247,2,109,0.03930065,6.139896,6.067873,6.577981,False,False,772,1,0,1,772
1750,175.0015,222,723,0,1260,1051,209,1,101,0.04150469,5.62379,5.601286,5.762376,False,False,723,1,0,1,723
1800,180.0018,191,672,0,938,822,116,2,70,0.03365282,5.25,5.222591,5.485714,False,False,672,1,0,1,672
1850,185.0021,156,625,0,738,680,58,1,55,0.0311615,4.96,4.956141,5,False,False,625,1,0,1,625
1900,190.0024,127,579,0,566,515,51,2,48,0.01109842,4.685665,4.659134,4.979167,False,False,579,1,0,1,579
1950,195.0027,105,534,0,455,407,48,1,40,0.023413,4.329588,4.329959,4.325,False,False,534,1,0,1,534
2000,200.003,88,487,0,321,293,28,0,36,0.0231677,3.74538,3.742794,3.777778,False,False,487,1,0,1,487
2050,205.0033,79,441,0,250,234,16,1,23,0.01719539,3.285714,3.294258,3.130435,False,False,441,1,0,1,441
2100,210.0036,75,401,0,239,228,11,0,17,0.06498672,3.057357,3.057292,3.058824,False,False,401,1,0,1,401
2150,215.0039,67,373,0,207,196,11,0,17,0.02922339,2.825737,2.825843,2.823529,False,False,373,1,0,1,373
2200,220.0042,65,343,0,164,152,12,0,16,0.02153256,2.793003,2.755352,3.5625,False,False,343,1,0,1,343
2250,225.0045,67,319,0,149,143,6,0,13,0.01891411,2.76489,2.761438,2.846154,False,False,319,1,0,1,319
2300,230.0048,59,284,0,138,131,7,1,11,0.03849841,2.302817,2.311355,2.090909,False,False,284,1,0,1,284
2350,235.0051,58,260,0,106,105,1,0,6,0.009883005,2.153846,2.145669,2.5,False,False,260,1,0,1,260
2400,240.0054,59,233,0,99,93,6,0,9,0.003739442,1.772532,1.772321,1.777778,False,False,233,1,0,1,233
2450,245.0058,71,208,0,106,106,0,0,3,0.04862413,1.480769,1.482927,1.333333,False,False,208,1,0,1,208
2500,250.0061,73,195,0,125,120,5,0,6,0.0285182,1.435897,1.439153,1.333333,False,False,195,1,0,1,195
2550,255.0064,83,172,0,114,112,2,0,6,0.1081198,1.267442,1.283133,0.8333333,False,False,172,1,0,1,172
2600,260.0067,91,155,0,111,107,4,0,3,0.06599558,1.135484,1.118421,2,False,False,155,1,0,1,155
2650,265.007,105,144,0,99,94,5,0,5,0.07429539,1.055556,1.064748,0.8,False,False,144,1,0,1,144
2700,270.0073,112,131,0,118,115,3,0,3,0.1144513,1.099237,1.101563,1,False,False,131,1,0,1,131
2750,275.0076,127,122,0,119,116,3,2,4,0.1004611,0.8852459,0.8644068,1.5,False,False,122,1,0,1,122
2800,280.0079,125,117,0,117,102,15,1,14,0.1209042,0.8717949,0.8834952,0.7857143,False,False,117,1,0,1,117
