Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1079,102,0,864,616,248,2,27,0.1411627,0.8431373,0.8,0.962963,False,False,102,1,0,1,102
100,10,1149,108,0,1073,704,369,1,40,0.05609873,1.037037,1.029412,1.05,False,False,108,1,0,1,108
150,15.00002,1237,111,0,1049,646,403,2,44,0.05670674,1.153153,1.283582,0.9545454,False,False,111,1,0,1,111
200,20.00004,1332,114,0,1170,725,445,1,42,0.09776396,1.035088,1.097222,0.9285714,False,False,114,1,0,1,114
250,25.00006,1385,133,0,1445,795,650,0,61,0.09893295,1.24812,1.291667,1.196721,False,False,133,1,0,1,133
300,30.00008,1466,141,0,1626,971,655,2,53,0.1370927,1.021277,0.9659091,1.113208,False,False,141,1,0,1,141
350,35.00004,1520,146,0,1740,882,858,1,72,0.1509212,1.342466,1.445946,1.236111,False,False,146,1,0,1,146
400,39.99996,1633,143,0,1864,1012,852,1,66,0.06585495,1.202797,1.25974,1.136364,False,False,143,1,0,1,143
450,44.99989,1726,144,0,1903,993,910,2,69,0.08084495,1.152778,1.106667,1.202899,False,False,144,1,0,1,144
500,49.99981,1803,157,0,2174,1165,1009,2,72,0.01435432,1.369427,1.352941,1.388889,False,False,157,1,0,1,157
550,54.99973,1877,178,0,2601,1355,1246,1,89,0.03714026,1.606742,1.674157,1.539326,False,False,178,1,0,1,178
600,59.99966,1921,199,0,3060,1406,1654,4,108,0.05739712,1.753769,1.769231,1.740741,False,False,199,1,0,1,199
650,64.99958,1988,209,0,3278,1459,1819,1,111,0.06309317,1.751196,1.540816,1.936937,False,False,209,1,0,1,209
700,69.9995,2055,215,0,3417,1752,1665,1,104,0.02726861,1.776744,1.774775,1.778846,False,False,215,1,0,1,215
750,74.99943,2102,229,0,3907,1726,2181,2,130,0.06793759,1.921397,1.626263,2.146154,False,False,229,1,0,1,229
800,79.99935,2117,264,0,4410,2139,2271,3,139,0.03605162,2.007576,2.272,1.769784,False,False,264,1,0,1,264
850,84.99928,2093,311,0,4950,2398,2552,5,159,0.02448568,2.842444,2.703947,2.974843,False,False,311,1,0,1,311
900,89.9992,2127,332,0,5406,2811,2595,3,160,0.01287447,2.737952,2.872093,2.59375,False,False,332,1,0,1,332
950,94.99912,2107,356,0,5806,3106,2700,4,165,0.05573913,2.755618,2.675393,2.848485,False,False,356,1,0,1,356
1000,99.99905,2068,390,0,6288,2816,3472,5,212,0.08325513,3.276923,3.235955,3.311321,False,False,390,1,0,1,390
1050,104.999,2035,425,0,6735,3338,3397,4,208,0.04643266,3.69647,3.589862,3.807692,False,False,425,1,0,1,425
1100,109.9989,1949,470,0,7102,3491,3611,4,238,0.05306223,3.789362,3.698276,3.878151,False,False,470,1,0,1,470
1150,114.9988,1818,517,0,7427,3720,3707,7,257,0.06895723,4.197292,4.484615,3.906615,False,False,517,1,0,1,517
1200,119.9987,1684,536,0,7229,3656,3573,9,262,0.05492653,4.186567,4.19708,4.175572,False,False,536,1,0,1,536
1250,124.9987,1552,569,0,6893,3799,3094,6,256,0.0656509,4.581722,4.578275,4.585938,False,False,569,1,0,1,569
1300,129.9987,1409,599,0,6686,3990,2696,6,243,0.04228941,4.831386,4.851124,4.802469,False,False,599,1,0,1,599
1350,134.999,1283,627,0,6411,3736,2675,5,266,0.008123799,5.084529,5.144044,5.003759,False,False,627,1,0,1,627
1400,139.9993,1191,636,0,5921,3781,2140,3,229,0.03017477,5.003145,5.007371,4.995633,False,False,636,1,0,1,636
1450,144.9996,1043,648,0,5189,3141,2048,9,251,0.02781414,5.236111,5.259446,5.199203,False,False,648,1,0,1,648
1500,150,942,640,0,4660,3013,1647,7,216,0.04983938,5.026563,5.075472,4.930555,False,False,640,1,0,1,640
1550,155.0003,844,627,0,4001,2481,1520,2,224,0.02940871,4.905901,5.012407,4.714286,False,False,627,1,0,1,627
1600,160.0006,769,632,0,3737,2507,1230,9,197,0.02609308,4.816456,4.843678,4.756345,False,False,632,1,0,1,632
1650,165.0009,651,621,0,3040,2141,899,6,179,0.0339767,5.077295,5.067873,5.100559,False,False,621,1,0,1,621
1700,170.0012,585,610,0,2798,2008,790,5,168,0.03422078,5.327869,5.264706,5.494048,False,False,610,1,0,1,610
1750,175.0015,539,586,0,2460,1830,630,6,138,0.01659875,4.919795,4.790179,5.34058,False,False,586,1,0,1,586
1800,180.0018,484,563,0,2063,1569,494,2,129,0.01770416,4.248668,4.218894,4.348837,False,False,563,1,0,1,563
1850,185.0021,426,535,0,1797,1398,399,2,109,0.01201639,4.024299,3.969484,4.238532,False,False,535,1,0,1,535
1900,190.0024,399,513,0,1489,1200,289,1,93,0.03075326,4.116959,4.171429,3.870968,False,False,513,1,0,1,513
1950,195.0027,363,481,0,1317,1110,207,2,74,0.03188302,3.719335,3.766585,3.45946,False,False,481,1,0,1,481
2000,200.003,335,446,0,1154,963,191,1,68,0.02745897,3.320628,3.322751,3.308824,False,False,446,1,0,1,446
2050,205.0033,323,422,0,1098,887,211,0,68,0.01329068,3.208531,3.245763,3.014706,False,False,422,1,0,1,422
2100,210.0036,303,408,0,977,836,141,1,57,0.01853496,2.884804,2.866097,3,False,False,408,1,0,1,408
2150,215.0039,284,393,0,886,779,107,1,52,0.04032939,3.063613,3.02346,3.326923,False,False,393,1,0,1,393
2200,220.0042,270,368,0,781,638,143,0,54,0.01429392,2.861413,2.859873,2.87037,False,False,368,1,0,1,368
2250,225.0045,259,345,0,702,587,115,2,56,0.04854552,2.768116,2.823529,2.482143,False,False,345,1,0,1,345
2300,230.0048,263,331,0,663,543,120,1,51,0.03093358,2.661631,2.607143,2.960784,False,False,331,1,0,1,331
2350,235.0051,274,308,0,671,591,80,0,37,0.03239239,2.694805,2.697417,2.675676,False,False,308,1,0,1,308
2400,240.0054,272,295,0,591,523,68,0,37,0.05432112,2.488136,2.468992,2.621622,False,False,295,1,0,1,295
2450,245.0058,276,282,0,620,538,82,2,37,0.03233453,2.219858,2.212245,2.27027,False,False,282,1,0,1,282
2500,250.0061,287,274,0,644,551,93,1,34,0.00291964,2.10219,2.0625,2.382353,False,False,274,1,0,1,274
2550,255.0064,284,261,0,593,522,71,3,38,0.03790113,2.05364,2.049327,2.078947,False,False,261,1,0,1,261
2600,260.0067,285,239,0,552,503,49,0,25,0.07101164,1.895398,1.939252,1.52,False,False,239,1,0,1,239
2650,265.007,294,220,0,509,442,67,1,28,0.06617037,1.7,1.6875,1.785714,False,False,220,1,0,1,220
2700,270.0073,307,201,0,454,386,68,0,30,0.05261607,1.567164,1.538012,1.733333,False,False,201,1,0,1,201
2750,275.0076,314,195,0,446,365,81,0,31,0.07917706,1.353846,1.341463,1.419355,False,False,195,1,0,1,195
2800,280.0079,326,190,0,495,423,72,1,29,0.02812608,1.494737,1.509317,1.413793,False,False,190,1,0,1,190
2850,285.0082,340,179,0,455,398,57,0,24,0.06107777,1.47486,1.503226,1.291667,False,False,179,1,0,1,179
2900,290.0085,360,167,0,465,398,67,0,22,0.04606971,1.42515,1.427586,1.409091,False,False,167,1,0,1,167
2950,295.0088,377,164,0,500,386,114,1,33,0.02138011,1.286585,1.335878,1.090909,False,False,164,1,0,1,164
3000,300.0091,390,163,0,477,359,118,2,38,0.03726703,1.263804,1.12,1.736842,False,False,163,1,0,1,163
3050,305.0094,408,155,0,508,433,75,0,24,0.05462378,1.303226,1.328244,1.166667,False,False,155,1,0,1,155
3100,310.0097,447,152,0,504,437,67,1,19,0.05812544,1.381579,1.398496,1.263158,False,False,152,1,0,1,152
3150,315.01,470,160,0,598,477,121,0,34,0.03581316,1.26875,1.285714,1.205882,False,False,160,1,0,1,160
3200,320.0103,503,148,0,556,454,102,1,26,0.02298934,1.067568,1.065574,1.076923,False,False,148,1,0,1,148
3250,325.0106,544,141,0,650,477,173,1,38,0.02770409,1.219858,1.281553,1.052632,False,False,141,1,0,1,141
3300,330.0109,560,138,0,629,452,177,1,36,0.01681684,1.130435,1.078431,1.277778,False,False,138,1,0,1,138
3350,335.0112,591,134,0,586,430,156,1,36,0.05765058,1.037313,0.9795918,1.194444,False,False,134,1,0,1,134
3400,340.0115,630,139,0,716,514,202,2,40,0.06264006,1.071942,1.070707,1.075,False,False,139,1,0,1,139
3450,345.0118,677,137,0,740,514,226,2,42,0.08426527,0.9635037,0.9789473,0.9285714,False,False,137,1,0,1,137
3500,350.0121,730,137,0,767,554,213,1,34,0.09142949,1.270073,1.31068,1.147059,False,False,137,1,0,1,137
3550,355.0125,777,137,0,803,577,226,2,36,0.1184213,1.080292,1.009901,1.277778,False,False,137,1,0,1,137
3600,360.0128,830,141,0,865,666,199,0,32,0.06229619,1.219858,1.238532,1.15625,False,False,141,1,0,1,141
3650,365.0131,880,137,0,943,558,385,2,51,0.06524469,1.043796,1.081395,0.9803922,False,False,137,1,0,1,137
3700,370.0134,940,131,0,974,710,264,3,37,0.06144719,0.9923664,1.095745,0.7297297,False,False,131,1,0,1,131
3750,375.0137,1010,131,0,1010,663,347,0,45,0.07240085,1.251908,1.244186,1.266667,False,False,131,1,0,1,131
3800,380.014,1061,141,0,1226,733,493,0,54,0.06165787,1.248227,1.241379,1.259259,False,False,141,1,0,1,141
3850,385.0143,1110,141,0,1230,757,473,2,53,0.08325659,1.546099,1.602273,1.45283,False,False,141,1,0,1,141
3900,390.0146,1181,139,0,1182,610,572,5,62,0.01768345,0.9640288,0.987013,0.9354839,False,False,139,1,0,1,139
3950,395.0149,1279,132,0,1337,801,536,1,56,0.01304283,1.106061,1.092105,1.125,False,False,132,1,0,1,132
4000,400.0152,1384,130,0,1389,786,603,0,57,0.04523462,0.9384615,0.9452055,0.9298246,False,False,130,1,0,1,130
4050,405.0155,1487,132,0,1486,875,611,0,56,0.08434036,1.090909,1.118421,1.053571,False,False,132,1,0,1,132
4100,410.0158,1586,138,0,1670,928,742,0,59,0.1051189,1.043478,0.9620253,1.152542,False,False,138,1,0,1,138
4150,415.0161,1719,140,0,1941,1145,796,2,58,0.04816032,1,0.9512195,1.068966,False,False,140,1,0,1,140
4200,420.0164,1810,152,0,2151,1092,1059,2,73,0.05003244,1.276316,1.151899,1.410959,False,False,152,1,0,1,152
4250,425.0167,1906,151,0,2240,1143,1097,4,75,0.1022272,1.198676,1.223684,1.173333,False,False,151,1,0,1,151
4300,430.017,1984,157,0,2383,1034,1349,3,87,0.03456549,1.057325,1.057143,1.057471,False,False,157,1,0,1,157
4350,435.0173,2096,157,0,2637,1285,1352,2,80,0.03731445,1.464968,1.454545,1.475,False,False,157,1,0,1,157
4400,440.0176,2187,173,0,3042,1510,1532,0,91,0.07368169,1.50289,1.560976,1.450549,False,False,173,1,0,1,173
4450,445.0179,2236,187,0,3179,1450,1729,1,102,0.05199725,1.582888,1.576471,1.588235,False,False,187,1,0,1,187
4500,450.0182,2325,207,0,3745,1792,1953,4,105,0.02916177,1.642512,1.578431,1.704762,False,False,207,1,0,1,207
4550,455.0186,2392,214,0,3969,1804,2165,1,116,0.06038084,1.691589,1.755102,1.637931,False,False,214,1,0,1,214
4600,460.0189,2438,212,0,3979,1549,2430,6,129,0.07078435,1.95283,1.927711,1.968992,False,False,212,1,0,1,212
4650,465.0192,2513,236,0,4720,2248,2472,2,126,0.07371619,2.033898,2.018182,2.047619,False,False,236,1,0,1,236
4700,470.0195,2541,254,0,4902,2310,2592,2,136,0.07073701,2.15748,2.067797,2.235294,False,False,254,1,0,1,254
4750,475.0198,2563,274,0,5498,2794,2704,2,140,0.02808896,2.346715,2.492537,2.207143,False,False,274,1,0,1,274
4800,480.0201,2569,300,0,5834,2682,3152,2,161,0.04630347,2.566667,2.604316,2.534162,False,False,300,1,0,1,300
4850,485.0204,2559,329,0,6714,2968,3746,6,179,0.05927365,2.826748,2.66,2.96648,False,False,329,1,0,1,329
4900,490.0207,2520,359,0,7022,3369,3653,3,190,0.06216137,2.637883,2.550296,2.71579,False,False,359,1,0,1,359
4950,495.021,2499,387,0,7542,3558,3984,4,208,0.110195,3.149871,3.201117,3.105769,False,False,387,1,0,1,387
5000,500.0213,2427,428,0,8057,3652,4405,5,233,0.09032349,3.462617,3.605128,3.343348,False,False,428,1,0,1,428
5050,505.0216,2366,475,0,8686,4132,4554,8,240,0.05733452,3.810526,3.693617,3.925,False,False,475,1,0,1,475
5100,510.0219,2248,529,0,9040,4361,4679,6,275,0.04960456,4.308128,4.358268,4.261818,False,False,529,1,0,1,529
5150,515.0213,2116,556,0,9162,4121,5041,7,307,0.05003951,4.377698,4.546185,4.241042,False,False,556,1,0,1,556
5200,520.0201,1979,589,0,9107,4378,4729,8,298,0.02198511,4.942275,5.044673,4.842282,False,False,589,1,0,1,589
5250,525.0189,1788,635,0,8845,4762,4083,10,300,0.03455129,5.299212,5.346269,5.246666,False,False,635,1,0,1,635
5300,530.0176,1610,677,0,8452,4494,3958,10,321,0.03218377,5.416543,5.547753,5.271028,False,False,677,1,0,1,677
5350,535.0164,1422,726,0,7967,4275,3692,13,327,0.0178207,5.699725,5.68421,5.718655,False,False,726,1,0,1,726
5400,540.0152,1216,753,0,7099,3980,3119,7,327,0.01462692,6.11421,6.089202,6.146789,False,False,753,1,0,1,753
5450,545.014,1059,767,0,6189,3841,2348,7,293,0.03549147,5.885267,5.85443,5.935153,False,False,767,1,0,1,767
5500,550.0128,856,762,0,4912,3003,1909,5,287,0.05588983,5.891076,5.993684,5.721254,False,False,762,1,0,1,762
5550,555.0115,726,762,0,4178,2751,1427,6,259,0.02219598,6.110236,6.027833,6.27027,False,False,762,1,0,1,762
5600,560.0103,597,754,0,3452,2510,942,4,200,0.04526008,6.062334,6.083033,6.005,False,False,754,1,0,1,754
5650,565.0091,497,736,0,2822,2177,645,6,160,0.06274164,5.744565,5.704861,5.8875,False,False,736,1,0,1,736
5700,570.0079,418,701,0,2317,1859,458,4,145,0.04338912,5.50214,5.521583,5.427586,False,False,701,1,0,1,701
5750,575.0067,351,656,0,1775,1380,395,1,130,0.05546887,5.353659,5.410646,5.123077,False,False,656,1,0,1,656
5800,580.0054,311,616,0,1467,1199,268,1,101,0.04318986,4.602273,4.617476,4.524753,False,False,616,1,0,1,616
5850,585.0042,273,579,0,1242,1062,180,2,84,0.02227322,4.588946,4.450505,5.404762,False,False,579,1,0,1,579
5900,590.003,245,552,0,1088,887,201,0,85,0.03407278,4.253623,4.17773,4.670588,False,False,552,1,0,1,552
5950,595.0018,219,519,0,863,745,118,5,63,0.0272946,4.196532,4.217105,4.047619,False,False,519,1,0,1,519
6000,600.0005,183,495,0,728,645,83,0,57,0.03655247,3.943434,3.968036,3.754386,False,False,495,1,0,1,495
6050,604.9993,161,453,0,544,499,45,2,46,0.04434791,3.567329,3.584767,3.413043,False,False,453,1,0,1,453
6100,609.9981,142,413,0,488,424,64,0,44,0.01918533,3.186441,3.186992,3.181818,False,False,413,1,0,1,413
6150,614.9969,143,380,0,413,366,47,1,34,0.01795726,2.836842,2.83526,2.852941,False,False,380,1,0,1,380
6200,619.9957,132,343,0,359,319,40,0,27,0.01719482,2.734694,2.667722,3.518518,False,False,343,1,0,1,343
6250,624.9944,135,322,0,356,326,30,0,20,0.01039875,2.400621,2.413907,2.2,False,False,322,1,0,1,322
