Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1058,104,0,863,617,246,2,28,0.09230042,0.8846154,0.8815789,0.8928571,False,False,104,1,0,1,104
100,10,1127,109,0,942,640,302,1,40,0.09028307,0.6788991,0.6376812,0.75,False,False,109,1,0,1,109
150,15.00002,1208,108,0,1031,636,395,0,44,0.056343,0.8333333,0.6875,1.045455,False,False,108,1,0,1,108
200,20.00004,1284,109,0,1078,641,437,2,43,0.1159664,1.009174,0.8636364,1.232558,False,False,109,1,0,1,109
250,25.00006,1373,109,0,1178,724,454,0,44,0.1406688,0.8440367,0.8615385,0.8181818,False,False,109,1,0,1,109
300,30.00008,1449,115,0,1313,793,520,3,43,0.07646772,0.8869565,0.9444444,0.7906977,False,False,115,1,0,1,115
350,35.00004,1521,123,0,1437,760,677,2,55,0.02414793,0.9756098,0.7941176,1.2,False,False,123,1,0,1,123
400,39.99996,1597,127,0,1602,890,712,3,56,0.05849619,1.125984,1.140845,1.107143,False,False,127,1,0,1,127
450,44.99989,1661,133,0,1709,824,885,1,66,0.1142295,1.022556,1.074627,0.969697,False,False,133,1,0,1,133
500,49.99981,1745,141,0,1878,1057,821,1,64,0.0234859,1.085106,1.116883,1.046875,False,False,141,1,0,1,141
550,54.99973,1791,161,0,2285,1104,1181,2,84,0.03896872,1.409938,1.415584,1.404762,False,False,161,1,0,1,161
600,59.99966,1843,171,0,2411,1169,1242,0,87,0.03895807,1.596491,1.714286,1.482759,False,False,171,1,0,1,171
650,64.99958,1886,186,0,2783,1583,1200,1,83,0.07303539,1.666667,1.572816,1.783133,False,False,186,1,0,1,186
700,69.9995,1925,201,0,3044,1603,1441,6,92,0.08701213,1.860697,1.59633,2.173913,False,False,201,1,0,1,201
750,74.99943,1956,211,0,3218,1616,1602,2,107,0.1052454,1.677725,1.567308,1.785047,False,False,211,1,0,1,211
800,79.99935,1969,216,0,3311,1651,1660,2,105,0.09552453,1.865741,1.720721,2.019048,False,False,216,1,0,1,216
850,84.99928,2010,229,0,3663,2002,1661,3,103,0.1014805,1.969432,1.968254,1.970874,False,False,229,1,0,1,229
900,89.9992,1999,252,0,3884,1933,1951,4,129,0.004146658,2.119048,2.186992,2.054264,False,False,252,1,0,1,252
950,94.99912,1986,275,0,4161,2084,2077,2,135,0.02351648,2.072727,2.035714,2.111111,False,False,275,1,0,1,275
1000,99.99905,1958,297,0,4515,1995,2520,2,166,0.02424242,2.531986,2.78626,2.331325,False,False,297,1,0,1,297
1050,104.999,1922,328,0,4908,2431,2477,9,166,0.03993467,2.817073,2.864197,2.771084,False,False,328,1,0,1,328
1100,109.9989,1873,345,0,5100,2576,2524,3,171,0.03573672,3.055073,3,3.111111,False,False,345,1,0,1,345
1150,114.9988,1802,377,0,5339,2847,2492,2,175,0.00510999,2.994695,3.004951,2.982857,False,False,377,1,0,1,377
1200,119.9987,1739,400,0,5368,2608,2760,3,197,0.04781736,3.55,3.497537,3.604061,False,False,400,1,0,1,400
1250,124.9987,1676,432,0,5666,3002,2664,7,206,0.03535361,3.256944,3.265487,3.247573,False,False,432,1,0,1,432
1300,129.9987,1629,439,0,5627,3055,2572,3,201,0.04105622,3.548975,3.306723,3.835821,False,False,439,1,0,1,439
1350,134.999,1545,457,0,5500,3034,2466,7,203,0.05322929,3.78337,3.779528,3.788177,False,False,457,1,0,1,457
1400,139.9993,1444,473,0,5339,2791,2548,1,231,0.0659659,3.919662,4.066116,3.766234,False,False,473,1,0,1,473
1450,144.9996,1346,506,0,5334,3050,2284,6,213,0.04985445,3.948617,3.993174,3.887324,False,False,506,1,0,1,506
1500,150,1246,515,0,4883,2873,2010,2,213,0.05502564,4.217476,4.456954,3.877934,False,False,515,1,0,1,515
1550,155.0003,1156,516,0,4519,2664,1855,0,221,0.05849032,4.087209,4.213559,3.918552,False,False,516,1,0,1,516
1600,160.0006,1080,526,0,4343,2731,1612,4,198,0.08149748,4.264258,4.332317,4.151515,False,False,526,1,0,1,526
1650,165.0009,1015,527,0,4158,2589,1569,4,199,0.05739281,4.185958,4.301829,3.994975,False,False,527,1,0,1,527
1700,170.0012,939,536,0,3934,2570,1364,2,182,0.04773493,4.292911,4.338983,4.203297,False,False,536,1,0,1,536
1750,175.0015,871,540,0,3713,2426,1287,3,189,0.006107596,4.275926,4.196581,4.42328,False,False,540,1,0,1,540
1800,180.0018,796,531,0,3345,2186,1159,3,178,0.02733639,4.570621,4.475921,4.758427,False,False,531,1,0,1,531
1850,185.0021,722,535,0,2958,2067,891,3,158,0.03575284,4.06729,4.082228,4.031646,False,False,535,1,0,1,535
1900,190.0024,667,510,0,2643,1932,711,4,138,0.01650199,4.021569,4.05914,3.92029,False,False,510,1,0,1,510
1950,195.0027,618,485,0,2350,1700,650,7,125,0.006699599,3.630928,3.575,3.792,False,False,485,1,0,1,485
2000,200.003,568,468,0,2046,1496,550,4,117,0.02014185,3.861111,3.843305,3.91453,False,False,468,1,0,1,468
2050,205.0033,519,464,0,1848,1413,435,3,105,0.04866724,3.838362,3.793872,3.990476,False,False,464,1,0,1,464
2100,210.0036,502,448,0,1737,1302,435,4,108,0.03111477,3.691964,3.626471,3.898148,False,False,448,1,0,1,448
2150,215.0039,484,445,0,1700,1296,404,0,98,0.0187164,3.478652,3.498559,3.408163,False,False,445,1,0,1,445
2200,220.0042,442,425,0,1447,1142,305,5,80,0.02081265,3.298824,3.275362,3.4,False,False,425,1,0,1,425
2250,225.0045,423,408,0,1442,1181,261,1,73,0.004611017,3.254902,3.176119,3.616438,False,False,408,1,0,1,408
2300,230.0048,406,402,0,1294,1033,261,0,76,0.01470096,3.029851,3.09816,2.736842,False,False,402,1,0,1,402
2350,235.0051,380,378,0,1069,893,176,0,64,0.01474914,2.978836,3.047771,2.640625,False,False,378,1,0,1,378
2400,240.0054,358,362,0,986,790,196,1,68,0.03180895,2.950276,2.908163,3.132353,False,False,362,1,0,1,362
2450,245.0058,357,348,0,882,726,156,0,67,0.05321733,2.974138,3.053381,2.641791,False,False,348,1,0,1,348
2500,250.0061,340,337,0,942,763,179,0,57,0.02717911,2.688427,2.739286,2.438596,False,False,337,1,0,1,337
2550,255.0064,340,322,0,851,714,137,2,47,0.0411141,2.484472,2.432727,2.787234,False,False,322,1,0,1,322
2600,260.0067,330,293,0,752,633,119,2,46,0.0700945,2.587031,2.518219,2.956522,False,False,293,1,0,1,293
2650,265.007,344,271,0,700,599,101,0,36,0.06129286,2.184502,2.178723,2.222222,False,False,271,1,0,1,271
2700,270.0073,339,259,0,627,516,111,1,44,0.01817504,1.942085,1.860465,2.340909,False,False,259,1,0,1,259
2750,275.0076,361,248,0,675,546,129,0,39,0.06218191,1.979839,1.995215,1.897436,False,False,248,1,0,1,248
2800,280.0079,362,244,0,753,590,163,0,43,0.02517617,2.032787,1.99005,2.232558,False,False,244,1,0,1,244
2850,285.0082,380,222,0,639,527,112,1,37,0.06200234,1.756757,1.756757,1.756757,False,False,222,1,0,1,222
