Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1087,104,0,930,574,356,0,39,0.1056681,1.096154,1.215385,0.8974359,False,False,104,1,0,1,104
100,10,1180,111,0,1019,647,372,0,37,0.164746,1.045045,1.135135,0.8648649,False,False,111,1,0,1,111
150,15.00002,1281,115,0,1134,835,299,1,34,0.06487266,1.086957,1.061728,1.147059,False,False,115,1,0,1,115
200,20.00004,1393,112,0,1227,808,419,1,36,0.0659591,0.8660714,0.8815789,0.8333333,False,False,112,1,0,1,112
250,25.00006,1526,121,0,1428,724,704,1,55,0.06062493,1.272727,1.181818,1.381818,False,False,121,1,0,1,121
300,30.00008,1674,131,0,1647,888,759,1,58,0.0659949,1.267176,1.191781,1.362069,False,False,131,1,0,1,131
350,35.00004,1803,134,0,1843,1060,783,0,59,0.1746329,1.164179,1.28,1.016949,False,False,134,1,0,1,134
400,39.99996,1934,138,0,2221,1292,929,2,59,0.1316942,1.043478,1.177215,0.8644068,False,False,138,1,0,1,138
450,44.99989,2029,151,0,2399,1047,1352,1,88,0.06394765,1.377483,1.698413,1.147727,False,False,151,1,0,1,151
500,49.99981,2165,162,0,2693,1181,1512,2,93,0.0290071,1.08642,1.086957,1.086022,False,False,162,1,0,1,162
550,54.99973,2291,183,0,3242,1528,1714,2,98,0.039398,1.601093,1.576471,1.622449,False,False,183,1,0,1,183
600,59.99966,2376,197,0,3681,1658,2023,1,109,0.05521558,1.827411,1.818182,1.834862,False,False,197,1,0,1,197
650,64.99958,2477,198,0,3910,1631,2279,1,120,0.0786717,1.929293,1.74359,2.05,False,False,198,1,0,1,198
700,69.9995,2595,216,0,4422,1889,2533,3,124,0.06728329,1.74537,1.76087,1.733871,False,False,216,1,0,1,216
750,74.99943,2700,223,0,4616,1940,2676,2,128,0.04454839,1.856502,1.863158,1.851563,False,False,223,1,0,1,223
800,79.99935,2769,253,0,5483,2049,3434,4,159,0.03609241,2.335968,2.585106,2.188679,False,False,253,1,0,1,253
850,84.99928,2856,281,0,6136,2827,3309,0,157,0.05288254,2.177936,2.08871,2.248408,False,False,281,1,0,1,281
900,89.9992,2903,313,0,7054,3231,3823,6,169,0.07462613,2.43131,2.444444,2.420118,False,False,313,1,0,1,313
950,94.99912,2947,353,0,8246,3427,4819,6,199,0.090711,2.849858,2.98052,2.748744,False,False,353,1,0,1,353
1000,99.99905,2964,374,0,8742,3897,4845,9,206,0.06986322,3.176471,3.226191,3.135922,False,False,374,1,0,1,374
1050,104.999,2946,403,0,9368,3894,5474,6,233,0.02839592,3.42928,3.494118,3.381974,False,False,403,1,0,1,403
1100,109.9989,2908,450,0,10100,4096,6004,4,264,0.0172386,3.662222,3.704301,3.632576,False,False,450,1,0,1,450
1150,114.9988,2874,489,0,10890,4402,6488,3,291,0.006894707,3.973415,3.979798,3.969072,False,False,489,1,0,1,489
1200,119.9987,2780,534,0,11444,4941,6503,11,307,0.01970792,4.670412,4.762115,4.602606,False,False,534,1,0,1,534
1250,124.9987,2636,596,0,12417,5292,7125,12,347,0.02063483,4.904362,5.036145,4.809798,False,False,596,1,0,1,596
1300,129.9987,2443,651,0,12187,5173,7014,2,370,0.007437812,5.453149,5.434164,5.467567,False,False,651,1,0,1,651
1350,134.999,2256,706,0,12469,5837,6632,7,376,0.02828174,5.749292,5.733333,5.763298,False,False,706,1,0,1,706
1400,139.9993,2083,764,0,12337,5698,6639,6,400,0.02651135,6.075916,6.263736,5.905,False,False,764,1,0,1,764
1450,144.9996,1856,853,0,12239,6395,5844,10,401,0.04600653,7.315358,7.606194,6.987531,False,False,853,1,0,1,853
1500,150,1604,884,0,10842,6232,4610,8,370,0.01764965,7.246606,7.340467,7.116216,False,False,884,1,0,1,884
1550,155.0003,1326,962,0,9789,5495,4294,5,412,0.02461552,8.018711,8.023637,8.012136,False,False,962,1,0,1,962
1600,160.0006,1064,995,0,8233,4864,3369,5,396,0.03160616,7.780904,7.854758,7.669192,False,False,995,1,0,1,995
1650,165.0009,794,1008,0,6270,4134,2136,7,348,0.02278385,8.093254,8.065151,8.146552,False,False,1008,1,0,1,1008
1700,170.0012,627,983,0,4764,3387,1377,7,268,0.02014031,7.801628,7.886714,7.574627,False,False,983,1,0,1,983
1750,175.0015,456,967,0,3391,2510,881,1,244,0.01291862,7.746639,7.720609,7.823771,False,False,967,1,0,1,967
1800,180.0018,354,922,0,2478,2003,475,1,173,0.00957455,7.210412,7.154873,7.450867,False,False,922,1,0,1,922
1850,185.0021,255,884,0,1743,1465,278,2,145,0.02399099,6.794117,6.838972,6.565517,False,False,884,1,0,1,884
1900,190.0024,197,825,0,1261,1105,156,1,92,0.0398783,6.489697,6.499318,6.413043,False,False,825,1,0,1,825
1950,195.0027,152,767,0,962,847,115,2,71,0.04190338,5.954368,5.939655,6.098591,False,False,767,1,0,1,767
2000,200.003,122,705,0,669,593,76,1,59,0.06521154,5.306383,5.318885,5.169491,False,False,705,1,0,1,705
2050,205.0033,102,645,0,463,447,16,1,44,0.0524389,5.017054,5.03827,4.727273,False,False,645,1,0,1,645
2100,210.0036,97,587,0,481,450,31,1,37,0.04728552,4.92845,4.934546,4.837838,False,False,587,1,0,1,587
2150,215.0039,83,554,0,368,342,26,0,33,0.06116363,4.220217,4.245681,3.818182,False,False,554,1,0,1,554
2200,220.0042,72,503,0,257,239,18,1,21,0.04210494,3.974155,3.975104,3.952381,False,False,503,1,0,1,503
2250,225.0045,56,456,0,193,184,9,1,19,0.04547715,3.504386,3.494279,3.736842,False,False,456,1,0,1,456
2300,230.0048,46,422,0,146,140,6,1,13,0.01710173,3.270142,3.273839,3.153846,False,False,422,1,0,1,422
2350,235.0051,41,376,0,122,121,1,0,8,0.02739362,2.952128,2.961957,2.5,False,False,376,1,0,1,376
2400,240.0054,38,346,0,104,100,4,0,11,0.06797643,2.635838,2.638806,2.545455,False,False,346,1,0,1,346
2450,245.0058,41,309,0,103,100,3,0,5,0.04762927,2.368932,2.375,2,False,False,309,1,0,1,309
2500,250.0061,40,286,0,79,79,0,0,6,0.03382342,2.020979,2.014286,2.333333,False,False,286,1,0,1,286
2550,255.0064,38,260,0,78,74,4,0,9,0.0442994,1.830769,1.836653,1.666667,False,False,260,1,0,1,260
2600,260.0067,42,239,0,87,83,4,0,6,0.04717039,1.811715,1.793991,2.5,False,False,239,1,0,1,239
2650,265.007,44,215,0,62,62,0,0,4,0.05104353,1.548837,1.530806,2.5,False,False,215,1,0,1,215
2700,270.0073,44,200,0,80,77,3,0,6,0.103285,1.56,1.561856,1.5,False,False,200,1,0,1,200
2750,275.0076,43,174,0,71,69,2,0,5,0.1051193,1.528736,1.532544,1.4,False,False,174,1,0,1,174
2800,280.0079,46,159,0,54,52,2,0,6,0.1154609,1.132075,1.143791,0.8333333,False,False,159,1,0,1,159
2850,285.0082,47,138,0,45,44,1,0,4,0.1244457,0.8550724,0.858209,0.75,False,False,138,1,0,1,138
2900,290.0085,47,122,0,46,41,5,0,4,0.07975629,0.9016393,0.9237288,0.25,False,False,122,1,0,1,122
2950,295.0088,52,117,0,40,40,0,0,1,0.07142209,0.8888889,0.8706896,3,False,False,117,1,0,1,117
3000,300.0091,52,106,0,47,46,1,0,4,0.1097102,0.9056604,0.9117647,0.75,False,False,106,1,0,1,106
3050,305.0094,59,103,0,50,46,4,0,5,0.1019776,0.8737864,0.9081632,0.2,False,False,103,1,0,1,103
3100,310.0097,68,92,0,48,48,0,0,3,0.1144437,0.8695652,0.8426966,1.666667,False,False,92,1,0,1,92
3150,315.01,80,84,0,50,49,1,0,1,0.06694418,0.6190476,0.6144578,1,False,False,84,1,0,1,84
3200,320.0103,85,76,0,46,45,1,1,4,0.06987301,0.6052632,0.625,0.25,False,False,76,1,0,1,76
3250,325.0106,100,66,0,55,51,4,0,8,0.05010861,0.6969697,0.7413793,0.375,False,False,66,1,0,1,66
3300,330.0109,116,60,0,53,45,8,0,7,0.05240448,0.5,0.5283019,0.2857143,False,False,60,1,0,1,60
3350,335.0112,132,59,0,51,51,0,0,3,0.08031516,0.5084746,0.5,0.6666667,False,False,59,1,0,1,59
3400,340.0115,149,54,0,55,50,5,0,3,0.1027423,0.7407407,0.7450981,0.6666667,False,False,54,1,0,1,54
3450,345.0118,164,52,0,68,61,7,0,4,0.06928597,0.2692308,0.2708333,0.25,False,False,52,1,0,1,52
3500,350.0121,183,45,0,65,54,11,1,5,0.1182896,0.2222222,0.2,0.4,False,False,45,1,0,1,45
3550,355.0125,206,44,0,62,54,8,0,5,0.2331768,0.2272727,0.2564103,0,False,False,44,1,0,1,44
3600,360.0128,244,44,0,82,68,14,0,6,0.2018632,0.1818182,0.1842105,0.1666667,False,False,44,1,0,1,44
3650,365.0131,278,42,0,97,84,13,0,5,0.1381012,0.3809524,0.3513514,0.6,False,False,42,1,0,1,42
3700,370.0134,317,37,0,93,83,10,0,4,0.03845946,0.4324324,0.3333333,1.25,False,False,37,1,0,1,37
3750,375.0137,358,34,0,79,62,17,0,5,0.01720355,0.2941177,0.3103448,0.2,False,False,34,1,0,1,34
3800,380.014,405,35,0,96,80,16,0,8,0.07004324,0.4,0.3703704,0.5,False,False,35,1,0,1,35
3850,385.0143,467,35,0,136,98,38,0,11,0.1472656,0.2857143,0.2916667,0.2727273,False,False,35,1,0,1,35
3900,390.0146,517,31,0,109,91,18,0,5,0.07278552,0.2580645,0.2307692,0.4,False,False,31,1,0,1,31
3950,395.0149,591,32,0,144,117,27,0,5,0.03287892,0.1875,0.1481481,0.4,False,False,32,1,0,1,32
4000,400.0152,672,35,0,205,164,41,0,7,0.04018331,0.2857143,0.2857143,0.2857143,False,False,35,1,0,1,35
4050,405.0155,760,32,0,180,140,40,0,7,0.05875034,0.375,0.36,0.4285714,False,False,32,1,0,1,32
4100,410.0158,844,34,0,192,140,52,0,9,0.07854858,0.4117647,0.28,0.7777778,False,False,34,1,0,1,34
4150,415.0161,929,32,0,231,163,68,0,9,0.06033738,0.5625,0.4347826,0.8888889,False,False,32,1,0,1,32
4200,420.0164,1040,31,0,284,209,75,1,10,0.2343579,0.3870968,0.2857143,0.6,False,False,31,1,0,1,31
4250,425.0167,1141,34,0,263,113,150,0,19,0.2683699,0.4705882,0.4666667,0.4736842,False,False,34,1,0,1,34
4300,430.017,1289,34,0,371,197,174,0,15,0.1289225,0.2352941,0.2105263,0.2666667,False,False,34,1,0,1,34
4350,435.0173,1422,32,0,362,247,115,0,12,0.1528494,0,0,0,False,False,32,1,0,1,32
4400,440.0176,1573,32,0,390,177,213,0,16,0.2009673,0.25,0.125,0.375,False,False,32,1,0,1,32
4450,445.0179,1757,34,0,483,307,176,0,13,0.1848702,0.2941177,0.2857143,0.3076923,False,False,34,1,0,1,34
4500,450.0182,1952,36,0,532,320,212,1,12,0.1826124,0.3888889,0.3333333,0.5,False,False,36,1,0,1,36
4550,455.0186,2120,41,0,610,339,271,1,18,0.1426504,0.8780488,0.8260869,0.9444444,False,False,41,1,0,1,41
4600,460.0189,2331,42,0,763,316,447,0,26,0.2650361,0.6190476,0.6875,0.5769231,False,False,42,1,0,1,42
4650,465.0192,2558,44,0,812,338,474,0,25,0.2379819,0.6363636,0.4736842,0.76,False,False,44,1,0,1,44
4700,470.0195,2779,54,0,1185,462,723,1,33,0.1493804,0.7777778,0.952381,0.6666667,False,False,54,1,0,1,54
4750,475.0198,2987,63,0,1444,654,790,0,36,0.1044377,0.7936508,0.9259259,0.6944444,False,False,63,1,0,1,63
4800,480.0201,3154,76,0,1773,559,1214,2,51,0.08551586,0.7368421,0.64,0.7843137,False,False,76,1,0,1,76
4850,485.0204,3363,86,0,2243,1058,1185,1,46,0.02075962,0.5581396,0.575,0.5434783,False,False,86,1,0,1,86
4900,490.0207,3541,96,0,2805,1164,1641,0,60,0.02832026,0.9583333,0.8611111,1.016667,False,False,96,1,0,1,96
4950,495.021,3714,111,0,3177,1122,2055,3,75,0.0595755,0.8648649,0.9166667,0.84,False,False,111,1,0,1,111
5000,500.0213,3877,125,0,3814,1277,2537,0,86,0.02433271,1.408,1.794872,1.232558,False,False,125,1,0,1,125
5050,505.0216,4046,143,0,4542,1606,2936,1,93,0.06704226,0.979021,0.96,0.9892473,False,False,143,1,0,1,143
5100,510.0219,4177,179,0,5934,2154,3780,2,117,0.01382396,1.675978,1.612903,1.709402,False,False,179,1,0,1,179
5150,515.0213,4252,204,0,6630,2504,4126,4,128,0.07132611,1.911765,2.039474,1.835938,False,False,204,1,0,1,204
5200,520.0201,4310,242,0,8233,2189,6044,3,178,0.02553669,2.016529,2.09375,1.988764,False,False,242,1,0,1,242
5250,525.0189,4331,279,0,9326,2794,6532,6,195,0.06124156,2.218638,2.416667,2.133333,False,False,279,1,0,1,279
5300,530.0176,4354,305,0,10299,3560,6739,4,206,0.0595465,2.796721,3.030303,2.684466,False,False,305,1,0,1,305
5350,535.0164,4371,340,0,11390,3927,7463,2,226,0.01570645,2.729412,2.684211,2.752212,False,False,340,1,0,1,340
