Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1073,97,0,836,574,262,1,31,0.2908837,2.020618,2.045455,1.967742,True,False,37,2.621622,4.559533,8,20
100,10,1176,99,0,882,569,313,1,34,0.417838,3.777778,3.8,3.735294,True,False,21,4.714286,30.48979,26,7
150,15.00002,1260,99,0,899,597,302,1,34,0.3581473,4.868687,4.738461,5.117647,True,False,22,4.5,17.06818,14,6
200,20.00004,1336,101,0,927,504,423,1,42,0.4320167,5.80198,5.932203,5.619048,True,False,18,5.611111,49.45988,29,5
250,25.00006,1468,104,0,1093,658,435,1,41,0.4405423,8.134615,7.587302,8.97561,True,False,19,5.473684,46.03878,26,4
300,30.00008,1579,113,0,1259,844,415,3,40,0.4297794,7.646018,7.479452,7.95,True,False,20,5.65,32.6275,21,6
350,35.00004,1684,128,0,1629,891,738,2,59,0.4533392,7.4375,7.202899,7.711864,True,False,21,6.095238,41.51474,24,7
400,39.99996,1777,135,0,1690,842,848,2,66,0.5225903,7.851852,7.913043,7.787879,True,False,24,5.625,71.98438,32,12
450,44.99989,1883,142,0,2010,1074,936,0,69,0.5145267,8.169014,9.260274,7.014493,True,False,26,5.461538,43.71006,22,10
500,49.99981,1948,157,0,2357,1226,1131,0,75,0.5174044,8.089172,7.414634,8.826667,True,False,24,6.541667,104.0816,44,10
550,54.99973,2018,164,0,2252,1037,1215,0,88,0.4791052,8.939024,9.5,8.454545,True,False,22,7.454545,85.61157,30,9
600,59.99966,2131,179,0,2533,1298,1235,2,85,0.4914306,9.195531,9.031915,9.376471,True,False,19,9.421053,202.4543,58,9
650,64.99958,2205,191,0,2858,1298,1560,1,104,0.5303805,11.74869,12.6092,11.02885,True,False,15,12.73333,366.5956,61,7
700,69.9995,2263,201,0,3238,1470,1768,2,115,0.5310062,10.80099,10.75581,10.83478,True,False,24,8.375,198.0677,63,11
750,74.99943,2321,210,0,2903,1624,1279,3,91,0.5018343,16.78095,15.62185,18.2967,True,False,22,9.545455,287.3388,66,7
800,79.99935,2370,222,0,3259,1812,1447,2,97,0.6298367,11.96847,12.056,11.85567,True,False,15,14.8,679.36,100,3
850,84.99928,2412,251,0,4172,2049,2123,2,119,0.6102315,12.57769,12.14394,13.05882,True,False,12,20.91667,1056.743,112,2
900,89.9992,2440,268,0,4562,2099,2463,3,139,0.6686104,14.0597,14.31783,13.82014,True,False,16,16.75,958.3125,121,7
950,94.99912,2492,283,0,4963,2500,2463,4,137,0.7480776,15.0636,14.18493,16,True,False,14,20.21428,1501.883,124,6
1000,99.99905,2513,311,0,4865,2336,2529,2,160,0.760095,17.68489,18.44371,16.96875,True,False,12,25.91667,2587.743,141,6
1050,104.999,2530,324,0,4650,2398,2252,0,161,0.7980964,17.23457,18.3865,16.06832,True,False,10,32.4,3180.64,148,3
1100,109.9989,2510,349,0,5073,2695,2378,7,157,0.751788,15.53009,14.98958,16.19108,True,False,13,26.84615,2244.13,165,4
1150,114.9988,2470,383,0,5520,2645,2875,5,187,0.7472178,15.97128,16.53572,15.37968,True,False,16,23.9375,2318.684,183,4
1200,119.9987,2426,436,0,6699,3683,3016,2,192,0.6874693,16.63991,16.26229,17.11979,True,False,21,20.76191,1480.086,146,8
1250,124.9987,2341,460,0,7623,3686,3937,9,216,0.6704794,16.30869,16.21312,16.41667,True,False,17,27.05882,2342.291,173,5
1300,129.9987,2246,498,0,7362,3640,3722,4,243,0.5884427,17.33333,16.93333,17.75309,True,False,17,29.29412,2959.737,203,8
1350,134.999,2131,515,0,7341,3562,3779,7,256,0.5849421,16.55534,16.7722,16.33594,True,False,15,34.33333,9144.622,381,9
1400,139.9993,2034,527,0,6857,3500,3357,5,252,0.6169473,17.30171,16.92,17.71825,True,False,19,27.73684,3137.352,228,7
1450,144.9996,1958,563,0,7012,3753,3259,5,242,0.5570436,18.13854,18.05296,18.25207,True,False,20,28.15,6266.828,351,8
1500,150,1878,582,0,6596,3407,3189,4,256,0.649711,17.50687,17.69632,17.26563,True,False,17,34.23529,5065.239,265,6
1550,155.0003,1759,615,0,6480,3390,3090,4,270,0.697914,19.38862,19.84928,18.8,True,False,21,29.28572,2891.347,211,7
