Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1029,102,0,737,520,217,1,31,0.2650976,1.941176,1.788732,2.290323,True,False,49,2.081633,3.136194,8,30
100,10,1058,98,0,782,561,221,1,28,0.2971088,3.173469,3,3.607143,True,False,34,2.882353,11.45675,18,15
150,15.00002,1119,99,0,670,457,213,2,29,0.2835149,5.878788,5.728571,6.241379,True,False,24,4.125,19.77604,18,7
200,20.00004,1163,108,0,882,552,330,0,38,0.3453126,6.555555,6.757143,6.18421,True,False,23,4.695652,20.90737,17,6
250,25.00006,1217,112,0,1041,656,385,1,40,0.2798189,7.232143,7,7.65,True,False,18,6.222222,49.8395,28,3
300,30.00008,1247,115,0,917,655,262,0,35,0.2322457,7.356522,7.4125,7.228571,True,False,17,6.764706,55.23876,30,4
350,35.00004,1302,113,0,1059,726,333,0,37,0.2520542,7.557522,8.276316,6.081081,True,False,21,5.380952,38.52154,24,8
400,39.99996,1324,117,0,1008,567,441,1,50,0.1447819,11.38461,11.44776,11.3,True,False,15,7.8,78.16,33,3
450,44.99989,1361,119,0,1187,713,474,0,51,0.3508733,8.117647,8.102942,8.137255,True,False,16,7.4375,100.3711,39,6
500,49.99981,1403,119,0,1094,724,370,0,46,0.2954306,9.680673,10.17808,8.891304,True,False,15,7.933333,118.3289,37,8
550,54.99973,1417,123,0,1288,702,586,0,54,0.2988488,10.0813,10,10.18519,True,False,16,7.6875,111.4648,38,8
600,59.99966,1451,131,0,1221,736,485,0,54,0.3493206,10.65649,10.12987,11.40741,True,False,14,9.357142,314.3725,71,5
650,64.99958,1492,137,0,1310,812,498,1,52,0.5044702,10.64234,10.84706,10.30769,True,False,15,9.133333,285.0489,69,8
700,69.9995,1495,149,0,1537,897,640,2,64,0.5962533,12,11.21176,13.04688,True,False,11,13.54545,598.4297,87,5
750,74.99943,1510,158,0,1658,833,825,4,75,0.607398,12.60759,12.01205,13.26667,True,False,11,14.36364,296.4132,49,3
800,79.99935,1507,170,0,1726,981,745,3,71,0.5621269,12.25882,11.36364,13.50704,True,False,14,12.14286,435.551,71,4
850,84.99928,1529,170,0,1865,1104,761,3,67,0.6565041,12.69412,12.98058,12.25373,True,False,21,8.095238,201.1338,53,10
900,89.9992,1538,169,0,1756,923,833,1,78,0.7380725,11.53846,11.27472,11.84615,True,False,13,13,268.1538,47,2
950,94.99912,1554,179,0,2130,1245,885,0,74,0.7013955,14.34637,13.84762,15.05405,True,False,16,11.1875,228.7773,49,5
1000,99.99905,1536,203,0,2213,1123,1090,3,96,0.7152768,14.58621,14.85981,14.28125,True,False,16,12.6875,917.9648,126,6
1050,104.999,1539,199,0,2063,1193,870,1,77,0.7488332,13.22111,13.70492,12.45455,True,False,15,13.26667,427.2622,62,4
1100,109.9989,1530,201,0,1874,1260,614,0,66,0.7023899,13.99502,14.40741,13.15152,True,False,17,11.82353,406.3806,66,8
1150,114.9988,1545,199,0,1994,1184,810,1,79,0.6653338,14.42211,15.45,12.86076,True,False,21,9.476191,356.5352,71,11
1200,119.9987,1537,207,0,2012,1193,819,2,84,0.7149658,14.75362,15.04878,14.32143,True,False,15,13.8,508.4267,69,7
1250,124.9987,1516,227,0,2272,1424,848,2,86,0.6915474,13.18062,13.34752,12.90698,True,False,17,13.35294,496.4637,70,6
1300,129.9987,1488,232,0,2277,1403,874,0,89,0.6075194,13.52586,14.38461,12.14607,True,False,21,11.04762,387.7596,75,10
1350,134.999,1473,247,0,2388,1518,870,2,89,0.63831,13.44939,13.79747,12.83146,True,False,26,9.5,692.0192,133,13
1400,139.9993,1460,259,0,2248,1397,851,0,95,0.7051839,13.44402,13.90854,12.64211,True,False,22,11.77273,544.0847,86,9
1450,144.9996,1450,262,0,2427,1551,876,1,93,0.7626325,17.19084,17.68639,16.29032,True,False,17,15.41177,684.9481,85,7
1500,150,1398,270,0,2468,1468,1000,1,105,0.8139606,14.85926,15.39394,14.01905,True,False,13,20.76923,1337.562,108,6
1550,155.0003,1371,276,0,2473,1446,1027,3,109,0.8580085,14.27536,14.7006,13.62385,True,False,17,16.23529,1084.298,110,6
1600,160.0006,1345,285,0,2730,1522,1208,2,116,0.8368954,15.24211,15.92899,14.24138,True,False,18,15.83333,1271.139,153,5
1650,165.0009,1326,296,0,2871,1731,1140,2,115,0.7832769,14.68243,14.67403,14.69565,True,False,20,14.8,1460.26,173,6
1700,170.0012,1317,290,0,2308,1559,749,2,100,0.823376,15.71724,16.05263,15.08,True,False,22,13.18182,1437.603,181,8
1750,175.0015,1301,296,0,2305,1474,831,0,96,0.7979848,16.51689,16.36,16.84375,True,False,21,14.09524,964.7529,142,8
1800,180.0018,1262,295,0,2444,1510,934,5,101,0.760805,14.85424,15.29381,14.0099,True,False,21,14.04762,983.9501,139,8
1850,185.0021,1232,309,0,2881,1882,999,3,104,0.7772958,14.1424,13.78049,14.85577,True,False,20,15.45,1473.848,173,10
1900,190.0024,1184,312,0,2843,1907,936,7,97,0.8327733,14.96474,14.77674,15.38144,True,False,23,13.56522,852.9414,137,6
1950,195.0027,1157,321,0,2285,1422,863,3,116,0.8104532,18.64174,17.8,20.12931,True,False,22,14.59091,819.2418,107,10
2000,200.003,1118,315,0,2254,1316,938,1,119,0.8832253,13.6127,14.03061,12.92437,True,False,19,16.57895,878.7701,98,8
2050,205.0033,1092,308,0,2207,1415,792,6,95,0.898369,16.75649,16.58216,17.14737,True,False,10,30.8,2192.36,151,2
2100,210.0036,1089,313,0,2142,1521,621,1,91,0.8387298,16.04792,16.17568,15.73626,True,False,17,18.41176,619.4187,83,6
2150,215.0039,1056,315,0,2196,1499,697,3,95,0.8517054,16.18413,16.39545,15.69474,True,False,17,18.52941,564.2491,74,7
2200,220.0042,1026,322,0,2291,1502,789,3,105,0.8376764,15.93478,15.5576,16.71428,True,False,16,20.125,567.3594,74,4
2250,225.0045,1012,318,0,2385,1558,827,6,104,0.7969642,14.69497,14.93925,14.19231,True,False,18,17.66667,387.6667,67,6
2300,230.0048,963,324,0,2214,1404,810,1,111,0.8084376,14.35802,14.15962,14.73874,True,False,17,19.05882,495.2319,62,7
2350,235.0051,920,334,0,2314,1483,831,3,114,0.7526625,14.72754,14.51364,15.14035,True,False,23,14.52174,413.6408,66,12
2400,240.0054,893,331,0,2050,1394,656,4,101,0.7902068,15.83988,15.86957,15.77228,True,False,21,15.7619,741.5148,108,12
2450,245.0058,891,329,0,1875,1328,547,1,96,0.827226,15.22188,14.93562,15.91667,True,False,18,18.27778,785.5339,109,8
2500,250.0061,875,323,0,1882,1360,522,2,87,0.8358536,13.60991,13.8517,12.95402,True,False,20,16.15,977.1275,136,10
2550,255.0064,864,324,0,1681,1196,485,3,96,0.83398,14.9537,14.45175,16.14583,True,False,18,18,2466.222,216,8
2600,260.0067,870,316,0,1655,1224,431,1,75,0.8693272,14.98734,14.95436,15.09333,True,False,21,15.04762,1105.664,140,11
2650,265.007,896,302,0,1519,1125,394,1,71,0.8141157,14.7351,14.72294,14.77465,True,False,19,15.89474,788.1995,107,8
2700,270.0073,895,295,0,1745,1245,500,1,74,0.8587124,16.33559,16.77376,15.02703,True,False,19,15.52632,680.6703,102,10
2750,275.0076,880,293,0,1746,1173,573,5,82,0.8395545,15.46075,15.40758,15.59756,True,False,15,19.53333,753.4489,96,5
2800,280.0079,881,282,0,1544,1047,497,1,69,0.8418462,15.16312,15.66667,13.6087,True,False,15,18.8,1050.027,121,6
2850,285.0082,881,274,0,1368,915,453,3,79,0.8323355,14.73723,14.90769,14.31646,True,False,19,14.42105,733.2964,116,10
2900,290.0085,900,269,0,1494,1044,450,2,72,0.7932948,16.26022,16.30964,16.125,True,False,17,15.82353,799.5571,111,7
2950,295.0088,886,272,0,1657,1120,537,1,76,0.8057353,14.19853,14.63776,13.06579,True,False,16,17,984.25,119,4
3000,300.0091,884,275,0,1763,1234,529,3,77,0.8227516,14.80364,14.69192,15.09091,True,False,16,17.1875,1032.402,129,6
3050,305.0094,885,263,0,1508,1017,491,5,74,0.8199021,12.14068,12.39683,11.48649,True,False,15,17.53333,698.2489,96,6
3100,310.0097,889,270,0,1529,1058,471,3,81,0.7821137,14.06667,14.38095,13.33333,True,False,15,18,294.9333,43,4
3150,315.01,874,263,0,1282,929,353,1,77,0.8183271,13.94677,14.63441,12.28571,True,False,20,13.15,272.9275,45,10
3200,320.0103,904,256,0,1609,1183,426,1,65,0.8424244,13.47656,13.41361,13.66154,True,False,21,12.19048,335.3923,67,11
