Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1053,108,0,795,601,194,0,31,0.2692626,2.759259,2.792208,2.677419,True,False,34,3.176471,7.3218,10,11
100,10,1103,107,0,864,534,330,0,39,0.5087359,3.719626,3.735294,3.692308,True,False,26,4.115385,11.71746,15,8
150,15.00002,1169,105,0,777,490,287,1,36,0.6018461,4.533333,4.362319,4.861111,True,False,21,5,21.23809,20,6
200,20.00004,1264,113,0,933,622,311,0,39,0.6023101,5.469027,5.513514,5.384615,True,False,15,7.533333,50.38222,31,2
250,25.00006,1322,113,0,1029,522,507,1,54,0.6897095,7.221239,7.59322,6.814815,True,False,16,7.0625,103.3086,44,6
300,30.00008,1411,112,0,1155,789,366,3,37,0.7022825,7.017857,7.213333,6.621622,True,False,19,5.894737,61.88366,36,8
350,35.00004,1491,118,0,1217,652,565,1,50,0.606834,7.974576,8.367647,7.44,True,False,19,6.210526,92.27147,43,10
400,39.99996,1571,124,0,1310,786,524,0,47,0.5927818,8.693548,8.649351,8.765958,True,False,16,7.75,130.5625,46,7
450,44.99989,1651,128,0,1386,950,436,1,41,0.5689877,8.921875,9.114943,8.512196,True,False,16,8,56.875,23,7
500,49.99981,1710,136,0,1618,965,653,3,56,0.4902131,9.272058,9.2,9.375,True,False,20,6.8,53.46,26,10
550,54.99973,1788,135,0,1605,1001,604,0,57,0.4253224,9.407408,9.884615,8.754386,True,False,17,7.941176,56.76125,23,6
600,59.99966,1836,139,0,1488,820,668,3,63,0.4222136,8.489208,8.921053,7.968254,True,False,19,7.31579,110.9529,46,7
650,64.99958,1896,143,0,1564,897,667,1,61,0.3026458,8.482517,8.512196,8.442623,True,False,17,8.411765,101.654,41,4
700,69.9995,1965,158,0,2141,1127,1014,2,72,0.2073461,10.02532,10.43023,9.541667,True,False,16,9.875,101.1094,29,6
750,74.99943,2017,161,0,2583,1343,1240,2,75,0.2847309,12.85714,12.83721,12.88,True,False,14,11.5,366.5357,70,6
800,79.99935,2059,171,0,2253,1205,1048,3,79,0.5292097,13.60819,13.44565,13.79747,True,False,14,12.21429,778.1683,107,7
850,84.99928,2088,177,0,2111,1217,894,1,77,0.6673649,14.18079,15.34,12.67532,True,False,13,13.61539,713.7751,93,5
900,89.9992,2130,193,0,3027,1609,1418,2,87,0.6084822,12.29016,12.16981,12.43678,True,False,17,11.35294,480.6989,81,5
950,94.99912,2124,206,0,2753,1203,1550,3,108,0.5699962,15.50971,16.12245,14.9537,True,False,17,12.11765,404.5744,61,7
